name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
cutandshift,Not known,average_data,average_data,Tue May 17 14:14:08 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00143,None,0.084019,None,11.902069769932991,0.742612,None,0.257388,None,26.34395,None,0.010821,None,1.0,None,1.0,None
delete,Not known,average_data,average_data,Tue May 17 14:14:08 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.05522886219573053,None,0.38619864134128273,None,2.589341061705866,0.35347412776231535,None,0.6465258722376847,None,19.297650913832797,None,747.766274095319,None,1.0,None,1.0,None
