,Lex Tb-PEX5-eGFP11_T222s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP11_T222s_1_CH2_BIN1.0,Lex Tb-PEX5-eGFP12_T244s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP12_T244s_1_CH2_BIN1.0,Lex Tb-PEX5-eGFP10_T200s_1_CH1_BIN1.0,Lex Tb-PEX5-eGFP10_T200s_1_CH2_BIN1.0
547,0.0,53,0.0,30,1.0,56
548,0.0,51,0.0,30,0.0,68
549,0.0,82,0.0,21,0.0,71
550,0.0,109,0.0,13,2.0,33
551,1.0,86,0.0,26,2.0,33
552,0.0,53,0.0,36,0.0,36
553,2.0,48,0.0,38,0.0,28
554,1.0,67,0.0,38,0.0,31
555,3.0,76,0.0,36,0.0,46
556,0.0,105,0.0,40,0.0,36
557,0.0,88,0.0,34,0.0,48
558,0.0,56,3.0,59,0.0,34
559,0.0,61,3.0,55,0.0,34
560,0.0,55,0.0,45,0.0,39
561,0.0,51,1.0,28,0.0,40
562,0.0,45,0.0,24,0.0,65
563,0.0,22,0.0,29,0.0,40
564,0.0,50,0.0,32,0.0,70
565,0.0,36,0.0,27,0.0,70
566,0.0,55,0.0,48,0.0,38
567,0.0,31,0.0,37,0.0,36
568,0.0,27,2.0,32,0.0,50
569,0.0,19,0.0,36,0.0,48
570,0.0,38,1.0,38,0.0,32
571,0.0,55,0.0,40,2.0,33
572,0.0,48,0.0,44,2.0,51
573,0.0,58,0.0,33,1.0,48
574,0.0,93,0.0,39,1.0,30
575,3.0,32,0.0,72,2.0,60
576,1.0,44,0.0,23,0.0,49
577,0.0,35,0.0,37,0.0,56
578,0.0,62,0.0,32,0.0,51
579,0.0,69,3.0,43,0.0,46
580,0.0,40,0.0,85,0.0,59
581,0.0,49,0.0,38,0.0,39
582,0.0,32,0.0,47,0.0,26
583,0.0,58,0.0,48,0.0,42
584,0.0,59,0.0,27,0.0,60
585,0.0,32,3.0,46,0.0,43
586,0.0,41,0.0,64,1.0,45
587,1.0,40,0.0,38,0.0,26
588,0.0,35,1.0,36,0.0,31
589,0.0,25,1.0,36,1.0,44
590,1.0,31,0.0,49,3.0,60
591,0.0,40,5.0,43,0.0,61
