Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP10_T200s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP10_T200s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP11_T222s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP11_T222s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP12_T244s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Lex Tb-PEX5-eGFP12_T244s_1_correlation-CH2_2 fitted model: ,
0.001,0.3968809601030029,0.35750520824073956,0.42838798697154373,0.3783945322750846,0.37052415012058354,0.3238046647026084,
0.002,0.3883487806815465,0.35624775194217523,0.4085734490830419,0.37729923307297264,0.34602511503863564,0.3224609155033571,
0.003,0.37715182524373303,0.3549990827789366,0.4014581019005195,0.3762102500195368,0.3267724262819919,0.32112818301025015,
0.004,0.36006175004743535,0.3537591090171232,0.3940835867957628,0.3751275286689382,0.3275184330784072,0.3198063323731691,
0.005,0.36619056173965464,0.3525277401952651,0.3808660280936587,0.37405101519930467,0.3286976247540135,0.3184952309338558,
0.006,0.351410587023578,0.3513048871023373,0.389443162000008,0.3729806564038172,0.3293233026028963,0.31719474818155946,
0.007,0.35466355656902965,0.35009046175622777,0.3800659891690619,0.37191639968195034,0.3226570355745797,0.3159047557097564,
0.008,0.3620888552705257,0.34888437738264944,0.38183300768784345,0.3708581930308597,0.31563087746229496,0.3146251271739121,
0.009000000000000001,0.3456116595399641,0.3476865483944847,0.38079630767609884,0.3698059850369176,0.3123578907306132,0.3133557382502565,
0.01,0.3429243639134131,0.34649689037155246,0.371607618306809,0.36875972486739145,0.31409059599832395,0.31209646659554513,
0.011,0.3480395598268107,0.3453153200407871,0.36512840435118016,0.3677193622622626,0.31248034505973793,0.310847191807777,
0.012,0.35650204897753796,0.3441417552568208,0.37594271781328226,0.3666848475261834,0.3138520630433438,0.30960779538784405,
0.013000000000000001,0.3433721425651739,0.34297611498295855,0.3682854701205794,0.36565613152056975,0.30990523226917865,0.3083781607020867,
0.014,0.34028411402134545,0.34181831927253725,0.36819119586406807,0.3646331656558248,0.30591136640802385,0.30715817294572956,
0.015,0.3510567078307227,0.340668289250659,0.36689532750595977,0.3636159018836945,0.305261554170046,0.3059477191071739,
0.016,0.31909238070588314,0.3395259470962915,0.35666996522015104,0.3626042926897491,0.3015553807314181,0.3047466879331234,
0.018000000000000002,0.33407263067806325,0.33726402027038094,0.3621841835339745,0.3605978506035797,0.29608033271096174,0.30237245715327443,
0.02,0.3327642906974598,0.33503193664590497,0.3513344292043461,0.3586134696804742,0.29693459965412455,0.300034624471007,
0.022,0.3295465782977042,0.33282910984870595,0.3532427791488396,0.35665078828416136,0.2931080603174822,0.29773235978412627,
0.024,0.3300297474605658,0.3306549687661579,0.35544563796348194,0.35470945263937875,0.28410736346723625,0.29546485804138445,
0.026000000000000002,0.318762025227803,0.32850895705386396,0.3477187553953566,0.3527891166194311,0.2866342058877807,0.29323133830456966,
0.028,0.31834943830074536,0.3263905326613628,0.3447147029807656,0.35088944154059976,0.2864656735964556,0.29103104285241843,
0.03,0.32329959622433074,0.3242991673759995,0.33471312618017457,0.34901009596314975,0.2850096181594162,0.28886323632419547,
0.032,0.31430661691738415,0.3222343463841498,0.34364364599107156,0.3471507554986861,0.27548056506484814,0.2867272049009042,
0.036000000000000004,0.3080137046681255,0.31818234250440813,0.3307675958716109,0.3434908264985575,0.2824256146513373,0.2825477151373061,
0.04,0.30662868089064843,0.31423065484184404,0.32409389433055313,0.3399071935173085,0.2696415775389724,0.27848726492199133,
