Time (ms),2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP10_T200s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP10_T200s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP11_T222s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP11_T222s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP12_T244s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Lex Tb-PEX5-eGFP12_T244s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,1.448590052907266, ,1.288211474744494, ,1.2290463067456239, ,
0.000082,0.34068408485974633, ,0.4312365214551519, ,0.4018024012941366, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,0.514531033944712, ,0.6064599246721689, ,0.5326573483185091, ,
0.000122,1.5355135325914944, ,1.644548145755619, ,1.5840091526179436, ,
0.000138,0.742889315197762, ,0.6417991007107213, ,0.6890816534990836, ,
0.000154,0.19335616774267095, ,0.19711450219340287, ,0.1686700318955674, ,
0.00017,1.3543001945412039, ,1.4693247500422975, ,1.4065277381323118, ,
0.000186,0.22134847486610143, ,0.2707377823442616, ,0.25289850466745434, ,
0.000218,0.7207901338070726, ,0.6822919103722258, ,0.6890816602554153, ,
0.00025,0.504954729877042, ,0.4238742056304494, ,0.466477846290293, ,
0.000282,0.3885656732046836, ,0.4201930439792083, ,0.3250943432296378, ,
0.000314,0.40256182812299457, ,0.4599496167531183, ,0.4506850125878237, ,
0.000346,0.5034814578672475, ,0.568912071749242, ,0.4664778533293916, ,
0.000378,0.39961527413932174, ,0.38264517853559354, ,0.29651683240256776, ,
0.000442,0.49316851039940657, ,0.4801960278707189, ,0.42661974416360327, ,
0.000506,0.3638882613967578, ,0.43418148297394854, ,0.3074214196968905, ,
0.00057,0.4357106292025825, ,0.4698887781931216, ,0.4051866151975725, ,
0.000634,0.4084549675831668, ,0.4073089949948314, ,0.3382550654245551, ,
0.000698,0.4106648909794868, ,0.45884529558238896, ,0.36570452744471216, ,
0.000762,0.36462491848664413, ,0.43344526852794085, ,0.36119229217240933, ,
0.00089,0.40955994506663473, ,0.42442642580069423, ,0.3455874720203205, ,
0.001018,0.39482716125701023,0.3675258392985416,0.4087814876411684,0.389991853542393,0.35047574030743056,0.33320302847170113,
0.001146,0.40072028735394705,0.36734549965806096,0.4065727982043015,0.3898321712715359,0.368524707867264,0.33300968705919776,
0.001274,0.39040734120498644,0.3671653364970904,0.4190887651872808,0.38967262001572595,0.37059282651494585,0.33281656851601404,
0.001402,0.3808310345797037,0.36698534955685214,0.4205612399236982,0.3895131996138797,0.36796069541102483,0.3326236724572325,
0.00153,0.36922896876574884,0.3668055385790735,0.4492743294566601,0.38935390990517793,0.33167477564700887,0.3324309984988214,
0.001786,0.38654001853283204,0.3664464434803267,0.40040689316920286,0.389035721925247,0.3531079320919992,0.33204631535139734,
0.002042,0.3789894795681712,0.36608804914473764,0.4146714225763102,0.38871805479463717,0.35207389442752834,0.33166251601910923,
0.002298,0.3921569316544964,0.36573035352420585,0.3844858934199902,0.38840090723624165,0.3491597567411273,0.3312795974613358,
0.002554,0.3860796719646671,0.36537335457860465,0.39893448120586217,0.38808427797712536,0.3302647688141711,0.33089755665138704,
0.00281,0.38930248842699666,0.3650170502757415,0.4090577011977956,0.38776816574850753,0.3157880155059374,0.3305163905764249,
0.003066,0.371899392896601,0.3646614385913201,0.394056974133175,0.3874525692857457,0.3306408228825093,0.33013609623738405,
0.003578,0.35712059331714197,0.3639522850198675,0.40473238697578173,0.3868229186198069,0.32349647650696056,0.3293781108391954,
0.00409,0.38037082031679903,0.363245877826346,0.3807588382819138,0.3861953159442846,0.33186295611792604,0.328623576736775,
0.004602,0.36108010158456194,0.3625422010967616,0.3868327954249495,0.3855697512892891,0.32951286494859167,0.32787247042546275,
0.005114,0.3593766569082948,0.3618412390398337,0.38296760786817496,0.3849462147495379,0.32974791151667593,0.3271247686135455,
0.005626,0.35827173199146234,0.3611429759858135,0.3936430215200575,0.38432469648383233,0.3199714239550564,0.32638044821985057,
0.006138,0.3455186897042788,0.36044739638531825,0.38448615924174745,0.3837051867145413,0.32923095200181707,0.3256394863713726,
0.007162,0.3518722774549665,0.3590642259422899,0.38469329566982857,0.3824721538694426,0.32142860317981126,0.32416754784486396,
0.008186,0.3632212052157886,0.35769160567949015,0.3775611086342878,0.38124703924518205,0.32246272613895943,0.32270877412512566,
0.00921,0.34307877656401975,0.3563294154190456,0.37295972219965345,0.3800297668574867,0.310665162300362,0.32126298948731735,
0.010234,0.3457491652607738,0.35497753680141464,0.3739721130796576,0.3788202616911711,0.30817409592403466,0.31983002132013266,
0.011258,0.347107414197666,0.3536358532511272,0.37015297375438805,0.3776184496847368,0.3164466065887088,0.3184097000571446,
0.012282,0.3523330235698283,0.35230424994329607,0.37111935001762797,0.37642425771526405,0.32462511305378916,0.31700185910996165,
0.01433,0.34207775021328746,0.3496708333126782,0.3648039891180874,0.37405844599977595,0.30491943876316707,0.3142229663107672,
