Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100015_T308s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100015_T308s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100016_T330s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100016_T330s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100017_T352s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_TbPEX5EGFP 1-100017_T352s_1_correlation-CH2_2 fitted model: ,
0.001,1.122101617214573, ,1.0463986822496616, ,1.068147715535929, ,
0.002,1.0360646550114263,0.9720681753851034,0.9322285959260581,0.87961939590369,0.9829304911457699,0.9070569358049245,
0.003,1.00229514506509,0.969052202839327,0.9302295052821191,0.8763677800490169,0.9539251527313432,0.903854275414948,
0.004,1.0169214312550063,0.9660546843283792,0.9195677025659112,0.8731399468269481,0.926268896951645,0.9006739696903436,
0.005,1.0231591132391873,0.9630754510919527,0.9120155903803193,0.8699356364151921,0.9186240748486721,0.8975157855249897,
0.006,1.0091781042507226,0.9601143364211748,0.8977998522558874,0.8667545927623536,0.9318900798711721,0.8943794930424669,
0.007,1.018211988640631,0.9571711756275313,0.900465297352338,0.8635965635197701,0.9377361146625515,0.8912648655403176,
0.008,0.9700312728435582,0.9542458060123522,0.8986883254820229,0.8604612999748217,0.8866956985843796,0.8881716794354537,
0.009000000000000001,0.9582011840618856,0.9513380668368501,0.8806965297215891,0.8573485569856775,0.9078313715911039,0.8850997142106891,
0.01,0.9732576574487244,0.9484477992926974,0.8407147646578282,0.8542580929174423,0.8907429450738358,0.8820487523623678,
0.011,0.9545446070831398,0.9455748464731316,0.8711453193062427,0.851189669579668,0.9004113893319166,0.8790185793490606,
0.012,0.9386277577143536,0.94271905334458,0.8338290006396286,0.8481430521651975,0.8786011594719623,0.8760089835413077,
