Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,4.672773064542956, ,4.886096518083781, ,4.873551691305627, ,
0.000082,2.9521215204804596, ,3.2479847529577945, ,2.7658178322955997, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,2.1993364727996165, ,2.0402243856671305, ,2.1897039140183683, ,
0.000122,4.054413927458093, ,4.12256985940026, ,3.8196847726148286, ,
0.000138,2.239664248648675, ,2.0679889968377756, ,2.555044456113901, ,
0.000154,1.1239292601493296, ,1.33222693158864, ,1.3606619332211038, ,
0.00017,3.1806455723726623, ,2.84539797956477, ,3.2997770960925905, ,
0.000186,0.6534386039010203, ,0.8046994142359087, ,1.009372958278239, ,
0.000218,1.5272069758597668, ,1.630696458037666, ,1.7260024792286397, ,
0.00025,1.533928275062658, ,1.1725804556286525, ,1.2060947934210144, ,
0.000282,1.103765388232404, ,1.318344643262019, ,0.9742440698827313, ,
0.000314,1.224748704853328, ,1.2350508273197502, ,1.2904041559129862, ,
0.000346,1.4868792208845814, ,1.3114034990320724, ,1.1779916854879766, ,
0.000378,0.9357330182722308, ,1.2419919861318567, ,0.8969605032988963, ,
0.000442,1.2381913095395536, ,1.1378747180753792, ,1.230685043424947, ,
0.000506,1.0432737545866653, ,0.8532875050413966, ,0.9145249646566291, ,
0.00057,1.1541751330283874, ,1.030286879997408, ,1.23068505770151, ,
0.000634,0.9693395194917112, ,0.9157578826408797, ,0.9145249769097425, ,
0.000698,1.0667983077868652, ,1.1725805042950839, ,0.9988343400874391, ,
0.000762,1.0836015527291503, ,1.0198751717987302, ,0.9110120992744837, ,
0.00089,1.0936835091259414, ,0.9903752894165245, ,0.9303330060148169, ,
0.001018,1.1323309711758096, ,1.068463260827262, ,1.0286939365025605, ,
0.001146,1.0180689619954832, ,0.9348460994825016, ,1.0076166097514418, ,
0.001274,1.097044197076813, ,0.9990517675957489, ,0.9882957277196813, ,
0.001402,1.0970442104980371, ,0.9730224603326865, ,1.0567970954602632, ,
0.00153,0.935733129771626, ,0.962610744870694, ,0.9707313030538423, ,
0.001786,1.0659582582624378, ,0.9704195661595163, ,0.986539333586576, ,
0.002042,1.0407534256011637,0.9890197449385133,0.8958022048295704,0.8957562692652062,0.9558015705240994,0.9233592569952767,
0.002298,1.0147084303136902,0.9881915456891731,0.9825666331737819,0.8948607074023365,1.067335858080432,0.9224805259193241,
0.002554,1.0735197955213955,0.987364719039285,0.8610964912874481,0.8939669270296501,0.9803918520151698,0.9216034537219615,
0.00281,0.9886634598146196,0.9865392615813598,0.9391844807787362,0.8930749228397664,0.8864220632279198,0.9207280357128487,
0.003066,1.054196122300218,0.9857151699191791,0.9730226244902966,0.8921846895463662,0.9839047930069056,0.9198542672193094,
0.003578,0.9722803765030856,0.9840710704532384,0.8923317740438579,0.8904095146084129,0.961510167603929,0.9181116601760777,
0.00409,1.040333553548427,0.9824323936953316,0.9287728754659503,0.8886413603424967,0.9290159809446759,0.9163755955610168,
0.004602,1.0079873657886935,0.9807991128766792,0.9244347041395331,0.886880185205684,0.8618319983134994,0.9146460366202496,
0.005114,1.0512557653047976,0.9791712014043987,0.8962363181100887,0.8851259479821475,0.9443849763174965,0.9129229468746792,
0.005626,0.9676596868026237,0.9775486328600617,0.908817207339113,0.8833786077799538,0.9527281416083437,0.9112062901174255,
0.006138,1.0218501953510875,0.9759313809982657,0.9118540109312603,0.8816381240278888,0.9544846370151492,0.9094960304112903,
0.007162,1.0069374200822558,0.9727127231973437,0.9031776663015814,0.8781775651740876,0.9424091742305412,0.9060945597369872,
0.008186,0.9546374241272324,0.9695150214455345,0.9010086530050392,0.8747439531470669,0.8787381208214,0.902718252653295,
0.00921,0.9613588223762508,0.9663380718660705,0.8639169547757048,0.8713369746075872,0.8930093382137481,0.8993668311191291,
0.010234,0.982362980657125,0.9631816732182115,0.863266316920736,0.8679563210555897,0.8548067395080166,0.8960400211745193,
0.011258,0.9445557760747083,0.9600456268547792,0.8381047238661599,0.8646016887371347,0.9149651053851928,0.8927375528660026,
0.012282,0.9569482710423998,0.9569297366805101,0.8643510633141716,0.8612727785534809,0.868638941345522,0.8894591601736513,
0.01433,0.9535878214905589,0.9507576530336713,0.845588440556676,0.8546909509405943,0.8570026770471757,0.88297355679864,
0.016378,0.9251275143991782,0.9446639030210716,0.8400573948935348,0.8482085352053249,0.8923513493089692,0.8765811588865201,
0.018426,0.9402506393868015,0.9386470056822881,0.8371292823189824,0.8418232973396633,0.8432808191203427,0.8702799727999265,
0.020474,0.8775536932627226,0.9327055171539846,0.8224879639491656,0.8355330697740292,0.8365845549250355,0.864068061355502,
