Time (ms),0cd20,0cd20 fitted model: ,dirty,dirty fitted model: ,19e3e,19e3e fitted model: ,34a6d,34a6d fitted model: ,484af,484af fitted model: ,714af,714af fitted model: ,34766,34766 fitted model: ,c1204,c1204 fitted model: ,fe81d,fe81d fitted model: ,ff67b,ff67b fitted model: ,
1.0,0.04255865848361385, ,0.3889186146048208, ,0.040636490276988804, ,0.04396376702294664, ,0.0421460854803335, ,0.042071228419296475, ,0.049461564379942, ,0.04552324869495128, ,0.04006206525704342, ,0.04162182894078691, ,
2.0,0.04199349782114776, ,0.37921292053846023, ,0.04017901733621127, ,0.0434681820249512, ,0.04160126485281958, ,0.04149493553715573, ,0.04892575449551165, ,0.04500317759811878, ,0.039538499601462294, ,0.04104690479553344, ,
3.0,0.041460863351026465, ,0.3704771668246637, ,0.03974794655934804, ,0.043000605550971426, ,0.041093202420281916, ,0.0409514740225406, ,0.04842347469410956, ,0.04450335580555872, ,0.0390328678326702, ,0.0405007715527558, ,
4.0,0.0409559571479192, ,0.3626038648808996, ,0.03933258814827746, ,0.04255286431764715, ,0.04060743423705956, ,0.04042484887408143, ,0.047939963606419944, ,0.04402416082405953, ,0.03854600760088645, ,0.03997233193943054, ,
5.0,0.04047178335859046, ,0.35546834451146425, ,0.03893246761355032, ,0.04211659409560775, ,0.04013768073241666, ,0.03991458151518487, ,0.04747753870820907, ,0.043565690720817826, ,0.03807077472025466, ,0.039468381855938886, ,
6.0,0.04000655659789292, ,0.3490044009623428, ,0.0385410497805828, ,0.041693075343198674, ,0.03967496351040197, ,0.039414610470924163, ,0.04703516226161171, ,0.043122829120049534, ,0.03761979214653206, ,0.038976587459416234, ,
7.0,0.039558500227157116, ,0.34303939822129903, ,0.038160490027318396, ,0.04128069781790708, ,0.03923584019659825, ,0.03892551414697551, ,0.04660487003825806, ,0.042695977318304025, ,0.03720028447437353, ,0.03849584823222579, ,
8.0,0.039122918418532375, ,0.3375216766850402, ,0.03778829030408007, ,0.04088497594468125, ,0.038806135776751446, ,0.03843835566975611, ,0.046186369617243074, ,0.042282394336900495, ,0.036793017386005274, ,0.0380305604879748, ,
9.0,0.03870118956257228, ,0.33232740848946074, ,0.037425615404370345, ,0.040499831581815283, ,0.03838748095803103, ,0.03796015589240692, ,0.04577599717915403, ,0.04187631817941351, ,0.03641608714032572, ,0.0375750388151833, ,
10.0,0.03829456874073294, ,0.327430944799756, ,0.03707006749270173, ,0.04012392773044132, ,0.03797897299365053, ,0.03749148792257453, ,0.04537455897965256, ,0.04148083159493075, ,0.036052960189246336, ,0.037128429500292624, ,
