name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002634,6.941187180008537e-05,0.045346,0.00015233444315495282,22.052661756273984,1.0,0,95.957845,0.694065040862806,0.991885,0.006925513127049748
19e3e,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002444,7.37782758131722e-05,0.043016,0.00015548688733247625,23.24716384601079,1.0,0,103.368491,0.802436732931771,1.046673,0.008244754150582408
34a6d,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003265,9.894686756605686e-05,0.047539,0.00020426875464770602,21.035360440901155,1.0,0,111.054776,1.0190418622558353,0.977846,0.008769311069466924
484af,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002521,6.316389861246843e-05,0.045042,0.00014191351071589128,22.201500821455532,1.0,0,91.135914,0.6198737248611162,0.987879,0.006411696391504517
714af,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002737,9.193026667486568e-05,0.044901,0.0002048693220823077,22.271218903810603,1.0,0,93.373224,0.9184383034074064,0.969146,0.009010385484804876
34766,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004637,0.00011299509208487278,0.054821,0.00022065948895258892,18.24118494737418,1.0,0,129.420119,1.0951200429237464,0.909995,0.00733214530150596
c1204,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005292,0.000135312608827541,0.052122,0.00026720882630785033,19.185756494378573,1.0,0,127.842217,1.3653381201447805,0.842814,0.00818048611332255
fe81d,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00252,6.206074848879746e-05,0.042541,0.00013348192320462583,23.50673467948567,1.0,0,100.054036,0.6746927022837365,1.004801,0.006644991785394895
ff67b,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002648,8.014378469508062e-05,0.044309,0.00017748600447706675,22.568778352027802,1.0,0,94.432929,0.8150054884564248,0.978133,0.008047059429351244
dirty,Not known,average_data,average_data,Wed May 25 17:34:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.028176,0.0010033991184941482,0.423065,0.0024263387518369864,2.3637029770838995,1.0,0,80.928565,1.010484204870966,0.811258,0.008250411229197657
