Time (ms),2022-04-25_multipletau_0cd20_3dot0-0dot01_0511_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0511_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_3dot0-0dot01_0546_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0546_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_3dot0-0dot01_0555_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0555_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_3dot0-0dot01_0578_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0578_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_3dot0-0dot01_0586_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0586_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_3dot0-0dot01_0593_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot01_0593_correlation-CH1_1 fitted model: ,
1.0,0.38640257716178894, ,0.13071049749851227, ,0.39720919728279114, ,0.248737171292305, ,0.11210759729146957, ,0.30267930030822754, ,
2.0,0.38350242376327515, ,0.12787193059921265, ,0.3940156102180481, ,0.24591489136219025, ,0.10780332237482071, ,0.3004084527492523, ,
3.0,0.38114309310913086, ,0.12585175037384033, ,0.3915928602218628, ,0.24367935955524445, ,0.1041843369603157, ,0.29853177070617676, ,
4.0,0.3791947364807129, ,0.12415079772472382, ,0.3896467089653015, ,0.24197918176651, ,0.1015898808836937, ,0.2970410883426666, ,
5.0,0.3774872422218323, ,0.12255555391311646, ,0.3880182206630707, ,0.2405916154384613, ,0.09970015287399292, ,0.2958182990550995, ,
6.0,0.37586677074432373, ,0.12123985588550568, ,0.386667937040329, ,0.23940208554267883, ,0.09811656922101974, ,0.29446694254875183, ,
7.0,0.37420737743377686, ,0.1198958083987236, ,0.38557103276252747, ,0.2382325679063797, ,0.0966157540678978, ,0.29317304491996765, ,
8.0,0.37266936898231506, ,0.11868096888065338, ,0.38440242409706116, ,0.23696596920490265, ,0.09546360373497009, ,0.29202911257743835, ,
9.0,0.3711819350719452, ,0.11775422096252441, ,0.38316670060157776, ,0.23579524457454681, ,0.09448813647031784, ,0.2909420132637024, ,
10.0,0.36967602372169495, ,0.11698754876852036, ,0.38216158747673035, ,0.23472213745117188, ,0.09362386912107468, ,0.2900610566139221, ,
11.0,0.3682529032230377, ,0.11614935845136642, ,0.381204217672348, ,0.23360002040863037, ,0.09256882220506668, ,0.28912127017974854, ,
12.0,0.367021769285202, ,0.11522570252418518, ,0.38012534379959106, ,0.23248976469039917, ,0.09139032661914825, ,0.28828784823417664, ,
13.0,0.36579635739326477, ,0.1143721267580986, ,0.37910202145576477, ,0.23158961534500122, ,0.09035566449165344, ,0.28746870160102844, ,
14.0,0.3646841049194336, ,0.11343015730381012, ,0.37784114480018616, ,0.23069223761558533, ,0.08949166536331177, ,0.2866622805595398, ,
15.0,0.36364465951919556, ,0.11266054213047028, ,0.37673845887184143, ,0.22990038990974426, ,0.08879536390304565, ,0.28570136427879333, ,
16.0,0.36254507303237915, ,0.11173035204410553, ,0.3757079243659973, ,0.22921143472194672, ,0.08836240321397781, ,0.2848128080368042, ,
18.0,0.36054569482803345, ,0.1102604791522026, ,0.37412145733833313, ,0.22760553658008575, ,0.0876276046037674, ,0.2830677032470703, ,
20.0,0.35848861932754517, ,0.1087842509150505, ,0.3720393180847168, ,0.22585079073905945, ,0.08670493960380554, ,0.281042218208313, ,
22.0,0.35656777024269104, ,0.10765960812568665, ,0.3703387677669525, ,0.22448468208312988, ,0.08580935746431351, ,0.2793552279472351, ,
24.0,0.35451164841651917, ,0.10665961354970932, ,0.36918145418167114, ,0.2228320688009262, ,0.08414175361394882, ,0.2781549394130707, ,
26.0,0.3525253236293793, ,0.10554758459329605, ,0.3681744337081909, ,0.22123481333255768, ,0.08226541429758072, ,0.27664515376091003, ,
28.0,0.35097384452819824, ,0.1043308675289154, ,0.366878867149353, ,0.219758540391922, ,0.08120595663785934, ,0.27504661679267883, ,
30.0,0.3496706783771515, ,0.10356202721595764, ,0.3654853105545044, ,0.21812060475349426, ,0.08040210604667664, ,0.27342289686203003, ,
32.0,0.34841734170913696, ,0.10258755087852478, ,0.36404287815093994, ,0.2164398431777954, ,0.07962089031934738, ,0.27178069949150085, ,
36.0,0.3462192118167877, ,0.10141333192586899, ,0.3614455759525299, ,0.213504359126091, ,0.07824000716209412, ,0.26859578490257263, ,
40.0,0.3442140221595764, ,0.1005060076713562, ,0.3587157130241394, ,0.2100696563720703, ,0.07656106352806091, ,0.26587730646133423, ,
44.0,0.34158650040626526, ,0.0988895446062088, ,0.35573610663414, ,0.2064034789800644, ,0.07555291056632996, ,0.26313716173171997, ,
48.0,0.3388764560222626, ,0.09758716076612473, ,0.35254764556884766, ,0.20302878320217133, ,0.07571244239807129, ,0.2598385214805603, ,
52.0,0.33609017729759216, ,0.0956762433052063, ,0.35026440024375916, ,0.200320303440094, ,0.07597854733467102, ,0.25634515285491943, ,
56.0,0.33368825912475586, ,0.09366439282894135, ,0.34768247604370117, ,0.1979575902223587, ,0.07570961117744446, ,0.25309187173843384, ,
60.0,0.33191677927970886, ,0.09168057888746262, ,0.34505224227905273, ,0.19482050836086273, ,0.07466580718755722, ,0.24994002282619476, ,
64.0,0.33030205965042114, ,0.0894620418548584, ,0.34353601932525635, ,0.19179491698741913, ,0.07425324618816376, ,0.24716787040233612, ,
72.0,0.32528966665267944, ,0.08428336679935455, ,0.3405265510082245, ,0.18643547594547272, ,0.07216308265924454, ,0.24281764030456543, ,
80.0,0.3202081024646759, ,0.08029161393642426, ,0.33715805411338806, ,0.18209494650363922, ,0.06888776272535324, ,0.23849283158779144, ,
88.0,0.3182041347026825, ,0.07659532874822617, ,0.33115166425704956, ,0.17679455876350403, ,0.06665600836277008, ,0.2354452908039093, ,
96.0,0.31694358587265015, ,0.07246150821447372, ,0.32423901557922363, ,0.16977807879447937, ,0.06310571730136871, ,0.23425047099590302, ,
104.0,0.31540030241012573, ,0.06767985969781876, ,0.3175033926963806, ,0.1629752367734909, ,0.05979238077998161, ,0.2327680140733719, ,
112.0,0.31335878372192383, ,0.062195662409067154, ,0.31242144107818604, ,0.15632043778896332, ,0.05631633847951889, ,0.2304079532623291, ,
120.0,0.31126686930656433, ,0.05672292411327362, ,0.3083779513835907, ,0.1485251635313034, ,0.05394254997372627, ,0.22820450365543365, ,
128.0,0.308651328086853, ,0.05120806023478508, ,0.3050932288169861, ,0.1410859376192093, ,0.05342331528663635, ,0.22586944699287415, ,
144.0,0.30484718084335327, ,0.04318938031792641, ,0.3012015223503113, ,0.1284220963716507, ,0.04836832359433174, ,0.22020277380943298, ,
160.0,0.3045121431350708, ,0.03522740676999092, ,0.29494813084602356, ,0.11815345287322998, ,0.040391579270362854, ,0.21383756399154663, ,
176.0,0.3032457232475281, ,0.028800982981920242, ,0.2881105840206146, ,0.11149109154939651, ,0.032759957015514374, ,0.2093334048986435, ,
192.0,0.29865801334381104, ,0.021010737866163254, ,0.2804810702800751, ,0.10615108162164688, ,0.02715643309056759, ,0.20517399907112122, ,
208.0,0.2933772802352905, ,0.013885109685361385, ,0.2757389545440674, ,0.10034939646720886, ,0.02542188949882984, ,0.19902963936328888, ,
224.0,0.2879716455936432, ,0.0069589437916874886, ,0.27414825558662415, ,0.09609740227460861, ,0.020553624257445335, ,0.19256973266601562, ,
240.0,0.2799520790576935, ,0.00032137357629835606, ,0.2726868689060211, ,0.09361948817968369, ,0.013598058372735977, ,0.1889670342206955, ,
256.0,0.27566421031951904, ,-0.004848855081945658, ,0.27132701873779297, ,0.09354732185602188, ,0.010563571937382221, ,0.1849207580089569, ,
288.0,0.26501235365867615, ,-0.012366240844130516, ,0.26613372564315796, ,0.0939563736319542, ,0.00603972002863884, ,0.17734664678573608, ,
320.0,0.2476073056459427, ,-0.01615377515554428, ,0.2592207193374634, ,0.0867663249373436, ,0.0021693557500839233, ,0.17155690491199493, ,
352.0,0.23445074260234833, ,-0.019012555480003357, ,0.24556846916675568, ,0.07568635046482086, ,-0.0024035507813096046, ,0.16398148238658905, ,
384.0,0.22113990783691406, ,-0.0198501143604517, ,0.22976936399936676, ,0.06939190626144409, ,-0.005333160050213337, ,0.16005870699882507, ,
416.0,0.20929478108882904, ,-0.020351147279143333, ,0.21004793047904968, ,0.05867507681250572, ,-0.007070595398545265, ,0.1551937758922577, ,
448.0,0.19890962541103363, ,-0.023715870454907417, ,
