Time (ms),2022-04-25_multipletau_0cd20_3dot0-0dot1_2497_correlation-CH1_1,2022-04-25_multipletau_0cd20_3dot0-0dot1_2497_correlation-CH1_1 fitted model: ,
1.0,0.01653752475976944, ,
2.0,0.013723346404731274, ,
3.0,0.011863305233418941, ,
4.0,0.010484241880476475, ,
5.0,0.009427129290997982, ,
6.0,0.008444072678685188, ,
7.0,0.007552765775471926, ,
8.0,0.006792321801185608, ,
9.0,0.006310674361884594, ,
10.0,0.005798657424747944, ,
11.0,0.005134101957082748, ,
12.0,0.004722937475889921, ,
13.0,0.004389435984194279, ,
14.0,0.004136520903557539, ,
15.0,0.003919947426766157, ,
16.0,0.0036267470568418503, ,
18.0,0.003229024587199092, ,
20.0,0.002997221890836954, ,
22.0,0.002834274200722575, ,
24.0,0.002701553050428629, ,
26.0,0.0025424601044505835, ,
28.0,0.002429051324725151, ,
30.0,0.0023014978505671024, ,
32.0,0.0022738524712622166, ,
36.0,0.0019958557095378637, ,
40.0,0.0015995019348338246, ,
44.0,0.0012831343337893486, ,
48.0,0.0013490202836692333, ,
52.0,0.001222515245899558, ,
56.0,0.001072662533260882, ,
60.0,0.0006761340191587806, ,
64.0,0.0003900353913195431, ,
72.0,0.0005014220951125026, ,
80.0,0.0008233269909396768, ,
88.0,0.0005342245567589998, ,
96.0,0.00024865628802217543, ,
104.0,0.0006989087560214102, ,
112.0,0.0009823647560551763, ,
120.0,0.0007383383344858885, ,
128.0,0.0007214401266537607, ,
144.0,0.0009519958402961493, ,
160.0,0.0006510941893793643, ,
176.0,0.00039112017839215696, ,
192.0,0.00010122491949005052,0.016822780507019543,
208.0,0.0005243490450084209,0.013828039446784263,
224.0,0.00032955026836134493,0.011734699368685557,
240.0,0.0005200676969252527,0.01018902169441569,
256.0,0.0008704075589776039,0.009000947864754595,
288.0,0.0006665862165391445,0.008059243879061838,
320.0,0.0006195091409608722,0.007294474814649403,
352.0,0.0006830530473962426,0.006661057045867409,
384.0,0.00048553571105003357,0.0061278268553452715,
416.0,0.0004071588336955756,0.005672756340134427,
448.0,0.00042522436706349254,0.00527983424441214,
480.0,0.0005370027502067387,0.0049371430490265465,
512.0,-0.00013924467202741653,0.0046356292250249115,
576.0,0.00031285782461054623,0.004368291658375883,
640.0,0.00035913119791075587,0.004129631246401558,
704.0,-1.2755506759276614e-05,0.003915268602250656,
768.0,-0.0004953484167344868,0.0035459656954165354,
832.0,7.120038935681805e-05,0.003239138335964912,
896.0,-0.00023990872432477772,0.002980169304418841,
960.0,0.0005929985200054944,0.0027586714153850535,
1024.0,-0.000524260860402137,0.0025670606037701965,
1152.0,-0.0005280500627122819,0.002399670112654332,
1280.0,-0.000544533075299114,0.0022521806229172645,
1408.0,-0.0002057904057437554,0.0021212422334517186,
1536.0,-0.0005142033915035427,0.001898999079571361,
1664.0,-0.0005907064769417048,0.001717492780364725,
1792.0,-0.0004504434473346919,0.001566463161995448,
1920.0,-0.0003238143108319491,0.0014388287501318129,
2048.0,4.638452810468152e-05,0.0013295442700803155,
2304.0,2.6184208579138613e-08,0.0012349178696750966,
2560.0,0.0005509338807314634,0.0011521858132047286,
2816.0,0.00044281972805038095,0.0010792380719398596,
3072.0,-6.285728886723518e-05,0.0009564869371796402,
3328.0,-6.325612775981426e-05,0.0008572163054126114,
3584.0,-0.00030474859522655606,0.0007752770762618492,
3840.0,-0.0005066664307378232,0.0007064948789319234,
4096.0,-0.0005851199384778738,0.0006479362764008263,
4608.0,5.9043228247901425e-05,0.0005974795423077256,
5120.0,-0.00015672875451855361,0.0005535520662519444,
5632.0,5.811261144117452e-05,0.0005149635058382872,
6144.0,-0.0005600944277830422,0.0004503317163096634,
6656.0,-0.00024253185256384313,0.0003983383931923262,
7168.0,0.0006037351558916271,0.0003556066119333847,
7680.0,0.00020387032418511808,0.00031986412007501503,
8192.0,0.0005352467414923012, ,
