Time (ms),2024-01-23_multipletau_mod-filtering_3dot0_0000_correlation-CH1_1,2024-01-23_multipletau_mod-filtering_3dot0_0000_correlation-CH1_1 fitted model: ,
1.0,0.013703638733818524,0.013977619119063575,
2.0,0.01047783074327846,0.010311843639996992,
3.0,0.008142750443150826,0.007913302057963497,
4.0,0.0064785059992555905,0.006221723900970243,
5.0,0.005147030645553441,0.004964692896959999,
6.0,0.004136420951056596,0.003993823062212924,
7.0,0.003308480159825322,0.00322138401638823,
8.0,0.002660487328072003,0.002592181868965404,
9.0,0.002022977207547294,0.002069755580528231,
10.0,0.001335222074009712,0.0016290511301180989,
11.0,0.0006620173435631926,0.0012522841830594263,
12.0,0.000303854805229653,0.0009264817032774621,
13.0,0.00030758021973054106,0.0006419579895348658,
14.0,0.0002405884495193522,0.0003913354553935237,
15.0,0.00018951399534361535,0.00016889575289716482,
16.0,-3.3619030539444594e-06,-2.9861855446349124e-05,
18.0,-0.0002496901859043721,-0.00037000308341963734,
20.0,-0.0007389999010044557,-0.0006504323734947601,
22.0,-0.000972614589740517,-0.0008856046278596739,
24.0,-0.0007636519710252365,-0.0010856575127995535,
26.0,-0.0008333417339690952,-0.0012579112553105236,
28.0,-0.0012241155497059175,-0.0014077838276865704,
30.0,-0.0014009475644143343,-0.0015393711601471294,
32.0,-0.0015851732556046993,-0.0016558271966065508,
36.0,-0.002080148855559627,-0.0018527084510002575,
40.0,-0.0017742249239057761,-0.002012776978453328,
44.0,-0.0012373121838598067,-0.0021454748700501305,
48.0,-0.0010952355194400187,-0.0022572694794098,
52.0,-0.0015615273721504286,-0.0023527393811179132,
56.0,-0.0017233733795306572,-0.0024352169713042823,
60.0,-0.0016374669287251287,-0.0025071854315717075,
64.0,-0.0017649818798055605,-0.0025705330401370463,
72.0,-0.00234800433644633,-0.00267689887391239,
80.0,-0.002653198929025491,-0.0027627073173320444,
88.0,-0.0027649569791884376,-0.002833392911158814,
96.0,-0.002932115828074955,-0.0028926297622139654,
104.0,-0.0027015295713436194,-0.0029429909716110645,
112.0,-0.002019889120411955,-0.002986332308979803,
120.0,-0.0024047178017501114,-0.0030240258985692113,
128.0,-0.0027064118986664942,-0.0030571081394591194,
144.0,-0.002574101667665585,-0.003112454469410248,
160.0,-0.002617981347668774,-0.003156920943216525,
176.0,-0.0033505874503039212,-0.0031934285649070217,
192.0,-0.004878671063212714,-0.003223938594170746,
208.0,-0.005365313436121566,-0.0032498168008050963,
224.0,-0.0055066619263342,-0.0032720435275127623,
240.0,-0.005450057521668161,-0.0032913406915993496,
256.0,-0.005906054030076158,-0.0033082516736599797,
288.0,-0.006875525112967518,-0.0033364906413343456,
320.0,-0.005857303235529243,-0.0033591305530813634,
352.0,-0.0054561832620315664,-0.003377686435320636,
384.0,-0.006689110946245025,-0.0033931719425385467,
416.0,-0.0068919442493985406,-0.0034062909100377294,
448.0,-0.006864649034096892,-0.0034175473199232614,
480.0,-0.00589048676518622,-0.003427311534477976,
512.0,-0.005587775713349785,-0.003435861826416453,
576.0,-0.004191531513961677,-0.0034501260294217016,
640.0,-0.0043036193580933135,-0.003461549754454742,
704.0,-0.005408645881375684,-0.0034709046242913533,
768.0,-0.004916133756602714,-0.0034787059836159135,
832.0,-0.004233975141585189,-0.003485311138619036,
896.0,-0.004530646664858473,-0.003490975624393263,
960.0,-0.0038367803907268794,-0.0034958870304863184,
1024.0,-0.0037628967551707193,-0.0035001861762827785,
1152.0,-0.004567454157060391,-0.003507354875955352,
1280.0,-0.0056884333499489514,-0.0035130929489558143,
1408.0,-0.005994916455334454,-0.003517789795835519,
1536.0,-0.005382281694558011,-0.0035217052519234807,
1664.0,-0.003000632720682961,-0.0035250193368253405,
1792.0,-0.0019032247934044344,-0.003527860715798638,
1920.0,-0.0034167062975856144,-0.003530323793070397,
2048.0,-0.006080979632689054,-0.003532479403866977,
2304.0,-0.007634215815371048,-0.0035360729561713412,
2560.0,-0.005244325345351575,-0.0035389485791768012,
2816.0,-0.0036865738525903025,-0.003541301878297925,
3072.0,-0.004097567266909352,-0.0035432633162113237,
3328.0,-0.000552073131938613,-0.0035449232468019068,
3584.0,-0.0020080698968708566,-0.003546346228606975,
3840.0,-0.003796176992096445,-0.0035475796170327625,
4096.0,-0.004368079151856441,-0.0035486589366794585,
4608.0,-0.001044712728792363,-0.0035504580201041053,
5120.0,-0.0005684644038523867,-0.003551897482491415,
5632.0,-0.0018253146630665684,-0.0035530753538224272,
6144.0,-0.0014495705919228552,-0.003554057002225583,
6656.0,0.0006448975307968841,-0.0035548876909727327,
7168.0,0.0039042092822521024,-0.0035555997559958905,
7680.0,0.003994746119859505,-0.0035562169134381954,
8192.0,0.011105535140649714, ,
9216.0,0.011726597866601907, ,
10240.0,0.005453073933450403, ,
11264.0,0.010072489387448424, ,
12288.0,0.011039559422730605, ,
13312.0,-0.0020049240944968183, ,
14336.0,0.017530111821039585, ,
