name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0007144133308897294,0.0031259861522600295,0.8693839252886995,0.006210780133460745,1.1502398088024532,12.72162136628535,1.0,0,0.311469655222334,0.01890637102766114,1.0,0,6.0,0,0.16296358386536092,0.02101184340076672,0.04,0,2.4358726064555007,5.796548207777846,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0021844064180776,0.0026351652608571996,0.8396127148337861,0.005245664105543226,1.1910253171880145,12.371759108247604,1.0,0,0.30213294712454714,0.016654902032018474,1.0,0,6.0,0,0.18026699314177552,0.018763479780693176,0.04,0,2.631071707277717,5.381556840689822,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0027904249129178105,0.002419049979430827,0.881282616051707,0.004783060603782671,1.1347097761671128,12.856793930749358,1.0,0,0.32862098487871005,0.014675846121278174,1.0,0,6.0,0,0.155493172802168,0.015422458769745764,0.04,0,2.380354376834588,5.9061602521872905,0.6833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0015418492540250073,0.002460373040834164,0.8303623015913781,0.00484238410804785,1.2042935933911179,12.02937423764358,1.0,0,0.33630933221498394,0.016993650607258964,1.0,0,6.0,0,0.19801187771872897,0.01632353062111762,0.04,0,2.6104616890018493,5.3904086845773165,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.005252499887932083,0.0032500528305545585,0.9832883655985923,0.006343047134696893,1.0169956596519214,14.267263418779242,1.0,0,0.37384130828469964,0.019095806736308268,1.0,0,6.0,0,0.16274984751191157,0.016937805533840448,0.04,0,2.023577111181025,6.917033064316873,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001306495393285756,0.0031845496880506335,0.9038876728894943,0.0062162341022377055,1.106332158290487,13.07055788933819,1.0,0,0.3581186936235859,0.02205212507436966,1.0,0,6.0,0,0.23621352533165219,0.01848924311287783,0.04,0,2.4298951521626138,5.801796558692188,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0037949447032824546,0.00286609699761856,0.9041351113676735,0.005628553161095738,1.106029383691684,12.927492096183892,1.0,0,0.3445227464235202,0.018349050187348954,1.0,0,6.0,0,0.19579822911314215,0.017158290507023485,0.04,0,2.343951229919588,5.936084916960061,0.6611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0004868998125312496,0.0029613446164172452,0.8291658633300619,0.00588314807198006,1.2060313192150012,11.68491879805646,1.0,0,0.3132869428218007,0.018624072326921634,1.0,0,6.0,0,0.15474429279438429,0.020791443026565576,0.04,0,2.529994265319741,5.362686548985903,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003918973931913428,0.0038612525461185292,0.8968246765438704,0.00746255259482177,1.115045143331404,13.266657971027843,1.0,0,0.39533209473738323,0.028908702248278576,1.0,0,6.0,0,0.2482196971361761,0.021033546233318046,0.04,0,2.40516056677945,5.97934241669007,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.004196832673264983,0.0023978923810134083,0.915652878901495,0.004657946700400004,1.0921169179304016,13.2600801872387,1.0,0,0.3915568372033749,0.015589844163049881,1.0,0,6.0,0,0.16615677271497598,0.012996529914202793,0.04,0,2.1608484944277695,6.496199448461171,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100021_T439s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0005302266827920121,0.003228044461278967,0.8410751941211358,0.006408429715633655,1.1889543372455889,11.982027656681275,1.0,0,0.30944948021714397,0.020803319323917817,1.0,0,6.0,0,0.18721157817314094,0.022525519011793727,0.04,0,2.6176214969657594,5.315968582796593,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100022_T461s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008634556606581523,0.0029950725123190115,0.8739915512648815,0.005822481336257753,1.1441758201812742,12.559468882806463,1.0,0,0.3736110438478153,0.0220011901431385,1.0,0,6.0,0,0.23840738309371945,0.017439035944170383,0.04,0,2.48996314542324,5.601145552730362,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100023_T483s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0010795035463656566,0.002624253435043054,0.8185129777615354,0.005171168806813905,1.2217277271947407,12.001823136672463,1.0,0,0.3299410771027413,0.018481604530076273,1.0,0,6.0,0,0.2083239753215005,0.017907597616630664,0.04,0,2.686457479111374,5.301579606547506,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100024_T505s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:21 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.000700881520360408,0.0033289846632452514,0.80990957469361,0.006578227350091475,1.2347057390676008,11.683038013499328,1.0,0,0.3250747963763156,0.0227753229923468,1.0,0,6.0,0,0.18567081214421188,0.023243149405796134,0.04,0,2.6248075829699444,5.359518605917532,0.8
