name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
dirty,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.024993,0.0049137384611966615,1.137778,0.007687816170495598,0.8789060783386566,1.0,0,0.302693,0.01002549074373976,1.0,0,5.0,0
0cd20,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007401197902733414,0.0030018491216406095,0.9354306975044294,0.004992696419421074,1.0690262813352507,1.0,0,0.205986798099944,0.005296023540063048,1.0,0,5.0,0
19e3e,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010917819195501055,0.0014931098919156692,0.43699915795654604,0.002753982447608617,2.288333928779417,1.0,0,0.11749634876477358,0.0034418806845189554,1.0,0,5.0,0
34a6d,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01352441843401564,0.0014191830089326488,0.22035350923693225,0.0030568195030424407,4.5381623531339494,1.0,0,0.059690357864501546,0.003616758334445457,1.0,0,5.0,0
484af,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01185376010326733,0.0015961598647017156,0.46627605017854373,0.00291268735383215,2.1446522926002434,1.0,0,0.123956672383006,0.003613547381017059,1.0,0,5.0,0
714af,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015884563848542754,0.0020457916536410887,0.4299824366808124,0.003755197413904073,2.325676387434232,1.0,0,0.12035074866915671,0.004894463104241744,1.0,0,5.0,0
34766,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012677678898111555,0.0014904322440417886,0.22924424982568745,0.003059022483442719,4.362159577657364,1.0,0,0.07239258410593885,0.004305099792123562,1.0,0,5.0,0
c1204,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008338847326068155,0.0011346127354472965,0.1571310586639672,0.0028480186203555355,6.364114189153089,1.0,0,0.035225677893632665,0.002608201176736123,1.0,0,5.0,0
fe81d,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011867,0.00174642348444423,0.561873,0.0031186241081680366,1.7797616187287877,1.0,0,0.138549,0.003616975704993011,1.0,0,5.0,0
ff67b,Not known,average_data,average_data,Mon Jun  6 16:44:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014155,0.0021845659470385577,0.624146,0.0038653411098309785,1.6021892313657382,1.0,0,0.145431,0.004250070745765644,1.0,0,5.0,0
