Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF48896_T1142s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF48896_T1142s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF48897_T1160s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_20 nM AF48897_T1160s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,-0.49626361830385024, ,-0.5022970533930002, ,-0.5067902347439723, ,
0.000082,-0.690874816450847, ,-0.6987235416928582, ,-0.689468180267701, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,-0.19605550502352487, ,-0.19896269345877504, ,-0.18720726868584503, ,
0.000122,0.4735071434724416, ,0.45776442627989367, ,0.46183733977955366, ,
0.000138,0.09852077481966348, ,0.09104677034070541, ,0.1072393794259292, ,
0.000154,-0.23865929279214904, ,-0.23477013778353262, ,-0.24172101234360932, ,
0.00017,0.6360481771352848, ,0.5895214374670728, ,0.6143103335799442, ,
0.000186,-0.1484977775480908, ,-0.14911007585611125, ,-0.14562372026488202, ,
0.000218,0.19566994433867868, ,0.18071974252494138, ,0.20375044483406946, ,
0.00025,0.0505980394135328, ,0.05660269236331872, ,0.05787186569712044, ,
0.000282,0.029191853440650117, ,0.02627440412615445, ,0.038580001815673004, ,
0.000314,0.08352863958558521, ,0.07728458762772328, ,0.0808359183000984, ,
0.000346,0.16743256233042603, ,0.1438833591058597, ,0.1569948352567232, ,
0.000378,0.027757831139409328, ,0.015290376115144166, ,0.027692778281154018, ,
0.000442,0.1011542128072227, ,0.10277682998672533, ,0.09725729395225602, ,
0.000506,0.043636491801506194, ,0.03431309662777382, ,0.04279527232210567, ,
0.00057,0.10468716081684581, ,0.11295058429634608, ,0.11126072144383059, ,
0.000634,0.05557808258572661, ,0.03764433455754612, ,0.04481239787394653, ,
0.000698,0.08668355212311396, ,0.08618504405852723, ,0.0883613399946992, ,
0.000762,0.0708179478305957, ,0.06106581590813387, ,0.07055645252365794, ,
0.00089,0.06862780318341799, ,0.0680691186356841, ,0.07078920995387983, ,
0.001018,0.07621515128432321,0.06937506855056846,0.07194698667988586,0.06619528952010521,0.07651730532079881,0.068971362287124,
0.001146,0.07164581670401682,0.06917351669868775,0.06799840569453286,0.06599091467889837,0.07093146965567132,0.06877073970916682,
0.001274,0.06917538384906785,0.06897309328961655,0.06767687256631727,0.06578776042678657,0.07010395010702308,0.06857124700094415,
0.001402,0.0709744562860295,0.06877378887856879,0.0647379484051882,0.06558581586820518,0.0680674561459742,0.06837287465006837,
0.00153,0.06926014950813175,0.06857559412586363,0.06675084508970053,0.06538507023688082,0.06473794137695221,0.06817561325063086,
0.001786,0.06894077877124594,0.06818249675356075,0.0688537886221221,0.06498713332592816,0.06868168205233283,0.06778438620594092,
0.002042,0.06914613351891541,0.06779372850256492,0.06920751750969134,0.06459386607774975,0.06806429197994768,0.06739749269334244,
0.002298,0.06820426230783316,0.06740921829358197,0.06591490527526878,0.0642051868259121,0.06713334431856088,0.06701486115041848,
0.002554,0.06849761449591818,0.06702889659487134,0.06447440270507676,0.06382101579722675,0.07002650588657455,0.06663642158176863,
0.00281,0.06590660580467755,0.06665269538035687,0.061049955970541525,0.06344127505720326,0.06772495605107864,0.06626210551635085,
0.003066,0.06863781332095731,0.06628054808909122,0.061998546390027665,0.0630658884573775,0.06868505145544512,0.06589184596620952,
0.003578,0.0674270882252499,0.06554815612401524,0.061554866096167116,0.06232788171109398,0.0659600643946967,0.06516323563701862,
0.00409,0.06411094224125069,0.06483121605475727,0.06078642339249973,0.061606420200752555,0.06311547260424333,0.06445008286633125,
0.004602,0.06252378318168406,0.06412924429396759,0.05905655534361487,0.06090095406330699,0.06509061687094908,0.06375190122898232,
0.005114,0.06282694000962707,0.0634417772248271,0.058000327932385964,0.0602109575336536,0.06218298996010008,0.06306822449686017,
0.005626,0.0590610284040487,0.06276837018068801,0.058866951142924284,0.05953592763881343,0.06000915233099735,0.06239860560141456,
0.006138,0.06063851896725003,0.0621085964866417,0.05698274018847371,0.05887538297611537,0.0614977974584523,0.061742615659467634,
0.007162,0.059527251929181624,0.06082832705640509,0.05691371586902516,0.057595924795733104,0.058828624976347,0.060469892592875794,
0.008186,0.058618867784600015,0.05959788244806556,0.05500785414275211,0.05636912146305439,0.05607217298822165,0.0592469544943963,
0.00921,0.056965763808281666,0.058414411650021966,0.05413415808892341,0.055191790403627344,0.05627269954823322,0.058070938316864565,
0.010234,0.05441231453404871,0.05727527708939085,0.052495983642358635,0.05406100045272495,0.0554291109798164,0.05693919640973696,
0.011258,0.05396021305124621,0.05617803502533924,0.052057179640083495,0.05297404751079233,0.05515041123101727,0.05584927663680655,
0.012282,0.0536181083938152,0.055120418064728664,0.05111274264048138,0.05192843297395424,0.05265256216587977,0.05479890465629088,
0.01433,0.052108921814587594,0.05311577950033051,0.048317908754837546,0.0499521393425717,0.05016653818728023,0.052808502376435834,
