Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF4887_T74s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF4887_T74s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF48896_T1142s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF48896_T1142s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF48897_T1160s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_20 nM AF48897_T1160s_1_correlation-CH2_2 fitted model: ,
0.001,0.06997847765206523,0.06782131813882322,0.06573002195269442,0.06478180049423764,0.06954314721987036,0.06746957673712947,
0.002,0.06798953349294588,0.06633246133717484,0.06768857038634024,0.06329168802853612,0.06860813063933265,0.06599165662853414,
0.003,0.06800696203424335,0.06490656664525371,0.06300785196745134,0.06186755569411285,0.06782046599513947,0.06457615966917617,
0.004,0.06660512552836462,0.06353972517498062,0.06131529141638817,0.060505118681494455,0.06576154009605474,0.06321921507425161,
0.005,0.06142692527226375,0.06222834503964235,0.05867277581443187,0.059200455324999,0.06213261709225656,0.0619172656017795,
0.006,0.060440893589897196,0.06096911985743397,0.0581140264050277,0.057949969429775185,0.061247004541369075,0.06066703643561678,
0.007,0.058648313649805536,0.059759000937122365,0.057552520346571524,0.056750357193396814,0.05932078448015531,0.05946550770212801,
0.008,0.05955713876430491,0.05859517265322355,0.05606822426932893,0.05559857808129762,0.057023214283316345,0.05830989013492483,
0.009000000000000001,0.05637391776113855,0.05747503059199209,0.05429449164703217,0.054491829115449274,0.05631140139685872,0.05719760347486211,
0.01,0.05580394762430004,0.0563961621111807,0.05243070678268739,0.053427522118540745,0.055447558170092816,0.05612625725320671,
0.011,0.053842245590652156,0.05535632900815858,0.05303647600589276,0.05240326352475422,0.05475006665485426,0.05509363365675431,
0.012,0.05305312426830855,0.05435345203435678,0.05052430792346768,0.051416836425639406,0.05164473659664092,0.05409767221641061,
0.013000000000000001,0.05412853469815523,0.053385597030577187,0.050646618273932915,0.05046618456763365,0.05197597806217381,0.05313645609679101,
0.014,0.051970754529710166,0.052450962488628655,0.04843874094062185,0.04954939805812681,0.0520925778527022,0.05220819979487412,
0.015,0.049096248461969735,0.05154786837098701,0.047138013200377145,0.04866470057097189,0.0499591621658951,0.051311238081606876,
0.016,0.05017778835009513,0.05067474604249623,0.046365233917577554,0.047810437871086055,0.047376059696818164,0.05044401604236593,
0.018000000000000002,0.047525418131480604,0.04901264559946786,0.04426032041103156,0.04618714950222442,0.04810914207531307,0.04879306984793146,
0.02,0.04703294786989975,0.04745401606437519,0.04303362044748107,0.04466837379608598,0.047313066935704196,0.047244807570929456,
0.022,0.045086198570382874,0.04598949636909886,0.04198304397150629,0.04324434221726344,0.044371506910748704,0.045789947454840434,
0.024,0.04426556265188645,0.04461082153865806,0.04010931895114247,0.041906466777005526,0.043417894693644335,0.044420293628422626,
0.026000000000000002,0.042475224513736,0.0433106668264113,0.04026734097474893,0.04064716692457826,0.041557944987206934,0.043128581819640445,
0.028,0.04097178170948294,0.04208251771058566,0.03903924207537286,0.03945972603116355,0.04107057117519811,0.04190835064847664,
0.03,0.03937293083562503,0.040920560880736166,0.03649569084127528,0.03833817172788199,0.03867568811192838,0.040753833684187585,
0.032,0.03855020718374686,0.039819592363949545,0.0368076481214515,0.037277175596971905,0.03971362281705014,0.03965986846106731,
