,e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_CH1_BIN1.0
119,14634.0,14498.0,22122.0,15196.0,14719
120,14755.0,14735.0,22052.0,14842.0,14705
121,14641.0,14674.0,22224.0,14946.0,14546
122,14602.0,14508.0,21733.0,15232.0,14665
123,14510.0,14493.0,21769.0,14838.0,14452
124,14897.0,14455.0,21706.0,15336.0,14581
125,14847.0,14501.0,22254.0,15107.0,14637
126,15059.0,14736.0,21568.0,15354.0,14581
127,15124.0,14279.0,22041.0,14918.0,14202
128,14992.0,14693.0,22053.0,15099.0,14322
129,14697.0,14428.0,21906.0,14926.0,14334
130,14642.0,14790.0,21930.0,15040.0,14168
131,14319.0,14393.0,21934.0,15303.0,14392
132,14524.0,14672.0,22112.0,15176.0,14327
133,14623.0,14657.0,22081.0,15134.0,14350
134,14702.0,14271.0,22058.0,14954.0,14186
135,14591.0,14714.0,22000.0,15116.0,14217
136,15105.0,14676.0,21954.0,15189.0,14562
137,14861.0,14191.0,21479.0,15317.0,14659
138,14535.0,14518.0,21867.0,14982.0,14429
139,14793.0,14439.0,22086.0,15042.0,14583
140,14507.0,14591.0,21934.0,15093.0,14352
141,14413.0,14853.0,21720.0,14946.0,14344
142,14708.0,14392.0,21803.0,14782.0,14441
143,14510.0,14130.0,21897.0,14844.0,14608
144,14412.0,14118.0,21681.0,15113.0,14531
145,14688.0,14454.0,21781.0,14829.0,14672
146,14617.0,14238.0,22213.0,15005.0,14664
147,14590.0,14202.0,21834.0,15032.0,14436
148,14565.0,14388.0,21950.0,15060.0,14516
149,14403.0,14410.0,22205.0,15091.0,14413
150,14549.0,14366.0,22248.0,15209.0,14670
151,14410.0,14633.0,21790.0,15273.0,14373
152,14446.0,14490.0,22303.0,15154.0,14353
153,14722.0,14647.0,22145.0,15089.0,14522
154,14452.0,14294.0,21573.0,15218.0,14313
155,14567.0,14531.0,21855.0,15289.0,14405
156,14513.0,15083.0,21860.0,15189.0,14420
157,14804.0,14607.0,21825.0,14881.0,14022
158,14588.0,14311.0,21764.0,15303.0,14329
159,14288.0,14460.0,21820.0,15031.0,14330
160,14387.0,14625.0,21651.0,15185.0,14464
161,14521.0,14594.0,22234.0,14963.0,14178
162,14555.0,14376.0,21975.0,15470.0,14500
163,14818.0,14469.0,21958.0,15457.0,14470
164,14834.0,14586.0,22001.0,15554.0,14086
165,14634.0,14569.0,22068.0,15291.0,14371
166,14650.0,14769.0,22002.0,15241.0,14037
167,14430.0,14593.0,21625.0,14865.0,14380
168,14430.0,14368.0,21963.0,14784.0,14235
169,14503.0,14547.0,21971.0,14961.0,14445
170,14351.0,14648.0,21854.0,14871.0,14108
171,14806.0,14412.0,21630.0,14986.0,14497
172,14360.0,14571.0,21908.0,15192.0,14490
173,14641.0,14752.0,22327.0,15150.0,14310
174,14425.0,14580.0,22047.0,15286.0,14337
175,14859.0,14532.0,22042.0,15340.0,14224
176,14728.0,14564.0,22253.0,15204.0,14578
177,14375.0,14535.0,22296.0,14870.0,14559
178,14381.0,14428.0,21928.0,15221.0,14459
179,14387.0,14198.0,22559.0,15157.0,14284
180,14350.0,14507.0,22268.0,15204.0,14270
181,14263.0,14445.0,22254.0,14962.0,14432
182,14401.0,14243.0,22415.0,15120.0,14486
183,14458.0,14605.0,22723.0,15002.0,14426
184,14505.0,14408.0,22346.0,15007.0,14478
185,14289.0,14383.0,22310.0,15082.0,14414
186,14415.0,14109.0,22011.0,15041.0,14374
187,14773.0,14222.0,21939.0,15296.0,14250
188,14688.0,14621.0,22295.0,15430.0,14382
189,14740.0,14614.0,21921.0,14936.0,14405
190,14523.0,14634.0,21888.0,14985.0,14645
191,14680.0,14747.0,21844.0,15187.0,14501
192,14526.0,14201.0,21916.0,15153.0,14457
193,14502.0,14535.0,22180.0,14994.0,14400
194,14517.0,14342.0,22044.0,15022.0,14008
195,14684.0,14427.0,22312.0,14791.0,14458
196,14725.0,14382.0,21950.0,15187.0,14416
197,14572.0,14532.0,22173.0,14995.0,14376
198,14597.0,14611.0,22205.0,14852.0,14121
199,14805.0,14606.0,21679.0,15165.0,14141
200,14441.0,14320.0,21744.0,15078.0,14424
201,14488.0,14117.0,21928.0,15286.0,14302
202,14340.0,14187.0,21878.0,15058.0,14505
203,14479.0,14431.0,22030.0,15107.0,14016
204,14596.0,14167.0,21957.0,15066.0,14358
205,14608.0,14253.0,22049.0,14676.0,14308
206,14760.0,14639.0,21905.0,14894.0,14242
207,14141.0,14523.0,21858.0,15100.0,13950
208,14378.0,14566.0,22010.0,14826.0,14361
209,14242.0,14856.0,22038.0,14882.0,14423
210,14613.0,14620.0,21734.0,15106.0,14482
211,14412.0,14441.0,21681.0,15089.0,14348
212,14410.0,14690.0,21609.0,15187.0,14601
213,14391.0,14585.0,21567.0,15111.0,14440
214,14256.0,14406.0,21733.0,15120.0,14362
215,14204.0,14499.0,21857.0,15141.0,14625
216,14310.0,14725.0,21790.0,15305.0,14528
217,14204.0,14568.0,21908.0,15263.0,14424
218,14560.0,14479.0,21725.0,15051.0,14394
219,14419.0,14403.0,21606.0,15302.0,14483
220,14978.0,14542.0,21687.0,15371.0,14114
221,14485.0,14701.0,21586.0,15758.0,14644
222,14371.0,14638.0,21770.0,15160.0,14785
223,14361.0,14637.0,21882.0,14992.0,14768
224,14219.0,14591.0,21378.0,15208.0,14526
225,14557.0,14527.0,21410.0,15132.0,14476
226,14386.0,14449.0,21692.0,15431.0,14234
227,14356.0,14408.0,21991.0,15440.0,14230
228,14497.0,14338.0,21614.0,15192.0,14787
229,14666.0,14732.0,21327.0,15152.0,15026
230,14488.0,14473.0,21634.0,15175.0,14711
231,14625.0,14443.0,21716.0,15161.0,14620
232,14533.0,14362.0,21662.0,15168.0,14476
233,14623.0,14921.0,21708.0,14985.0,14461
234,14742.0,14685.0,21486.0,14931.0,14496
235,14865.0,14344.0,21779.0,15172.0,14497
236,14448.0,14233.0,21996.0,15003.0,14245
237,14532.0,14468.0,21666.0,15239.0,14109
238,14534.0,14331.0,21978.0,15336.0,14045
239,14209.0,14267.0,21486.0,15472.0,14180
240,14169.0,14503.0,21624.0,15356.0,14208
241,14353.0,14231.0,21815.0,15349.0,14389
242,14616.0,14394.0,21451.0,15061.0,14479
243,14343.0,14303.0,21942.0,14950.0,14555
244,14441.0,14304.0,21724.0,14936.0,14757
245,14591.0,14079.0,21844.0,14951.0,14531
246,14445.0,14221.0,22099.0,15254.0,14308
247,14558.0,14227.0,21812.0,14850.0,14864
248,14734.0,14368.0,21974.0,14858.0,14250
249,14523.0,14385.0,22026.0,15077.0,14366
250,14513.0,14483.0,21935.0,15003.0,14478
251,14643.0,14623.0,21888.0,14951.0,14317
252,14614.0,14497.0,21581.0,14948.0,14314
253,14564.0,14539.0,22025.0,15066.0,14504
254,14687.0,14529.0,21740.0,15269.0,14485
255,14488.0,14693.0,21947.0,15063.0,14493
256,14688.0,14727.0,21943.0,15157.0,14148
257,14324.0,14974.0,22068.0,14782.0,14387
258,14482.0,14534.0,22122.0,14746.0,14448
259,14164.0,14608.0,21943.0,14901.0,14197
260,14478.0,14509.0,21740.0,14761.0,14409
261,14481.0,14492.0,21782.0,14813.0,14173
262,14582.0,14535.0,22042.0,14892.0,14466
263,14626.0,14461.0,21874.0,14874.0,14441
264,14517.0,14603.0,22109.0,14957.0,14442
265,14548.0,14641.0,22036.0,15208.0,14569
266,14630.0,14670.0,21951.0,15305.0,14590
267,14774.0,14626.0,21641.0,14996.0,14588
268,14624.0,14224.0,21492.0,14773.0,14423
269,14710.0,14397.0,21670.0,14881.0,14559
270,14675.0,14563.0,21810.0,14862.0,14562
271,14401.0,14470.0,21562.0,15005.0,14585
272,14738.0,14525.0,21450.0,14895.0,14521
273,14976.0,14448.0,21673.0,14779.0,14423
274,14892.0,14365.0,21362.0,14705.0,14314
275,14703.0,14390.0,21492.0,15029.0,14444
276,14595.0,14584.0,21840.0,14988.0,14635
277,14511.0,14534.0,21866.0,14957.0,14771
278,14302.0,14601.0,21551.0,15034.0,14489
279,14210.0,14577.0,21763.0,14927.0,14570
280,14434.0,14468.0,21694.0,14691.0,14440
281,14514.0,14550.0,21994.0,14953.0,14412
282,14430.0,14318.0,21482.0,14856.0,14190
283,14380.0,14499.0,21996.0,15119.0,14380
284,14480.0,14142.0,21662.0,14903.0,14409
285,14439.0,14338.0,21695.0,14891.0,14302
286,14427.0,14373.0,21549.0,14796.0,14323
287,14741.0,14222.0,21813.0,15076.0,14325
288,14693.0,14279.0,21603.0,15205.0,14316
289,14516.0,14349.0,21617.0,14819.0,14536
290,14649.0,14185.0,21913.0,14987.0,14333
291,14581.0,14174.0,21862.0,14953.0,14457
292,14502.0,14460.0,21486.0,14826.0,14224
293,14694.0,14137.0,22147.0,14951.0,14355
294,14672.0,14500.0,21869.0,15142.0,14423
295,14632.0,14482.0,21705.0,14928.0,14228
296,14520.0,14439.0,21742.0,14998.0,14479
297,14295.0,14416.0,21634.0,15079.0,14584
298,14642.0,14333.0,21444.0,15045.0,14261
299,14747.0,14582.0,21680.0,14893.0,14539
300,14739.0,14924.0,21570.0,14816.0,14747
301,14459.0,14913.0,22089.0,14972.0,14376
302,14534.0,14746.0,21887.0,15256.0,14319
303,14302.0,14914.0,21703.0,15357.0,14524
304,14316.0,14511.0,22187.0,15194.0,14429
305,14526.0,14216.0,21572.0,14958.0,14565
306,14475.0,14324.0,21516.0,14958.0,14214
307,14365.0,14262.0,21736.0,15263.0,14495
308,14458.0,14301.0,22066.0,15046.0,14346
309,14585.0,14367.0,21597.0,15078.0,14439
310,14501.0,14417.0,21849.0,15298.0,14121
311,14508.0,14563.0,21530.0,15236.0,14544
312,14565.0,14451.0,21573.0,15160.0,14267
313,14377.0,14304.0,21744.0,15137.0,14605
314,14681.0,14422.0,21644.0,15022.0,14601
315,14637.0,14325.0,21561.0,15095.0,14559
316,14527.0,14179.0,21663.0,14836.0,14515
317,14272.0,14245.0,21653.0,15219.0,14305
318,14932.0,14173.0,21866.0,15026.0,14699
319,14841.0,13982.0,21792.0,15159.0,14615
320,14474.0,14177.0,21552.0,14963.0,14532
321,14359.0,14225.0,22058.0,15278.0,14288
322,14403.0,14259.0,21896.0,15043.0,14526
323,14329.0,14416.0,21743.0,14920.0,14241
324,14173.0,14648.0,21734.0,14867.0,14775
325,14233.0,14331.0,21851.0,15166.0,14494
326,14597.0,14661.0,21662.0,14982.0,14460
327,14618.0,14563.0,22029.0,15070.0,14338
328,14746.0,14552.0,22032.0,15474.0,14332
329,14576.0,14350.0,21637.0,15242.0,14040
330,14838.0,14371.0,21713.0,15196.0,14203
331,14560.0,14124.0,21629.0,15172.0,14269
332,14678.0,14251.0,21572.0,15347.0,14356
333,14682.0,14420.0,21813.0,15083.0,14752
334,14787.0,14705.0,21778.0,14990.0,14640
335,14211.0,14563.0,21913.0,15328.0,14433
336,14661.0,14479.0,21779.0,15398.0,14248
337,14477.0,14462.0,21712.0,15348.0,14721
338,14709.0,14475.0,21879.0,14799.0,14412
339,14604.0,14719.0,22098.0,14865.0,14414
340,14554.0,14556.0,21804.0,14982.0,14466
341,14710.0,14487.0,21703.0,15081.0,14256
342,14573.0,14453.0,21478.0,14618.0,14341
343,14272.0,14546.0,21404.0,15007.0,14337
344,14661.0,14605.0,21368.0,14842.0,14538
345,14330.0,14372.0,21485.0,15040.0,14505
346,14697.0,14278.0,21700.0,15033.0,14468
347,14624.0,14192.0,21756.0,15023.0,14543
348,14571.0,14105.0,21682.0,14908.0,14464
349,14592.0,14364.0,21910.0,14985.0,14175
350,14228.0,14544.0,22006.0,14894.0,14271
351,14772.0,14053.0,22022.0,15123.0,14196
352,14585.0,14097.0,21554.0,15094.0,14269
353,14717.0,14118.0,21852.0,15242.0,14540
354,14587.0,14410.0,21822.0,14955.0,14538
355,14741.0,14444.0,21831.0,15130.0,14609
356,14635.0,14538.0,21851.0,15186.0,14440
357,14708.0,14372.0,22053.0,15015.0,14442
358,14537.0,14408.0,21819.0,15159.0,14565
359,14543.0,14547.0,21957.0,15205.0,14528
360,14317.0,14652.0,21991.0,15114.0,14494
361,14447.0,14395.0,21916.0,15177.0,14489
362,14617.0,14017.0,21712.0,15202.0,14535
363,14638.0,14338.0,21887.0,14821.0,14841
364,14614.0,14434.0,21873.0,15192.0,14373
365,14647.0,14711.0,22042.0,15291.0,13865
366,14610.0,14434.0,21895.0,15279.0,13917
367,14589.0,14400.0,21471.0,14985.0,14267
368,14632.0,14404.0,21865.0,14934.0,14385
369,14743.0,14348.0,21689.0,14950.0,14233
370,14558.0,14395.0,21615.0,14856.0,14260
371,14664.0,14583.0,21831.0,15282.0,14175
372,14514.0,14331.0,22130.0,15144.0,14076
373,14430.0,14465.0,21726.0,15307.0,14445
374,14604.0,14404.0,21701.0,15209.0,14528
375,14351.0,14586.0,21801.0,14895.0,14435
376,14247.0,14631.0,22090.0,14946.0,14535
377,14583.0,14384.0,22047.0,15105.0,14599
378,14853.0,14392.0,21729.0,14987.0,14152
379,14587.0,14536.0,21665.0,15061.0,14065
380,14437.0,14508.0,21478.0,15135.0,14088
381,14684.0,14733.0,21687.0,15320.0,14678
382,14840.0,14629.0,21742.0,15069.0,14512
383,14337.0,14669.0,21876.0,14889.0,14327
384,14662.0,14562.0,21455.0,14858.0,14416
385,14824.0,14538.0,21817.0,15113.0,14104
386,14510.0,14705.0,21527.0,15224.0,14077
387,14266.0,14618.0,21743.0,14964.0,14438
388,14493.0,14707.0,21559.0,15171.0,14670
389,14711.0,14448.0,21886.0,14868.0,14299
390,14733.0,14290.0,21850.0,14990.0,14518
391,14742.0,14511.0,21881.0,15062.0,14447
392,14245.0,14223.0,21922.0,15233.0,14587
393,14523.0,14621.0,21728.0,15083.0,14339
394,14739.0,14429.0,21682.0,14828.0,14502
395,14595.0,14413.0,21792.0,15034.0,14952
396,14411.0,14704.0,21775.0,14920.0,14646
397,14627.0,14609.0,21537.0,14999.0,14486
398,14851.0,14394.0,21607.0,15225.0,14777
399,14694.0,14415.0,21526.0,15062.0,14694
400,14946.0,14517.0,21162.0,15260.0,14287
401,14734.0,14291.0,21824.0,15257.0,14663
402,14382.0,14228.0,21340.0,15050.0,14645
403,14641.0,14254.0,21690.0,14916.0,14564
404,14515.0,14536.0,22120.0,15312.0,14353
405,14531.0,14351.0,21718.0,15517.0,14769
406,14704.0,14544.0,21847.0,15050.0,14737
407,14662.0,14343.0,21520.0,15223.0,14661
408,14501.0,14528.0,21629.0,15333.0,14510
409,14871.0,14421.0,21785.0,15149.0,14583
410,14616.0,14412.0,21842.0,15361.0,14403
411,14527.0,14343.0,21822.0,15265.0,14100
412,14564.0,14213.0,21606.0,15015.0,14129
413,14751.0,14222.0,21955.0,15290.0,14170
414,14543.0,14356.0,21903.0,14962.0,14378
415,14469.0,14414.0,21709.0,15010.0,14085
416,14604.0,14586.0,21541.0,15404.0,14358
417,14442.0,14408.0,21788.0,15101.0,14338
418,14654.0,14794.0,22018.0,15308.0,14437
419,14703.0,14421.0,21859.0,15498.0,14424
420,14641.0,14608.0,21728.0,15466.0,14382
421,14578.0,14711.0,21829.0,15178.0,14501
422,14589.0,14924.0,21765.0,15249.0,14431
423,14424.0,14628.0,21576.0,14978.0,14658
424,14424.0,14622.0,21730.0,15173.0,14308
425,14545.0,14618.0,21426.0,15264.0,14483
426,14583.0,14594.0,21744.0,15390.0,14123
427,14514.0,14938.0,21659.0,15272.0,14618
428,14443.0,14461.0,21612.0,15113.0,14418
429,14436.0,14171.0,21628.0,15176.0,14318
430,14604.0,14375.0,21552.0,15252.0,14492
431,14883.0,14311.0,21610.0,15189.0,14612
432,14666.0,14407.0,21459.0,15298.0,14725
433,14507.0,14523.0,21888.0,15232.0,14573
434,14772.0,14666.0,21538.0,15349.0,14492
435,14446.0,14540.0,21475.0,15084.0,14342
436,14472.0,14453.0,21833.0,15212.0,14262
437,14328.0,14462.0,21742.0,15238.0,14398
438,14402.0,14353.0,21608.0,15331.0,14427
439,14394.0,14434.0,21991.0,15414.0,14381
440,14301.0,14561.0,21705.0,15607.0,14576
441,14400.0,14670.0,21865.0,15393.0,14514
442,14605.0,14782.0,21615.0,15159.0,14148
443,14493.0,14750.0,21557.0,15328.0,14312
444,14490.0,14764.0,21721.0,15174.0,14385
445,14309.0,14847.0,21967.0,15177.0,14513
446,14545.0,14545.0,21483.0,14993.0,14350
447,14799.0,14431.0,21495.0,14907.0,14583
