To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,1,T1  P1  R1,HyD 2,1,0.0000477034913273705,0.000167143508671239,640.982749470284,1,5,0.108264153405219,40,6709.2544101239,11140.9780791176,42.4584163468906,0.329940070001714,1.64970035000857,0.00976456160415922,1
,2,T1  P1  R2,HyD 2,1,0.0000888680087374871,0.000176934764841358,609.636017592801,1,5,0.145836683277124,40,6616.7680492886,10987.400877286,44.6415757317705,0.329940070001714,1.64970035000857,0.00887512439800194,1
,3,T1  P1  R3,HyD 2,1,0.00015383073713115,0.000183055541346556,741.067399941315,1,5,0.14943266289192,40,6422.5636748229,10664.916954851,36.7242068000011,0.329940070001714,1.64970035000857,0.00814075306513624,1
x,4,T1  P1  R1,HyD 2,1,0.00000987449809302614,0.000545052299257541,2234.50492828885,1,5,0.588977364655126,40,4463.71116209162,7412.16611689896,12.1794819530897,0.329940070001714,1.64970035000857,0.0496130601156792,1
,5,T1  P1  R2,HyD 2,1,0.0000259177276677636,0.000134910442192487,865.177173244991,1,5,0.156494317824221,40,8787.52192753978,14592.0221801036,31.4561147586791,0.329940070001714,1.64970035000857,0.00423936850292473,1
,6,T1  P1  R3,HyD 2,1,0.0000193512290391382,0.000126502447941721,883.656504657222,1,5,0.119780941919666,40,8980.70235524736,14912.8057990937,30.7982935730677,0.329940070001714,1.64970035000857,0.00712124075563057,1
x,7,T1  P1  R1,HyD 2,1,-0.0000113340386806746,0.000899305472566073,3360.52162254877,1,5,0.434136953348287,40,1965.08540567057,3263.10079926831,8.09847860093304,0.329940070001714,1.64970035000857,0.0377789764344053,1
,8,T1  P1  R2,HyD 2,1,0.0000191154769008933,0.0000977730134739401,785.28273976128,1,5,0.108469580188401,40,11472.1504243426,19049.9522875568,34.6564505625798,0.329940070001714,1.64970035000857,0.00339227273504602,1
,9,T1  P1  R3,HyD 2,1,0.0000253487680175125,0.000110962791629643,880.299141687783,1,5,0.153332733067657,40,10644.122299799,17674.9793590429,30.9157548376168,0.329940070001714,1.64970035000857,0.00281424539101671,1
,10,T1  P1  R1,HyD 2,1,0.000057068742844811,0.000412399113101513,593.441320740626,1,5,0.0997361417625345,40,2693.47197990103,4472.61505533529,45.8598205029252,0.329940070001714,1.64970035000857,0.0418831843004082,1
