version,3.0
numOfCH,1
type,point
parent_name,multipletau
ch_type,1_1
kcount,15092.068987791487
numberNandB,4526.245728135309
brightnessNandB,3.334453617522245
carpet pos,0
pc,0
Time (ms),CH1 Auto-Correlation
1.0,0.00017409187986249924
2.0,0.0001345614135672163
3.0,0.00010900110895471067
4.0,9.046794552758753e-05
5.0,7.58231005098641e-05
6.0,6.11304326478316e-05
7.0,5.036487734057353e-05
8.0,5.727873773859716e-05
9.0,6.495281794114758e-05
10.0,7.395125021146385e-05
11.0,7.32245214979215e-05
12.0,6.780856610187198e-05
13.0,5.9456620324028474e-05
14.0,5.063900596531855e-05
15.0,4.627225298939017e-05
16.0,3.483725713330266e-05
18.0,1.7862903617071017e-05
20.0,1.879990780180605e-05
22.0,1.855052112246975e-05
24.0,2.1398820700340465e-05
26.0,2.0462142884306968e-05
28.0,1.57871667040011e-05
30.0,1.4430570728884848e-05
32.0,1.1361543912550255e-05
36.0,1.2906467873143374e-05
40.0,1.058769398257854e-05
44.0,1.2062172669679486e-05
48.0,1.6721057455920424e-05
52.0,1.1900355357531837e-05
56.0,1.2778562463088165e-05
60.0,1.2431998007292373e-05
64.0,1.1263221008595819e-05
72.0,1.1152055799781565e-05
80.0,1.2866769760204656e-05
88.0,8.677591263330504e-06
96.0,1.1188325865117383e-05
104.0,7.920453214068719e-06
112.0,7.866740417622252e-06
120.0,5.085363536150554e-06
128.0,7.622854941223878e-06
144.0,5.809091805403408e-06
160.0,1.723858472232082e-06
176.0,3.145908507645727e-06
192.0,6.3568435775207235e-06
208.0,6.38854582696379e-06
224.0,4.639065634782677e-06
240.0,3.873294981207259e-06
256.0,4.7134491351372825e-06
288.0,4.457315301623793e-06
320.0,5.80695417764117e-06
352.0,1.8748715575569757e-06
384.0,2.107323771145034e-06
416.0,3.382491773360079e-06
448.0,-1.5774215984546567e-06
480.0,-2.7786358835822888e-06
512.0,3.3463497252240647e-06
576.0,-4.926565084268128e-08
640.0,-6.208125938459851e-07
704.0,2.613492469606805e-06
768.0,1.992819610707624e-06
832.0,-2.4768327168648226e-06
896.0,-1.5213972877472935e-06
960.0,-1.6610496027595474e-06
1024.0,-2.7052414914712123e-06
1152.0,-3.990961936560054e-06
1280.0,6.865974332417406e-07
1408.0,1.0101243383654831e-06
1536.0,1.0797019263837542e-06
1664.0,-1.8940333691203988e-06
1792.0,-4.2807403124336e-06
1920.0,-5.951749869590678e-06
2048.0,-5.14613743983372e-06
2304.0,-1.8596560124575905e-06
2560.0,1.8032521851075345e-06
2816.0,-5.205937282884739e-07
3072.0,4.474186253782585e-06
3328.0,-1.4869856071875402e-06
3584.0,-6.381681194551575e-07
3840.0,4.8871932256722476e-06
4096.0,7.375111622071523e-07
4608.0,-1.8858942779630317e-07
5120.0,-1.3747089696182616e-06
5632.0,2.6385588063991332e-06
6144.0,6.92769331881069e-07
6656.0,2.3752865778415635e-06
7168.0,7.732900801072e-07
7680.0,-1.3523996487514683e-06
8192.0,-4.235197222235069e-06
end
