Time (ms),2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_correlation-CH1_1,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_correlation-CH1_1 fitted model: ,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_correlation-CH1_1,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_correlation-CH1_1 fitted model: ,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_correlation-CH1_1,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_correlation-CH1_1 fitted model: ,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_correlation-CH1_1,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_correlation-CH1_1 fitted model: ,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_correlation-CH1_1,2022-02-17_tttr2xfcs_CH1_BIN1dot0_e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_correlation-CH1_1 fitted model: ,
0.000001,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000003,1.4308434438582545, ,1.4231117542702476, ,1.4309536051464176, ,1.4307603619717328, ,1.4305881357041916, ,
0.000004,-0.39220789102503384, ,-0.39396106116901186, ,-0.39209197813829155, ,-0.3920360834462391, ,-0.3919668101683391, ,
0.000005,-1, ,-1, ,-1, ,-1, ,-1, ,
0.000006,0.07966132514813995, ,0.09370170482192108, ,0.07496204517005389, ,0.07448930903771012, ,0.07357431760419142, ,
0.000008,-0.5621256155930752, ,-0.5579149406602143, ,-0.5638113856424857, ,-0.5634928620731183, ,-0.5636983097442163, ,
0.00001,0.0307659277063963, ,0.03844102101724922, ,0.029117200500739404, ,0.029110645635991306, ,0.028646330371578932, ,
0.000012,0.6088554520306597, ,0.5943584112613531, ,0.613595013730845, ,0.612861573585411, ,0.613277552180888, ,
0.000014,0.0731311440905158, ,0.06316922544883452, ,0.07539696230115878, ,0.07558369067103854, ,0.07566567638506605, ,
0.000016,0.6580640731675043, ,0.6569748384508995, ,0.6581965382801487, ,0.6588135801617572, ,0.6581830137147728, ,
0.000018,-0.6796348538563473, ,-0.6737526813506854, ,-0.6819045964746628, ,-0.6816546359255184, ,-0.6824586416870895, ,
0.000022,0.12342477319671863, ,0.12138240198037975, ,0.12455505207204998, ,0.12415919682968823, ,0.12442941164182031, ,
