,name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz),fit_with,correlator,artifact,correction,correlator-fit_with
13,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48869_T821s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006078726371549,,0.069907245444731,,14.304668902890818,24.241559598194755,1,,0.0402608059224532,,5,,1.0,,72.658980547722,4.77277315265448,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
14,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004611590159439,,0.0708074966565979,,14.122798393082556,24.478962745598334,1,,0.040098615089324,,5,,1.0,,71.28949368288083,4.849645199485672,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
15,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48872_T855s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0005716455410267,,0.0696316388238859,,14.361287726247893,24.057741663623418,1,,0.0392168631627627,,5,,1.0,,74.91922439333236,4.611866144996748,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
16,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48877_T918s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0008226016937704,,0.0711072144697665,,14.06327061827434,24.677333703586957,1,,0.0386152627074166,,5,,1.0,,72.00772750361328,4.8197797068884505,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
17,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48878_T926s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0006489362702229,,0.0687204206186462,,14.551715356187222,23.800064625074263,1,,0.0404812304943093,,5,,1.0,,73.766376649059,4.69521627242645,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
18,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0003964882067194,,0.0690517176619995,,14.481898986132222,24.016684823921157,1,,0.0408921039850694,,5,,1.0,,73.42655400068263,4.737041091819574,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
19,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48890_T1070s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0007626863616063,,0.0687296936661408,,14.549752030869923,23.89564008247377,1,,0.0399721683649384,,5,,1.0,,73.22438511168828,4.7483229888077565,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
20,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48890_T1076s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004229658279751,,0.0702430184441192,,14.23629026983706,24.350760776050627,1,,0.0394512521035247,,5,,1.0,,74.27292417765125,4.667674620819567,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
21,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF48891_T1082s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0003727308828852,,0.0678283137800764,,14.74310570718825,23.685396081696545,1,,0.0417568781028491,,5,,1.0,,74.98321428554854,4.657225899149918,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
22,2022-02-10_tttr2xfcs_CH2_BIN1dot0_20 nM AF488102_T1214s_1_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 14:02:14,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.0004988181105368,,0.0675131027293133,,14.811939602441232,23.57829085749816,1,,0.0399921673124162,,5,,1.0,,75.08665227595671,4.65139517003459,alpha=1,tttr2xfcs,clean,no correction,tttr2xfcs - alpha=1
