Time (ms),2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-02-02_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,
0.001,0.27478048766542884,0.2622171407086538,0.1882997217996691,0.1748787799819905,0.23526661795437231,0.22172236126849046,
0.002,0.2759532767682579,0.26218747215711413,0.1897546040898637,0.1748302301376614,0.2366570176657308,0.22168722350562553,
0.003,0.2768371905910047,0.2621578104373088,0.18762100415976907,0.17478170719813463,0.23677360976929995,0.22165209653591428,
0.004,0.27562588588681025,0.2621281555468798,0.18726844837699613,0.1747332111410643,0.23518696720567714,0.22161698035438743,
0.005,0.2734103497015122,0.2620985074834702,0.18659854103865273,0.17468474194412945,0.2342572008966539,0.22158187495607867,
0.006,0.2730145010154878,0.2620688662447239,0.18547910609299634,0.17463629958503366,0.23251080112007552,0.22154678033602468,
0.007,0.27402520461816815,0.26203923182828637,0.18373429981124265,0.17458788404150533,0.23332733431831534,0.2215116964892653,
0.008,0.27214342322781176,0.26200960423180353,0.1843351802668221,0.17453949529129734,0.2315658051753102,0.2214766234108433,
0.009000000000000001,0.27145627526296445,0.2619799834529229,0.18280055118701405,0.17449113331218732,0.23150434470304734,0.2214415610958046,
0.01,0.27111105510913885,0.2619503694892928,0.182562708815778,0.17444279808197735,0.22997221177895033,0.22140650953919808,
