name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48823_T268s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48823_T268s_1,,24 January 2022 23:05:52,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.02348457022278387,,0.30411785362678373,,3.2881989270751903,158.40861917802624,1,,2.8844291846804353,,0.5,,5.6274301650513205,92.56536145633959
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48823_T287s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48823_T287s_1,,24 January 2022 23:06:00,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.01150803978529376,,0.2112126796531841,,4.73456423942929,118.08234065450955,1,,1.9562534618175398,,0.6008353196304584,,2.845674811503627,196.4723415046846
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48829_T342s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48829_T342s_1,,24 January 2022 23:06:03,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.01874646604937439,,0.20036248152363004,,4.990954356302797,98.4683780671251,1,,1.4655873072430612,,0.5077721588526185,,5.656176065177315,86.89187861736673
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48832_T378s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48846_T584s_1,,24 January 2022 23:06:09,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.3275074284204454,,0.8541800701938763,,1.1707133365603184,497.29319460951416,1,,166.82785026853853,,0.5,,4.391758677586067,132.5703300992708
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48846_T584s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48832_T378s_1,,24 January 2022 23:06:13,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.017693070033464625,,0.17745319880110522,,5.635288666285636,89.78938396656696,1,,1.4072821227223942,,0.5,,6.063669973321157,83.45018871859035
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48848_T610s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48848_T610s_1,,24 January 2022 23:06:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.000002497189760460342,,0.1745184518683212,,5.730053122145081,97.13016835023895,1,,2.0531902970096243,,0.5207249316978955,,2.0055341794701635,277.5264917879828
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48851_T607s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48851_T607s_1,,24 January 2022 23:06:17,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.010749622328512003,,0.2324746527631584,,4.301544224775268,128.14404737256046,1,,4.525183561489589,,0.5,,3.1624814666468555,174.3076966618758
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48869_T823s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48869_T823s_1,,24 January 2022 23:06:19,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.08956132354570302,,0.45948909197589216,,2.1763302273396876,238.97702290312358,1,,19.929247700225,,0.5,,9.72720758901272,53.47052840939971
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48869_T825s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48869_T825s_1,,24 January 2022 23:06:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.026867492373874514,,0.22184364188409558,,4.507679334449711,108.19100915704256,1,,3.2539875367382542,,0.5,,12.39908359867203,39.33474339180007
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48878_T934s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48878_T934s_1,,24 January 2022 23:06:23,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.018751667525387435,,0.2466171034864359,,4.054868806189676,130.69845618916762,1,,3.561266926545837,,0.5,,7.096885926984294,74.6794584768937
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48882_T982s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48882_T982s_1,,24 January 2022 23:06:25,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.001695620010291378,,0.3961124724292509,,2.52453550343232,203.35636058311408,1,,13.383075001339096,,0.5,,6.997162917643697,73.37345703644294
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF48895_T1139s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF48895_T1139s_1,,24 January 2022 23:06:26,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.00003709330974591108,,0.1636477516490056,,6.110685847641931,79.94615048205239,1,,1.5005333398688097,,0.5,,5.799231987638304,84.24395655369942
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF488100_T1197s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF488100_T1197s_1,,24 January 2022 23:06:28,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.030182238028203277,,0.2946061891947571,,3.394361818172543,145.83542709308063,1,,4.1013788714438695,,0.5,,6.450681444835977,76.74273939446576
2022-01-20_tttr2xfcs_CH2_BIN1_shift_DiO LUV 10uM in 20 nM AF488132_T1585s_1_correlation-CH2_2,Not known,shift_DiO LUV 10uM in 20 nM AF488132_T1585s_1,,24 January 2022 23:07:05,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,0.006203199902913109,,0.1832299401067003,,5.457623352480877,96.05530825777662,1,,2.0533643858250805,,0.5095569839536475,,5.412701662885374,96.85734585326536
