name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48823_T268s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48823_T268s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.08457240873685962,,0.338888774690353,,2.9508206664965897,176.52006356559463,1,,20.76738069308123,,0.5,,5.6274301650513205,92.56536145633959
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48823_T287s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48823_T287s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.044294572402939436,,0.24759640887712678,,4.038830791347479,138.4233349336296,1,,20.776597179773294,,0.5,,2.845674811503627,196.4723415046846
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48829_T342s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48829_T342s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.027210306216324025,,0.21878513968161598,,4.570694341742022,107.5222151663029,1,,20.85192919646297,,0.5,,5.656176065177315,86.89187861736673
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48832_T378s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48832_T378s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.05743524768523279,,0.19258688738589824,,5.192461509574316,97.44686540026862,1,,20.93737958433751,,0.5,,6.063669973321157,83.45018871859035
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48846_T584s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48846_T584s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.08539463807990712,,0.6447901138946163,,1.550892264709007,375.3889218212585,1,,21.390862225780968,,0.5,,4.391758677586067,132.5703300992708
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48848_T610s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48848_T610s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.036335704750694836,,0.19181021320937636,,5.213486723506319,106.75408875606573,1,,19.624212279970166,,0.5,,2.0055341794701635,277.5264917879828
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48851_T607s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48851_T607s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.04448016249518023,,0.2520351581408494,,3.96770040884991,138.926136077533,1,,19.73308655324416,,0.5,,3.1624814666468555,174.3076966618758
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48869_T823s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48869_T823s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.08152673796396605,,0.4685117037432647,,2.1344183976842137,243.66961939046416,1,,21.077778617541348,,0.5,,9.72720758901272,53.47052840939971
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48869_T825s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48869_T825s_1,,24 January 2022 22:51:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.012171456149369044,,0.24355356631183034,,4.10587295083852,118.77873036740259,1,,19.830389053451405,,0.5,,12.39908359867203,39.33474339180007
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48878_T934s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48878_T934s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.061595571658112615,,0.2717787222102856,,3.6794639104464615,144.03323579665127,1,,20.951187017160255,,0.5,,7.096885926984294,74.6794584768937
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48882_T982s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48882_T982s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.015184254364513568,,0.4129806473002501,,2.4214209710242622,212.01615013836118,1,,20.94965123362605,,0.5,,6.997162917643697,73.37345703644294
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48895_T1139s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48895_T1139s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.034950981373827045,,0.17588542826670014,,5.685519317061736,85.92457136819627,1,,19.883326108963765,,0.5,,5.799231987638304,84.24395655369942
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF488100_T1197s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF488100_T1197s_1,,24 January 2022 22:51:01,Equation 1A,1,Triplet Eq 2A,1,3D,0.00089,2415.919098,-0.018986817580582203,,0.3256011777613784,,3.071241961946663,161.1785107116335,1,,20.872757495592857,,0.5,,6.450681444835977,76.74273939446576
