name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_dirty_0dot2-1dot0_0712_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0022524203003375654,None,0.10092951849862612,None,9.907904197656627,0.10092951849862612,0.6348255949853241,None,0.3651744050146759,None,25.320506808055566,None,2.9153399367492976,None,1.0,None,1.0,None,1.0,1.0,0.6808510638297872
2022-04-25_multipletau_dirty_0dot2-1dot0_0713_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0031926832233216684,None,0.16873607554320944,None,5.92641494583014,0.16873607554320944,0.9999996360368779,None,3.63963122085309e-07,None,9.647965904482687,None,9.166056320235246,None,1.0,None,1.0,None,1.0,1.0,0.6914893617021277
2022-04-25_multipletau_dirty_0dot2-1dot0_0714_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0013940425088198038,None,0.08860240823518951,None,11.28637494079803,0.08860240823518951,0.990571142542396,None,0.009428857457604023,None,13.980435477953785,None,13.977478028762482,None,1.0,None,1.0,None,1.0,1.0,0.7127659574468085
2022-04-25_multipletau_dirty_0dot2-1dot0_0715_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0016560050103855417,None,0.09819317199232357,None,10.184007499810443,0.09819317199232357,0.1392861263061887,None,0.8607138736938114,None,2.854616062659252,None,27.894416000347924,None,1.0,None,1.0,None,1.0,1.0,0.7553191489361702
2022-04-25_multipletau_dirty_0dot2-1dot0_0716_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0022602233922816017,None,0.11477259991270504,None,8.712880955564225,0.11477259991270504,0.9031352936464067,None,0.09686470635359334,None,18.47280323316458,None,0.0010002328036598548,None,1.0,None,1.0,None,1.0,1.0,0.7127659574468085
2022-04-25_multipletau_dirty_0dot2-1dot0_0717_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0031501678880185846,None,0.14902436219921464,None,6.710312228434218,0.14902436219921464,0.18342820617336913,None,0.8165717938266308,None,175.04022630655805,None,8.510921729441483,None,1.0,None,1.0,None,1.0,1.0,0.7872340425531915
2022-04-25_multipletau_dirty_0dot2-1dot0_0718_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004431890098092861,None,0.3461254451924293,None,2.8891259336453796,0.3461254451924293,0.44268423245484956,None,0.5573157675451504,None,17.34918920471065,None,0.06700275807198738,None,1.0,None,1.0,None,1.0,1.0,0.6702127659574468
2022-04-25_multipletau_dirty_0dot2-1dot0_0719_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0020860897747889684,None,0.08319603739192209,None,12.019803242420952,0.08319603739192209,0.0679302895992615,None,0.9320697104007385,None,206.22383667007682,None,14.288674907830941,None,1.0,None,1.0,None,1.0,1.0,0.7127659574468085
2022-04-25_multipletau_dirty_0dot2-1dot0_0720_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00043020794292114584,None,0.12278525237933495,None,8.144300562339378,0.12278525237933494,0.5145484177853057,None,0.4854515822146943,None,9.222876103697674,None,9.222901684544091,None,1.0,None,1.0,None,1.0,1.0,0.7340425531914894
2022-04-25_multipletau_dirty_0dot2-1dot0_0721_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:16 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005204751718385636,None,0.23266545400614982,None,4.29801667063804,0.23266545400614982,0.5168632367663987,None,0.48313676323360133,None,22.380245627786522,None,5.754976883633094,None,1.0,None,1.0,None,1.0,1.0,0.7021276595744681
