name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000709,None,0.028905,None,34.596090641757485,0.874311,None,0.125689,None,3.799516,None,319.548054,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0026191049874885186,None,0.04106469550898586,None,24.351818212829023,0.6150133475027009,None,0.38498665249729913,None,4.663860668331494,None,300.03458870722596,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003377157379784501,None,0.041084987676515396,None,24.339790676671186,0.6178790980383596,None,0.3821209019616404,None,4.923532352608352,None,462.2221397692261,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00018264749746688125,None,0.02688881774562294,None,37.19018104329945,0.8764224058009056,None,0.12357759419909442,None,3.3932251832774405,None,45.13836976624459,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000305,None,0.025642,None,38.998518056313856,0.973043,None,0.026957,None,4.009045,None,990.615406,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Fri May 13 12:12:18 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00494,None,0.044379,None,22.5331801077086,0.448682,None,0.551318,None,636.656322,None,3.71235,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Fri May 13 12:12:33 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005768,None,0.046665,None,21.429336762027216,0.467986,None,0.532014,None,684.195691,None,3.002263,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Fri May 13 12:10:29 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000311,None,0.025401,None,39.36852879807881,0.985965,None,0.014035,None,4.135206,None,3021.553164,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Fri May 13 12:10:30 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00299,None,0.030591,None,32.68935307770259,0.810292,None,0.189708,None,4.201988,None,2340.749918,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Fri May 13 12:10:30 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.02749,None,0.209717,None,4.768330655120949,0.323494,None,0.676506,None,16.591672,None,643.725382,None,1.0,None,1.0,None
