Time (ms),average_data,average_data fitted model: ,
1.0,0.2723611274175346,0.26201648233710356,
2.0,0.26910427736118436,0.26164298833813493,
3.0,0.2667329417169094,0.26127030545406554,
4.0,0.26489153230562806,0.26089843104552074,
5.0,0.263401963384822,0.2605273624845645,
6.0,0.26215006306767463,0.2601570971546383,
7.0,0.2610640580393374,0.2597876324504988,
8.0,0.2601030424796045,0.2594189657781576,
9.0,0.2592380216531456,0.2590510945548195,
10.0,0.2584526491258293,0.25868401620882336,
11.0,0.2577364934887737,0.25831772817958104,
12.0,0.2570794647419825,0.2579522279175188,
13.0,0.25646981433499605,0.2575875128840175,
14.0,0.2559007917298004,0.25722358055135414,
15.0,0.25536090760491786,0.2568604284026434,
16.0,0.2548439005482942,0.25649805393177966,
18.0,0.2538548250356689,0.2557756280527228,
20.0,0.2529153625108302,0.25505628307874967,
22.0,0.2520541425864212,0.2543399993432493,
24.0,0.25122273780638354,0.2536267573466414,
26.0,0.2504157926863991,0.252916537754607,
28.0,0.24963324695825576,0.25220932139634117,
30.0,0.2488950903224759,0.2515050892628282,
32.0,0.24816426819656046,0.25080382250513866,
36.0,0.2467449161724653,0.2494101105118725,
40.0,0.24538942085346208,0.24802803776344978,
44.0,0.24407960202428514,0.24665745906269976,
48.0,0.24280960531905293,0.2452982316175238,
52.0,0.24155289978545624,0.2439502149913031,
56.0,0.24033848100109026,0.24261327105452812,
60.0,0.23911541263078107,0.24128726393761646,
64.0,0.237902535712783,0.23997205998488197,
72.0,0.23557414251805311,0.23737353775031678,
80.0,0.23329838092184219,0.23481667770369824,
88.0,0.23115233114465808,0.23230048585661395,
96.0,0.2291061383980559,0.2298239995909842,
104.0,0.22705662795466197,0.2273862864311883,
112.0,0.2250163424295897,0.22498644287341485,
120.0,0.22292382642251368,0.22262359326915004,
128.0,0.22085836842623394,0.220296888759904,
144.0,0.2167722020054862,0.215748647488042,
160.0,0.21270839639655606,0.211335426483455,
176.0,0.2087862785913603,0.207051301313378,
192.0,0.20487329584835606,0.20289068915248698,
208.0,0.20102022190596472,0.1988483245110907,
224.0,0.19728020178114547,0.19491923700379188,
240.0,0.19360731650620436,0.19109873096125707,
256.0,0.1900303014954261,0.18738236670925212,
288.0,0.1829389646918662,0.18024548296170995,
320.0,0.17595603029512857,0.17347756752560295,
352.0,0.16936797057403966,0.1670507285609139,
384.0,0.16291777982572966,0.16093981640933466,
416.0,0.15666118499630102,0.15512209468206853,
448.0,0.15067468963905412,0.14957695758037354,
480.0,0.14500001375614374,0.14428568604070752,
512.0,0.13963075541127182,0.13923123662260245,
576.0,0.12971926299262124,0.12977193175560112,
640.0,0.1200754321495333,0.12108980134578218,
704.0,0.11118473212887693,0.11309284598895322,
768.0,0.10329114069774505,0.10570303584697094,
832.0,0.09603356417064787,0.09885375612493941,
896.0,0.0894212025564957,0.09248779332531432,
960.0,0.08318104672263871,0.08655573327155486,
1024.0,0.07729177144481582,0.08101467590725706,
1152.0,0.06764765190094067,0.07096049736396579,
1280.0,0.059196071080332334,0.062077356216771046,
1408.0,0.05217761645909377,0.054171920566472465,
1536.0,0.04649147274598363,0.04709119606907475,
1664.0,0.04070047423483629,0.04071252723819141,
1792.0,0.03541854480450866,0.03493643238963366,
1920.0,0.030424889906325917,0.02968137758503829,
2048.0,0.02576942432366195,0.02487990380973369,
2304.0,0.01951480725833335,0.016421463010205625,
2560.0,0.014688593215691981,0.009208219635315804,
2816.0,0.00897676679702272,0.0029840603913763725,
3072.0,0.0036139997300506364,-0.002441397697176856,
3328.0,-0.0004806874613313994,-0.007212622643405067,
3584.0,-0.006004128095883061,-0.011441222126435113,
3840.0,-0.012097773154000607,-0.015214783709947222,
4096.0,-0.01821035390294128,-0.018603006895801813,
4608.0,-0.031145139284217294,-0.024437656759356427,
5120.0,-0.04050725832119497,-0.0292827834324947,
5632.0,-0.045168563163060754,-0.03337043601269221,
6144.0,-0.04459114733312617,-0.036865368128376166,
6656.0,-0.04432293013033459,-0.03988778388161547,
7168.0,-0.04016581490262979,-0.042527442181100626,
7680.0,-0.03817463944505903,-0.044852721668952725,
8192.0,-0.03834430539606273, ,
9216.0,-0.04461733393043687, ,
10240.0,-0.048595556290683815, ,
11264.0,-0.054604454485124736, ,
12288.0,-0.0573576338681778, ,
13312.0,-0.056251528107713965, ,
14336.0,-0.05476547581466548, ,
