Time (ms),2022-04-25_multipletau_dirty_3dot0-1dot0_0400_correlation-CH1_1,2022-04-25_multipletau_dirty_3dot0-1dot0_0400_correlation-CH1_1 fitted model: ,
1.0,0.13942423462867737,0.14308666039754964,
2.0,0.12813691794872284,0.12982179154913462,
3.0,0.1187160313129425,0.11878054690608605,
4.0,0.1104096993803978,0.10944703848735568,
5.0,0.10354959219694138,0.10145350647361283,
6.0,0.09669674932956696,0.09453071449173069,
7.0,0.09018172323703766,0.08847702740535049,
8.0,0.08512138575315475,0.0831384473977444,
9.0,0.08067939430475235,0.07839533035540242,
10.0,0.07677534222602844,0.07415331239949656,
11.0,0.0731562152504921,0.0703369679013455,
12.0,0.06948332488536835,0.066885285479392,
13.0,0.06682639569044113,0.06374838170525665,
14.0,0.06366322189569473,0.060885074688927496,
15.0,0.060323379933834076,0.05826106602035557,
16.0,0.05751872435212135,0.05584756025522929,
18.0,0.051319245249032974,0.05155826038160646,
20.0,0.04555883631110191,0.04786200207440135,
22.0,0.040448885411024094,0.044643746502240796,
24.0,0.03595574200153351,0.041816401592328155,
26.0,0.033308591693639755,0.03931282143650579,
28.0,0.03092108853161335,0.03708040534272437,
30.0,0.02837258018553257,0.03507736166840744,
32.0,0.02617339789867401,0.03327006701328893,
36.0,0.022501911967992783,0.030138164620993745,
40.0,0.021676991134881973,0.027518315803093923,
44.0,0.020747488364577293,0.025294432449791526,
48.0,0.020593570545315742,0.02338305216472216,
52.0,0.021328862756490707,0.021722629170687686,
56.0,0.022488543763756752,0.020266783553268542,
60.0,0.02307400107383728,0.018979900949002395,
64.0,0.02385968156158924,0.017834180283004892,
72.0,0.0257421862334013,0.01588250177725809,
80.0,0.023555153980851173,0.014281959624972449,
88.0,0.017073120921850204,0.012945612753630875,
96.0,0.011406388133764267,0.011813033877569438,
104.0,0.008749453350901604,0.010840918340217366,
112.0,0.008999314159154892,0.00999742050438869,
120.0,0.00856630690395832,0.009258598662417792,
128.0,0.010346142575144768,0.008606106154197789,
144.0,0.012754426337778568,0.007505917223018669,
160.0,0.011202462017536163,0.006614133356877631,
176.0,0.006269371602684259,0.005876661672634967,
192.0,0.013344643637537956,0.005256638818787843,
208.0,0.01580685004591942,0.004728077049784047,
224.0,0.00808828417211771,0.004272129003925691,
240.0,0.002274951199069619,0.00387479296691065,
256.0,0.004078094381839037,0.0035254496530925704,
288.0,0.007547861430794001,0.00293970837140352,
320.0,-0.001055828994140029,0.002467934634784191,
352.0,0.0008326026145368814,0.0020798154783582493,
384.0,0.000353910552803427,0.0017549125995620957,
416.0,-0.0045084524899721146,0.0014789442332972507,
448.0,-0.007625236641615629,0.0012416293640602578,
480.0,-0.00799479428678751,0.0010353785020947343,
512.0,-0.0049802991561591625,0.0008544670014709226,
576.0,-0.0025613256730139256,0.0005520271013712674,
640.0,-0.002836570842191577,0.00030924272068754474,
704.0,-0.004357632249593735,0.00011004798199350154,
768.0,-0.001369275152683258,-5.632925898789074e-05,
832.0,0.00415073474869132,-0.00019738184132215252,
896.0,-0.00046010006917640567,-0.00031848292079686706,
960.0,-0.0021610658150166273,-0.00042358601848089985,
1024.0,0.001071508158929646,-0.0005156648208405872,
1152.0,-0.003097227308899164,-0.0006693656072597506,
1280.0,-0.007111792452633381,-0.0007925392314386724,
1408.0,-0.0005095128435641527,-0.0008934588072416589,
1536.0,-0.0049034059047698975,-0.0009776556855051436,
1664.0,-0.006499831099063158,-0.0010489683487560314,
1792.0,-0.0030884118750691414,-0.0011101440088328207,
1920.0,-0.004169311374425888,-0.0011632006796052214,
2048.0,0.001077580964192748,-0.0012096540619464498,
2304.0,0.004738568793982267,-0.0012871361555615354,
2560.0,-0.0016672845231369138,-0.0013491757035527872,
2816.0,-0.0001349850499536842,-0.0013999709945326949,
3072.0,0.007083419244736433,-0.0014423249441756045,
3328.0,0.007329653017222881,-0.001478180340758755,
3584.0,0.005120459478348494,-0.0015089262699482732,
3840.0,-0.004137558396905661,-0.0015355822540754935,
4096.0,-0.006334331352263689,-0.0015589134894175012,
4608.0,-0.002797920722514391,-0.0015978139254053583,
5120.0,0.0021979466546326876,-0.0016289478214302753,
5632.0,-0.0014973401557654142,-0.001654429971254129,
6144.0,-0.004025014117360115,-0.0016756712605783168,
6656.0,-0.002401231089606881,-0.0016936490381359798,
7168.0,0.004543459042906761,-0.0017090617576498502,
7680.0,-0.00702616386115551,-0.001722421834854915,
8192.0,0.004773852881044149, ,
9216.0,-0.003132786601781845, ,
10240.0,0.0018605204531922936, ,
11264.0,-0.001983403926715255, ,
12288.0,-0.0014474763302132487, ,
13312.0,0.0022805780172348022, ,
14336.0,-0.0031065656803548336, ,
