name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004167,9.363125589607919e-05,0.052924,0.00012411120792196084,18.895019272919658,1.0,0,140.814456,1.4651963867355091,1.0,0
19e3e,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0038258045789806294,5.362985012995436e-05,0.05084407164280015,7.095260958986227e-05,19.667976377371943,1.0,0,141.6117055297257,0.877162528153736,1.0,0
34a6d,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003696947624688862,7.47341739733634e-05,0.04959461896636259,0.00010021588460307347,20.163477829686467,1.0,0,136.14313434929983,1.217691435917392,1.0,0
484af,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0031731538543753324,3.85933695149604e-05,0.05062013130757056,5.56186973152063e-05,19.754986290413747,1.0,0,111.75877137869763,0.533706235168265,1.0,0
714af,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003680786814273307,0.00010018400621963852,0.05114668369554759,0.00013265187819124297,19.551609757389837,1.0,0,141.27276963036945,1.6260573077908038,1.0,0
34766,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.006356839591294183,0.0003710381304293502,0.07041122778272124,0.00043456470785837513,14.202280396044987,1.0,0,212.60462003200118,5.894113864889507,1.0,0
c1204,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.006809125902700219,0.00047985599633928376,0.06761216198897947,0.0005456768400803444,14.790238480511778,1.0,0,239.19185040720856,8.649682974383051,1.0,0
fe81d,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003297433067811273,3.656128460075035e-05,0.048695544253070246,5.1224636430452456e-05,20.53575979771394,1.0,0,120.4478263545998,0.5549690365440697,1.0,0
ff67b,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003612281578585508,8.30980159208635e-05,0.05270006610375207,0.00011148760575419007,18.975308266810757,1.0,0,135.9454966260801,1.2728358691858452,1.0,0
dirty,Not known,average_data,average_data,Thu May 12 20:16:37 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.025252,0.0017459013921834504,0.467745,0.00230313344612636,2.137917027440165,1.0,0,142.833232,3.1235187985138433,1.0,0
