name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 19:04:30 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004167,None,0.052924,None,18.895019272919658,1.0,None,0.0,None,140.814451,None,1.0,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 19:01:16 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003826,None,0.050844,None,19.66800409094485,1.0,None,0.0,None,141.611719,None,1.0,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 19:00:42 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004515,None,0.050716,None,19.717643347267135,0.071204,None,0.928796,None,1192.59579,None,121.78326,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 19:00:42 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003457,None,0.052975,None,18.87682869277961,0.944719,None,0.055281,None,118.415128,None,1.192044,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 19:01:55 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003681,None,0.051147,None,19.551488845875614,1.0,None,0.0,None,141.272723,None,1.0,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 19:02:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.011274,None,0.077062,None,12.976564324829358,0.293434,None,0.706566,None,1381.102649,None,124.868739,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 19:05:39 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006809,None,0.067612,None,14.790273915872922,1.0,None,0.0,None,239.19266,None,1.0,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 19:00:42 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003351,None,0.049488,None,20.206918849013903,0.974841,None,0.025159,None,123.309992,None,3.645263,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 19:00:42 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003985,None,0.05412,None,18.477457501847745,0.840408,None,0.159592,None,168.066461,None,32.682692,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 19:00:42 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.040111,None,0.497328,None,2.010745423543416,0.393583,None,0.606417,None,445.839254,None,70.024362,None,1.0,None,1.0,None
