Time (ms),0cd20,0cd20 fitted model: ,19e3e,19e3e fitted model: ,34a6d,34a6d fitted model: ,484af,484af fitted model: ,714af,714af fitted model: ,34766,34766 fitted model: ,c1204,c1204 fitted model: ,fe81d,fe81d fitted model: ,ff67b,ff67b fitted model: ,dirty,dirty fitted model: ,
1.0,0.032534561423947, ,0.0388396309156503, ,0.03765784279866652, ,0.034374454167000086, ,0.03206105547131233, ,0.0388056735843974, ,0.037292938965480874, ,0.03238018346448666, ,0.03253556333052424, ,0.25248661810532214, ,
2.0,0.03086837650819992, ,0.03726704404087496, ,0.036047984022985806, ,0.03272761678135441, ,0.030418462594443897, ,0.03720011537873834, ,0.035677824462397714, ,0.030779274675404013, ,0.030877050721588042, ,0.24148003490641712, ,
3.0,0.029385869462405227, ,0.035844815445138886, ,0.03459841850129041, ,0.031236382706682813, ,0.028938816740827742, ,0.035756122410906734, ,0.0342235764774602, ,0.029334561397558648, ,0.029386440578561563, ,0.23197996305301785, ,
4.0,0.02804940567067307, ,0.03454995820564883, ,0.03328440051864494, ,0.02989116230214289, ,0.02759759803566168, ,0.034445865142079535, ,0.03290562497710021, ,0.028023245596632745, ,0.028037931533673635, ,0.2235690361633897, ,
5.0,0.026829637030863926, ,0.03336510415106606, ,0.03208233964714137, ,0.02866599689663727, ,0.026373944378826977, ,0.03324904053586234, ,0.03170275276924452, ,0.026827063755135695, ,0.026807989864251935, ,0.21606383074695865, ,
6.0,0.025714286687111274, ,0.03227812491775471, ,0.030980745333839547, ,0.027545313953689133, ,0.02525251077242055, ,0.03215335604828197, ,0.030601280465833703, ,0.02573199832736346, ,0.025676430772560148, ,0.20931469277478754, ,
7.0,0.02468323861830868, ,0.03126960481536024, ,0.029958885030990298, ,0.026513085032762715, ,0.024215336527042795, ,0.03113884426528747, ,0.029581993654342404, ,0.02471990478860826, ,0.024634237644764093, ,0.20322196392032008, ,
8.0,0.023729523714993976, ,0.03033345723588045, ,0.029015742567452516, ,0.025555354543030262, ,0.02325123070897359, ,0.030199762638035095, ,0.028637646795128393, ,0.023780777369972965, ,0.02368005864823667, ,0.19774736766392986, ,
9.0,0.02284943995053052, ,0.02946214076308977, ,0.028142464800991796, ,0.024669024176433567, ,0.022359380111941753, ,0.029328794194364637, ,0.02775916163478228, ,0.022908796130153744, ,0.02279523566293602, ,0.19279034907308717, ,
10.0,0.022029158911512543, ,0.02865155842978837, ,0.027330926876853814, ,0.02384446019869904, ,0.02153100039247634, ,0.028520707601896005, ,0.026945805982843542, ,0.02210012078628879, ,0.02197394625355418, ,0.18819889091265699, ,
11.0,0.021262819232005212, ,0.027892983870162646, ,0.026574168032543227, ,0.023073199194271202, ,0.020755473053399122, ,0.027765252146191313, ,0.02618517233442501, ,0.0213426188411143, ,0.021208716807170555, ,0.1838575233798474, ,
12.0,0.0205495830580023, ,0.027177994529127468, ,0.025861648761413315, ,0.02235049694097897, ,0.020031945488222364, ,0.02705700255473418, ,0.025470831686079724, ,0.020632112683982646, ,0.02049197221461397, ,0.1799362375276784, ,
13.0,0.019883848762320768, ,0.026506510775434932, ,0.0251943204653534, ,0.02167321314905272, ,0.0193580821051069, ,0.02639242100311256, ,0.024801974565013964, ,0.019964264317439712, ,0.01981824483507528, ,0.1762542324544241, ,
14.0,0.019260603478566434, ,0.02587452247662812, ,0.024564652679996055, ,0.02103479717706525, ,0.01871808440125776, ,0.025767417742306415, ,0.024171352641105873, ,0.019337183362855902, ,0.019183489999089105, ,0.17283082262612878, ,
15.0,0.01867208318758963, ,0.025275748774257242, ,0.023970100981268016, ,0.02043139406790336, ,0.018112236858820015, ,0.025177385886528677, ,0.02357557700242331, ,0.01874556013029, ,0.01858446170719197, ,0.1696793614855657, ,
16.0,0.018123929411457438, ,0.024713140817321077, ,0.02341237770562822, ,0.0198672975579551, ,0.01754979061068229, ,0.024624414149962616, ,0.023023306577002512, ,0.01819180496504386, ,0.018022934415449318, ,0.16665823539408545, ,
18.0,0.01712578302896064, ,0.023681384831236132, ,0.022388221689245917, ,0.018835047263536575, ,0.016515227361529505, ,0.023607033567994724, ,0.022004043083456572, ,0.017173161231861123, ,0.016983576727887757, ,0.16124115658613541, ,
20.0,0.016228538090621844, ,0.02274447809714748, ,0.02146307881582867, ,0.017903497854117736, ,0.01558733945536726, ,0.022695617805681707, ,0.021091908910608248, ,0.01626218619972907, ,0.016063209279225422, ,0.15643420726371307, ,
22.0,0.015417857511137199, ,0.02189573233624046, ,0.02062741118567911, ,0.017061107347957617, ,0.014755375514615256, ,0.021876011701598485, ,0.020272324625611973, ,0.015441395892208352, ,0.01524171714957517, ,0.1520291684071223, ,
24.0,0.014671689352124102, ,0.0211161199250721, ,0.01986081160266291, ,0.016288497185608906, ,0.014004968700684467, ,0.021119946620832147, ,0.019520713722730957, ,0.014690689782086224, ,0.01449205174576491, ,0.14801628276705742, ,
