name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Thu May 12 18:20:17 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000533,1.49809030945264e-05,0.03464,5.465984677203981e-05,28.86836027713626,1.0,0,18.829252,0.08722306334512449,1.0,0
19e3e,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0006248650048348292,0.00015510852696205835,0.03837421911271753,0.0003931397944557307,26.05916219591793,1.0,0,34.78825699361775,1.2344176523625503,1.0,0
34a6d,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0005202558475189134,0.00014113454418920494,0.037350011865214604,0.00037767590738733693,26.773753208130454,1.0,0,31.63770257156457,1.0809620917294849,1.0,0
484af,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0006310162513906148,1.8318267938097083e-05,0.03639383369340025,6.28409561005641e-05,27.477182217858587,1.0,0,20.824503088766598,0.10850874049451992,1.0,0
714af,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0005513690729102017,1.5251908822281817e-05,0.03454875446011722,5.80233319180794e-05,28.944603521217854,1.0,0,17.596419240195054,0.0851699090325722,1.0,0
34766,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00018000545762530962,0.00020841425899248932,0.037339204787479374,0.0005149009020252906,26.78150232956544,1.0,0,36.404247197437,1.7589632937959796,1.0,0
c1204,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00018707058207878546,0.0001767447581175027,0.03653050863669906,0.00047654924167402535,27.37437931524956,1.0,0,31.227531186869108,1.3717181357804626,1.0,0
fe81d,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0005692992653456574,1.5315896434958875e-05,0.03463422518267418,5.5662243552046366e-05,28.873173709693713,1.0,0,18.950427864083593,0.08956635377761661,1.0,0
ff67b,Not known,average_data,average_data,Thu May 12 18:20:18 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0005983924019274944,1.850619695573573e-05,0.0350532818997829,6.943420038852001e-05,28.527999257216297,1.0,0,17.995287874106097,0.10335954183941143,1.0,0
dirty,Not known,average_data,average_data,Thu May 12 18:20:36 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.001253,0.0017542748093529279,0.227192,0.0035026673298048194,4.40156343533223,1.0,0,54.10869,3.211591475772457,1.0,0
