name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 17:58:21 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000578,None,0.034952,None,28.610666056305792,0.122327,None,0.877673,None,40.024188,None,16.675689,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00168118123073846,None,0.04253343811177777,None,23.510913869036465,0.273214880679113,None,0.726785119320887,None,182.78919194482242,None,16.414905776771093,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0015926754470977356,None,0.04124963832157177,None,24.242636800939984,0.2306505517782239,None,0.7693494482217761,None,210.09795047758388,None,16.495308543638583,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0006612267429588758,None,0.03705238194387582,None,26.98881819567566,0.9344181600047679,None,0.06558183999523215,None,22.087960449215558,None,3.989804298360473,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0005513690746410393,None,0.03454875413729568,None,28.94460379167454,0.9999999948462726,None,5.153727444806577e-09,None,17.59641908219755,None,2.134348162504628,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002462,None,0.042926,None,23.29590457997484,0.214275,None,0.785725,None,557.809689,None,18.679142,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00261058403968073,None,0.041416800946977535,None,24.144790933520344,0.1654920677732693,None,0.8345079322267307,None,914.5776069281776,None,19.49370090665181,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0005846996209180055,None,0.03473163511696894,None,28.792194684534937,0.03600966690497104,None,0.963990333095029,None,43.77883652478348,None,18.288475396523456,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0005983927849265713,None,0.03515855675478449,None,28.44257820292685,0.9970055040632486,None,0.0029944959367513846,None,17.99529551942151,None,0.00010000000166533453,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 17:58:22 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.014493,None,0.274666,None,3.6407855358872228,0.666435,None,0.333565,None,16.682103,None,424.668714,None,1.0,None,1.0,None
