name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,20 nM AF48816_T182s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,25.88312201662363,1,,0.033320406977408144,,0.8519968564743141,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,20 nM AF48822_T254s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,25.84840670853123,1,,0.033320406977408144,,0.8519968564743141,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,20 nM AF48826_T302s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,25.972860076043663,1,,0.033320406977408144,,0.8519968564743141,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,20 nM AF48827_T314s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,25.934006817170218,1,,0.033320406977408144,,0.8519968564743141,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,20 nM AF48839_T459s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0004354256483339255,,0.0761555221401019,,13.131024145042542,25.23496848609074,1,,0.037419463583136525,,0.9155603766012128,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,20 nM AF48850_T592s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0008717396344708731,,0.0735785844362728,,13.59091110085314,25.569018187805625,1,,0.03427134190870887,,0.8539244630628287,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,20 nM AF48851_T604s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,26.09361027745857,1,,0.033320406977408144,,0.8519968564743141,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,20 nM AF48857_T676s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.000548173173904301,,0.07659037128952986,,13.05647150109459,26.575793592158753,1,,0.033025017142075695,,0.8513986576002565,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,20 nM AF48870_T833s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0005591505004567012,,0.07492539502992164,,13.34660964551001,25.902567386779474,1,,0.033320406977408144,,0.8519968564743141,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,20 nM AF48883_T986s_1,,21 January 2022 15:53:06,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,-0.0007566385275708815,,0.07378272897499308,,13.553307310426625,25.66216463890191,1,,0.03494791113430853,,0.8580827938202666,,73.42655400068263,4.737041091819574
