name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488104_T1238s_1_correlation-CH2_2,Not known,shift_20 nM AF488104_T1238s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.0778360554957891,,0.11554022750112475,,8.654994209616433,40.407463565141974,1,,0.040216134604259095,,0.5104276792648889,,73.62986946939256,4.750026879619874
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488113_T1352s_1_correlation-CH2_2,Not known,shift_20 nM AF488113_T1352s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.15529614774571335,,0.09195728049843957,,10.874614762198943,32.05151461075656,1,,0.03477972018273766,,0.7973770549141753,,71.77702581217311,4.856223937630628
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488125_T1496s_1_correlation-CH2_2,Not known,shift_20 nM AF488125_T1496s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.14222829290602884,,0.11357548653918922,,8.804716849308411,39.5050086403318,1,,0.05128851983171089,,0.6281673853839798,,72.00285709325715,4.831027966687996
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488129_T1537s_1_correlation-CH2_2,Not known,shift_20 nM AF488129_T1537s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.24457770322123554,,0.12958776004018208,,7.716778187152273,45.38828474375066,1,,0.05851520407957656,,0.6055440673852146,,75.44669016181254,4.642600584798292
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488131_T1561s_1_correlation-CH2_2,Not known,shift_20 nM AF488131_T1561s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.0978593307860019,,0.09144359019030554,,10.935703617048226,32.16911396533715,1,,0.03621789805144271,,0.7515408959495584,,74.54731001346165,4.719278202779457
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488135_T1610s_1_correlation-CH2_2,Not known,shift_20 nM AF488135_T1610s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.3146919675505597,,0.14880488830753685,,6.720209338373938,52.375672775744334,1,,0.05996148384601386,,0.5113770727139476,,74.46768176717248,4.726790027016145
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488153_T1834s_1_correlation-CH2_2,Not known,shift_20 nM AF488153_T1834s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.22007708074043328,,0.13914049606216858,,7.186980270310347,48.50508689878764,1,,0.051323156810148235,,0.5220472244062847,,73.75389112156414,4.7268359282048635
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488157_T1883s_1_correlation-CH2_2,Not known,shift_20 nM AF488157_T1883s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.1955223163369927,,0.13607387358662842,,7.348949314383794,47.362040728842615,1,,0.0561591938586148,,0.5242376614966543,,73.69472463014472,4.723250583676774
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488158_T1895s_1_correlation-CH2_2,Not known,shift_20 nM AF488158_T1895s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.2769094008133776,,0.1449725144504102,,6.897859251396674,50.57463709389922,1,,0.053062455065013274,,0.5256068479639268,,71.8514175702351,4.85549475009889
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488159_T1907s_1_correlation-CH2_2,Not known,shift_20 nM AF488159_T1907s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.23732753722401667,,0.12314572885525878,,8.120460281455358,42.851473288784746,1,,0.05031282212767345,,0.6295625848980092,,72.55493939486631,4.796242654251721
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488162_T1932s_1_correlation-CH2_2,Not known,shift_20 nM AF488162_T1932s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.12984468635010496,,0.10247901231575454,,9.758095608092288,35.67172920332632,1,,0.04515093868908407,,0.6801619086453652,,73.01749387175208,4.76742681237929
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488171_T2040s_1_correlation-CH2_2,Not known,shift_20 nM AF488171_T2040s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.14686466533873815,,0.13151930411359417,,7.603446556684126,45.50125796405574,1,,0.05390029396026766,,0.507067589287264,,76.3943542885902,4.528917015556746
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF488174_T2088s_1_correlation-CH2_2,Not known,shift_20 nM AF488174_T2088s_1,,24 January 2022 22:32:21,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.1475724577009806,,0.09305341788312729,,10.74651552569487,32.45677147772477,1,,0.036967461111206086,,0.7842356337198644,,71.94419658458227,4.848405634029728
