name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,20 nM AF48816_T182s_1,,24 January 2022 22:35:35,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,25.896821970042463,1,,0.03331725482035784,,0.8512004636825574,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,20 nM AF48822_T254s_1,,24 January 2022 22:35:35,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,25.86208828711477,1,,0.03331725482035784,,0.8512004636825574,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,20 nM AF48826_T302s_1,,24 January 2022 22:35:35,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,25.98660752787606,1,,0.03331725482035784,,0.8512004636825574,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,20 nM AF48827_T314s_1,,24 January 2022 22:35:35,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,25.94773370394727,1,,0.03331725482035784,,0.8512004636825574,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,20 nM AF48839_T459s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0004667730436094378,,0.07621213886727089,,13.121269326157798,25.253729060317603,1,,0.037430792461688296,,0.9141733966236264,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,20 nM AF48850_T592s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0008875610524752575,,0.07361259996809828,,13.584630897881247,25.580838797818405,1,,0.03426837004704219,,0.853132377389551,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,20 nM AF48851_T604s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,26.107421642451584,1,,0.03331725482035784,,0.8512004636825574,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,20 nM AF48857_T676s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005691448474600495,,0.07662925101210968,,13.049846981304443,26.589284315141356,1,,0.0330309798968748,,0.8505962552744905,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,20 nM AF48870_T833s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0005772028616607358,,0.07496505309053497,,13.33954901348905,25.91627763264545,1,,0.03331725482035784,,0.8512004636825574,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_CH2_BIN1_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,20 nM AF48883_T986s_1,,24 January 2022 22:35:36,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,-0.0007873059391695961,,0.07384306074906231,,13.542233892474432,25.683148464529268,1,,0.034951275581032996,,0.8567144149135953,,73.42655400068263,4.737041091819574
