Time (ms),2022-04-25_multipletau_0cd20_0dot4-1dot0_1305_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot4-1dot0_1305_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot4-1dot0_1364_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot4-1dot0_1364_correlation-CH1_1 fitted model: ,
1.0,0.09236118197441101, ,0.29232117533683777, ,
2.0,0.0887308418750763, ,0.2800220549106598, ,
3.0,0.08527840673923492, ,0.26470044255256653, ,
4.0,0.08218677341938019, ,0.24959617853164673, ,
5.0,0.07928140461444855, ,0.2340366393327713, ,
6.0,0.0765606015920639, ,0.2185584008693695, ,
7.0,0.07391344010829926, ,0.20577506721019745, ,
8.0,0.07137981057167053, ,0.19172586500644684, ,
9.0,0.06894935667514801, ,0.18179023265838623, ,
10.0,0.06678030639886856, ,0.17335018515586853, ,
11.0,0.06473129242658615, ,0.16794230043888092, ,
12.0,0.06278197467327118, ,0.16121381521224976, ,
13.0,0.06088782474398613, ,0.15583842992782593, ,
14.0,0.05906260386109352, ,0.15079854428768158, ,
15.0,0.05740834027528763, ,0.1448291689157486, ,
16.0,0.055737849324941635, ,0.13987739384174347, ,
18.0,0.05258352309465408, ,0.13094283640384674, ,
20.0,0.04981948062777519, ,0.12509450316429138, ,
22.0,0.047537703067064285, ,0.120884470641613, ,
24.0,0.0455586276948452, ,0.11746671050786972, ,
26.0,0.043729688972234726, ,0.12061484158039093, ,
28.0,0.042104724794626236, ,0.12372035533189774, ,
30.0,0.0406494177877903, ,0.12086612731218338, ,
32.0,0.03934071958065033, ,0.11647596210241318, ,
36.0,0.0366312600672245, ,0.09579253941774368, ,
40.0,0.03410017490386963, ,0.07366475462913513, ,
44.0,0.031961213797330856, ,0.05786026641726494, ,
48.0,0.0303446426987648, ,0.04914499446749687, ,
52.0,0.029145317152142525, ,0.038362711668014526, ,
56.0,0.027744360268115997, ,0.02641931362450123, ,
60.0,0.025779806077480316, ,0.020895592868328094, ,
64.0,0.024140266701579094, ,0.019295651465654373, ,
72.0,0.022881528362631798, ,0.0150908799842, ,
80.0,0.0207211971282959, ,0.013975360430777073, ,
88.0,0.0179294366389513, ,0.012603361159563065, ,
96.0,0.017371751368045807, ,0.01003809180110693, ,
104.0,0.01737784594297409, ,0.010904585011303425, ,
112.0,0.01742120087146759, ,0.01301142293959856, ,
120.0,0.016608048230409622, ,0.011438153684139252, ,
128.0,0.015047316439449787, ,0.008372373878955841, ,
144.0,0.014822131022810936, ,0.0034216884523630142, ,
160.0,0.013931101188063622, ,-0.006059735547751188, ,
176.0,0.01407905388623476, ,-0.010286734439432621, ,
192.0,0.011861789971590042, ,-0.010779766365885735, ,
208.0,0.0094516696408391, ,-0.009879038669168949, ,
224.0,0.007315647788345814, ,-0.0057353004813194275, ,
240.0,0.007375869434326887, ,-0.003768746741116047, ,
256.0,0.00692716334015131, ,-0.0019169248407706618, ,
288.0,0.004458018112927675, ,-0.0011485968716442585, ,
320.0,0.0019330333452671766, ,0.004735828842967749, ,
352.0,0.0013159309746697545, ,0.00671729352325201, ,
384.0,0.002250335179269314, ,0.0035976218059659004, ,
416.0,0.0023782753851264715, ,0.003025227691978216, ,
448.0,0.0007461150526069105, ,0.00017528817988932133, ,
480.0,0.0006898298161104321, ,-0.002574168611317873, ,
512.0,0.0036289223935455084, ,-0.0008646123460493982, ,
576.0,0.005425462499260902, ,0.0019652117043733597, ,
640.0,0.0055247885175049305, ,0.011012248694896698, ,
704.0,0.002046325709670782, ,0.002807148266583681, ,
768.0,0.0019317370606586337, ,0.010755485855042934, ,
832.0,0.0007067646947689354, ,0.005667323712259531, ,
896.0,-0.00024152843980118632, ,0.007967115379869938, ,
960.0,-0.0015782846603542566, ,0.0031643924303352833, ,
1024.0,0.0014804566744714975, ,0.006118177901953459, ,
1152.0,0.000451885920483619, ,0.0020836815237998962, ,
1280.0,3.504611231619492e-05, ,-0.00524741318076849, ,
1408.0,-0.0007552171591669321, ,0.0015949144726619124, ,
1536.0,-0.0037245345301926136, ,0.018899787217378616, ,
1664.0,-0.008820752613246441, ,-0.0014521488919854164, ,
1792.0,-0.010380228981375694, ,-0.0007932791486382484, ,
1920.0,-0.005132873542606831, ,0.005220755469053984, ,
2048.0,0.0019398300210013986, ,0.007922590710222721, ,
2304.0,-0.0073112379759550095, ,-0.006544607225805521, ,
2560.0,-0.006094028241932392, ,-0.0046189529821276665, ,
2816.0,-0.008372549898922443, ,0.007463034708052874, ,
3072.0,-0.001834449009038508,0.09339084468739009,-0.0035173504147678614,0.3043365256786747,
3328.0,-0.0007760335574857891,0.08927694838013421,-0.002292934339493513,0.28219399026784864,
3584.0,-0.0026848192792385817,0.08552281744212388,6.140889308881015e-05,0.26297123454121907,
3840.0,-0.0022737521212548018,0.08208297027542638,-0.01116800308227539,0.2461264637336269,
4096.0,0.0026094275526702404, ,-0.00048036765656434, ,
4608.0,0.003586373757570982, ,0.0015747389988973737, ,
5120.0,0.006429310422390699, ,-0.008898325264453888, ,
5632.0,0.003414261620491743, ,-0.006767819169908762, ,
6144.0,-0.003226417349651456, ,-0.009137634187936783, ,
6656.0,-0.0036543519236147404, ,-0.0121297687292099, ,
7168.0,-0.003764562075957656, ,-0.002312272787094116, ,
7680.0,-0.0021407052408903837, ,-0.0015155869768932462, ,
8192.0,-0.005423597060143948, ,8.68982242536731e-05, ,
