Time (ms),2022-02-03_tttr2xfcs_CH2_BIN1dot0_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,-0.5699924124769579, ,-0.5774985072725471, ,-0.5672859275155492, ,
0.000082,-0.7411936783683246, ,-0.7463833504284334, ,-0.7396026439835464, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,-0.17691925653810336, ,-0.18063648738150584, ,-0.18770714495519314, ,
0.000122,0.4852476257565834, ,0.48662648880127257, ,0.49257951511055054, ,
0.000138,0.09488633685768488, ,0.09315026978518826, ,0.10711912760073039, ,
0.000154,-0.23445797228933474, ,-0.2204558043405196, ,-0.22738646701004672, ,
0.00017,0.6137959634454404, ,0.6173704480760152, ,0.6229790326097404, ,
0.000186,-0.1315544547184233, ,-0.13575293486416762, ,-0.1523888134854281, ,
0.000218,0.1964486632482696, ,0.19971614800635318, ,0.19725116150239175, ,
0.00025,0.07139333159270844, ,0.06251891741593618, ,0.05193245260918067, ,
0.000282,0.03267555348237461, ,0.03125091448343631, ,0.030213547232700755, ,
0.000314,0.08972790608385095, ,0.08730471073904256, ,0.0806949452263781, ,
0.000346,0.16440738670156052, ,0.16380352831601463, ,0.17033923404440787, ,
0.000378,0.029816308603357156, ,0.022757481763338028, ,0.026584170730653778, ,
0.000442,0.10893204991396255, ,0.10708415438398333, ,0.1080731122867793, ,
0.000506,0.0507964294700578, ,0.048946793733800176, ,0.04826004846159471, ,
0.00057,0.11311039379956522, ,0.11282844560710181, ,0.1129864124944222, ,
0.000634,0.05334617964096067, ,0.05124740795637739, ,0.05097133225690165, ,
0.000698,0.09282299131815264, ,0.08997430449156019, ,0.08930936753972096, ,
0.000762,0.07679498317904487, ,0.07202522853640247, ,0.07426823853024689, ,
0.00089,0.07816197682065273, ,0.07710031774907189, ,0.07459460283817676, ,
0.001018,0.08251718142322395,0.0714158248742114,0.07926709181961078,0.07068225643322286,0.07520428843841143,0.06962890608480526,
0.001146,0.07945896998200919,0.07136908913391563,0.07796486803049008,0.07063912575186866,0.07251453623955828,0.06958519121995181,
0.001274,0.07443686645076708,0.07132241347566998,0.07697734997874917,0.07059604657490474,0.07675360344509885,0.0695415300543855,
0.001402,0.07794829759994615,0.07127579778375578,0.07435480890583457,0.07055301881018328,0.07151037323413556,0.0694979224892776,
0.00153,0.07227770430359226,0.0712292419427514,0.07197462740614191,0.0705100423657761,0.07497478985711203,0.06945436842604166,
0.001786,0.07314544146529922,0.07113630935326454,0.07312313629702927,0.07042424307128645,0.07193178941471223,0.06936742041204746,
0.002042,0.07460271474717839,0.07104361478973932,0.07485764905772352,0.07033864796037945,0.07361917874472401,0.06928068522853077,
0.002298,0.07212851916281693,0.07095115733939669,0.07214106473417958,0.07025325630547202,0.07305075670478778,0.06919416209544989,
0.002554,0.0715924234867471,0.07085893609411864,0.07190233614941532,0.07016806738243378,0.07174354743716593,0.06910785023657035,
0.00281,0.07274755954291034,0.07076695015041845,0.07174680563783986,0.07008308047056663,0.0699432155967219,0.06902174887944164,
0.003066,0.07426378650714116,0.07067519860941128,0.07177937513006705,0.06999829485258437,0.06725346995509218,0.06893585725537418,
0.003578,0.07158142456354222,0.07049239516277037,0.07026465487656353,0.06982932464606854,0.071046058049407,0.06876470015033243,
0.00409,0.07208624233857708,0.07031051865404739,0.07101346504355721,0.06966115109207273,0.07027950402319738,0.06859437284628268,
0.004602,0.0700413161893707,0.07012956205487347,0.06997080340251727,0.06949376857309837,0.06947977625665702,0.06842486932679157,
0.005114,0.07006345119646462,0.06994951840775464,0.07017340006024253,0.06932717152433675,0.0690960646030212,0.06825618363344685,
0.005626,0.06852699986636046,0.0697703808251806,0.06816672568097104,0.06916135443305287,0.0675396177073595,0.06808830986515968,
0.006138,0.0676878592662753,0.06959214248874711,0.06680754940213518,0.06899631183797757,0.0670375565552519,0.06792124217747687,
0.007162,0.06731669033906473,0.0692383366210405,0.06822378034604792,0.06866852854511891,0.06614685238263962,0.06758950194523265,
0.008186,0.06862662091971927,0.06888804760698972,0.0673208643509533,0.06834377896236431,0.06578154791107416,0.06726091728828616,
0.00921,0.06586414534798601,0.06854122330064126,0.06737156133625288,0.06802202119228017,0.06558256023905251,0.06693544342199531,
0.010234,0.06640906047288397,0.06819781258187174,0.06688463575599335,0.067703214105388,0.06498638460839512,0.06661303640516868,
0.011258,0.06626173099451016,0.06785776533128576,0.06630727739275999,0.06738731732264945,0.06409926649553777,0.06629365312030225,
0.012282,0.06453416760420239,0.06752103240584743,0.0635952541962248,0.06707429119842868,0.06347350336147972,0.06597725125436932,
0.01433,0.06536584545198565,0.06685731769879283,0.06399055423892497,0.06645669591100249,0.06361885937188427,0.06535322643805012,
