Time (ms),2022-02-03_tttr2xfcs_CH2_BIN1dot0_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_tttr2xfcs_CH2_BIN1dot0_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
0.016378,0.06395682411630266,0.06620629396146761,0.06349916118750087,0.0658501251272722,0.06258363442245307,0.06474063884470065,
0.018426,0.06319698359428583,0.06556760087136759,0.062284079829343586,0.06525428645032565,0.061955011526861004,0.06413917709165153,
0.020474,0.06058447796344035,0.06494089161818581,0.06067561565197499,0.06466889773251855,0.06067075909258968,0.06354854099766971,
0.022522,0.06144540229473017,0.06432583227630677,0.061698292996897,0.06409368663029695,0.06008405132946959,0.06296844108375865,
0.02457,0.06014853013770094,0.06372210121194864,0.06064350320706069,0.06352839018202316,0.05894661462902717,0.06239859810041955,
0.028666,0.059382003931997884,0.06254739550769099,0.059789356489432954,0.06242653392742689,0.058728512471041716,0.06128861441087758,
0.032762,0.05767037590317092,0.06141442672031981,0.05826702384655791,0.06136139819243089,0.05711408683260677,0.06021654407488273,
0.036858,0.05701830198156976,0.060321010864908514,0.056728186585063956,0.060331178690580495,0.05635691069780191,0.05918047855105601,
0.040954,0.056200535586578226,0.05926511371659581,0.05627431701983476,0.059334187433870283,0.05505091023419961,0.058178635280795706,
0.04505,0.055236075379140326,0.05824483819027833,0.055330527109114014,0.05836884351107808,0.053952133213124975,0.0572093474618988,
0.049146,0.053903153847318475,0.05725841297536917,0.054576532869954786,0.057433664729858426,0.05424620599662422,0.05627105480239395,
0.057338,0.05265432985894902,0.05538059657646868,0.05244585614202979,0.05564832258376245,0.05179990289686032,0.05448169687955306,
0.06553,0.05107371702303265,0.05361964371066398,0.051486962987904894,0.05396800618649997,0.05019846504792991,0.05279990996580102,
0.073722,0.050008718538551156,0.05196498332484691,0.04980539621207747,0.052383720333175524,0.0492072671934054,0.05121628473443767,
0.081914,0.04862499995528147,0.0504072819614673,0.048470017088086736,0.05088746849474014,0.04796563973731005,0.04972247811915566,
0.090106,0.047361721151147895,0.04893826779616457,0.047284755798804756,0.04947211796598884,0.04699702302526321,0.04831106644007114,
0.098298,0.04611807341901453,0.04755058386745799,0.04644523068606499,0.048131286289971036,0.04564359999126544,0.046975422156554265,
0.114682,0.04439947903072827,0.04499363407864391,0.04445652946503764,0.04565083862525942,0.04362143826195286,0.04450829854657099,
0.131066,0.04210228065245758,0.042691653993099904,0.04266561951350201,0.04340675941004641,0.041349320128372336,0.042280435286435096,
0.14745,0.040793738886960584,0.04060836061927504,0.04083731808926139,0.04136683539927605,0.03983728491989691,0.040258675118604606,
0.163834,0.038733444011359364,0.03871404303335065,0.039446033186234075,0.03950445219257734,0.038600333374441576,0.03841571659077527,
0.180218,0.037302843858000756,0.03698413882075152,0.03738093166711942,0.037797428502383365,0.036946351336186956,0.036728876002108314,
0.196602,0.03627542119087179,0.035398165177154925,0.036331226207216405,0.0362271300378155,0.035596172241725954,0.03517915071056023,
0.22937,0.03353673857869932,0.032591784209383114,0.03407110658086876,0.03343596758223412,0.03305837158480629,0.032429296844207464,
0.262138,0.03184523562031871,0.030186031372731972,0.03182731416405682,0.03103041749937843,0.0307629663021034,0.030064210323626595,
0.294906,0.029396789678600932,0.028100989540696935,0.030091357913904604,0.028935868431238704,0.029141880400873843,0.028008556111299824,
0.327674,0.028110702205080607,0.02627666929964424,0.028523999168767356,0.02709578900140004,0.027625243203137417,0.026205458641369826,
0.360442,0.02669194812323683,0.024667162164634035,0.02713706586996678,0.025466564209878764,0.026335833723341695,0.024611174288520252,
0.39321,0.025240113696392674,0.023236738227374397,0.025767734484331895,0.024014005864077564,0.024696506320034173,0.023191508221631192,
0.458746,0.022964071998676117,0.020805877005565472,0.02367385806593547,0.02153547923189909,0.02257992196696823,0.020772901140938254,
0.524282,0.020931334912832167,0.018818225295275298,0.021641915933058753,0.019499337010927924,0.0205631836576865,0.018789574812768963,
0.589818,0.019381871500314674,0.017163116261441264,0.01992216026434801,0.01779722340426306,0.01898876342321798,0.01713411090654217,
0.655354,0.018062203616213468,0.015763882112053908,0.018796725084756494,0.016353486696062687,0.01779669743337875,0.015731737143764916,
0.72089,0.0166142307203081,0.014565729502439562,0.01761486604292206,0.015113706934559847,0.01646678252377365,0.014528801532482443,
0.786426,0.015316272155699417,0.013528458064596072,0.016468467216020244,0.01403773626031992,0.015366982426842757,0.013485807560068163,
0.917498,0.013597063504131812,0.011823000846450481,0.014656972325942652,0.012263174969368646,0.01355586647679008,0.011767691498198965,
1.04857,0.012127257565155203,0.01048010812108554,0.013203451644533626,0.010860952157316882,0.012203323206958716,0.010411916450919793,
1.179642,0.01094398809952346,0.009396102227164214,0.01222795101675822,0.009725786588177947,0.011088357583838748,0.009315577122305489,
1.310714,0.010012855691484024,0.008503347504716137,0.011074471370651873,0.008788627922781931,0.010262412286443867,0.008411321788714116,
1.441786,0.009252006578711391,0.007755844392595263,0.01023891279443001,0.008002309020090529,0.0093301574878768,0.007653221679084726,
1.572858,0.008600499482556145,0.007121221330565259,0.009502237060499574,0.007333515746153119,0.00887660714745353,0.007008883194464351,
1.835002,0.007614812389094894,0.006102905924196543,0.008245498096507431,0.006257916563447167,0.0075705761792832504,0.005973528382030885,
2.097146,0.006879448233256147,0.005323127113540262,0.007097878567984495,0.005432091351906766,0.006848009941277322,0.005179413273660477,
2.35929,0.006164215529208983,0.004708047576264158,0.00637083293524876,0.004779243643731855,0.00628081519307222,0.004552170738379331,
2.621434,0.005489159907104746,0.004211344353219931,0.00590614219339658,0.004251031278859525,0.005584564279891513,0.004045049202025375,
2.883578,0.004991921176484393,0.003802498382409476,0.005315331072613949,0.0038155170143400717,0.004760283698417522,0.0036271952923326413,
3.145722,0.00458496711237566,0.003460593819021686,0.0046259844528069305,0.003450762353961019,0.004769021974419196,0.003277434085731002,
3.67001,0.004225276002264744,0.002922413216723043,0.003906394965363269,0.002875502408861714,0.004438373333367718,0.0027262306299097815,
4.194298,0.0037102404966073976,0.0025195222837069682,0.0035141205792310615,0.002443858574093496,0.003904354116586406,0.002313003955544989,
4.718586,0.0035030487834470936,0.002207803949134409,0.0031808512868445327,0.002109229996939338,0.003238813015538078,0.0019928974837089873,
5.242874,0.0034816190953901316,0.0019602837912025585,0.0032531130637301064,0.001843054602252419,0.003123992227108907,0.0017384438508375206,
5.767162,0.0032425991756592776,0.0017595684737351884,0.0029964753030367053,0.0016268770702916754,0.002862315808486615,0.0015319092515431072,
6.29145,0.0027559441168405474,0.0015939563231639167,0.002783495434480976,0.0014482585718052418,0.0027324592020456784,0.0013613495401551283,
7.340026,0.0018622935948371389,0.0013377458164940932,0.002138042880904134,0.0011714324903319773,0.002455564159411505,0.0010971946678259242,
8.388602,0.0018728130179321845,0.0011498656519469087,0.0021010630958429033,0.0009680036304840534,0.0018944386878700925,0.0009032358667894385,
9.437178,0.0015537197499098099,0.0010070544097475756,0.0018784219985712447,0.0008130946458023222,0.0017941758337642888,0.0007556407331586469,
10.485754,0.0015153581661593307,0.0008953908403106557,0.0016306678569368849,0.0006917836525902132,0.0013412404609900452,0.0006401264972878939,
11.53433,0.0010545355892479513,0.0008060648084356728,0.001298830885685831,0.0005946085962206928,0.0008816234562918357,0.0005476432302479595,
12.582906,0.0009392832852963551,0.0007332469424077177,0.0011518636834990659,0.000515297761507395,0.000678891187292141,0.00047219642410670736,
14.680058,0.0004774471163191407,0.0006223066093455846,0.0010238457146780622,0.0003942849581328367,0.0005001588025528303,0.0003571456951119152,
16.77721,0.0004369634027507896,0.0005423999498298954,0.000974047961887381,0.0003069732688474519,-0.00012151263809356827,0.000274190976523222,
18.874362,0.0004502405558046707,0.00048256339170752957,0.00045640910498101483,0.00024149919079283647,0.0003157230028176805,0.00021201817847062385,
20.971514,0.00019512202756311048,0.00043636720752112366,0.0006654965324837114,0.0001908909146444566,0.0001479513841753377,0.00016398362916659215,
23.068666,0.000431929498487138,0.0003998129545986796,0.0006920242370180851,0.00015080531649253463,0.0010462587719439753,0.00012595140946508314,
25.165818,0.00055055235030399,0.000370295214215896,0.00041832531355390223,0.00011840812054741623,0.001067141952126871,0.0000952240320828648,
29.360122,0.0006575025923907241,0.000325845431849377,0.0006278489999700376,0.00006957120314061928,0.0007162832531957264,0.0000489231042107161,
33.554426,0.0005005170323635344,0.00029425171854564544,0.0004270876323038131,0.000034818411871013604,0.001008519845480338,0.000015990008967604018,
37.74873,-0.00008382659832262274,0.00027084532993222767,0.0006343735351099777,0.000009047508162653622,0.0004928125304566322,-0.000008422607252597689,
41.943034,0.00041700153651524907,0.0002529334639401079,0.0003172199122520869,-0.000010688856112062728,0.00004422042807616933,-0.00002711318889671958,
46.137338,0.00047205657744076035,0.00023886464890311552,0.000525259651215304,-0.000026200539427682982,-0.0003692882344291659,-0.00004179931804950246,
50.331642,0.0003883174382424137,0.00022757535691978373,0.0002433886706094679,-0.00003865429503646893,-0.000359083264685478,-0.000053587807850535694,
58.72025,-0.00002200235952243279,0.00021070342007714976,-0.00008834346035990759,-0.0000572783908676735,-0.0004590453972134201,-0.00007121264357299204,
67.108858,0.00025289138555883994,0.00019881184169764186,0.00020074820155202566,-0.00007041413824365882,-0.00047196419479211826,-0.00008364019513234609,
75.497466,0.0002829495122853576,0.0001900600837566759,0.0001719128068164988,-0.00008008685613124922,-0.0002285322401753831,-0.00009278946338695928,
83.886074,-0.00007292652439117031,0.00018339851164313333,-0.00008532514858328177,-0.00008745267123543265,-0.0005425462006890536,-0.00009975547300609932,
92.274682,0.000131732777916449,0.00017818925737025343,-0.0002906104404392096,-0.0000932147097679649,-0.00041196126504927655,-0.00010520398899176526,
100.66329,-0.0002561147912220063,0.00017402463696776952,-0.0002212910267288537,-0.00009782264887608631,-0.0003972736168136315,-0.00010956068938506775,
117.440506,-0.0005809696084640992,0.00016782781326569925,-0.000772373481241706,-0.00010468154652929104,-0.0009274479241944134,-0.00011604472069625848,
134.217722,-0.00030906289647048,0.00016348114699878453,-0.001069590350341043,-0.0001094944739177306,-0.0010981824694634712,-0.00012059391442220408,
150.994938,-0.0004545663884774065,0.00016029405824278555,-0.0010189862003689987,-0.00011302448924120371,-0.000558436037539578,-0.00012393010665655315,
167.772154,-0.0002374682908128367,0.0001578753454676149,-0.0008141383593578411,-0.00011570408701782066,-0.0008168583819759823,-0.00012646234055239185,
184.54937,-0.00047314057065994675,0.00015598853456746868,-0.0010759510147607676,-0.00011779481459361015,-0.0007880952678936959,-0.00012843793986411052,
201.326586,-0.0002961998405776045,0.0001544831399148202,-0.0008413364441243187,-0.00011946317152327191,-0.0005216004380540484,-0.00013001432802780218,
234.881018,-0.0012453973192234624,0.00015224846523380987,-0.0014760183754568557,-0.00012194021846695079,-0.0011099825456144519,-0.0001323546552573878,
268.43545,-0.0013508948968334877,0.00015068502264489934,-0.0016281134317847057,-0.0001236735835810341,-0.001574298016542297,-0.00013399221767707733,
301.989882,-0.0011698927558643213,0.0001495409345874029,-0.0014491927650680525,-0.00012494221408380758,-0.0020087926748494356,-0.00013519065820828048,
335.544314,-0.0015786318556023637,0.00014867403757588615,-0.00130618157621043,-0.00012590359759509878,-0.002134916101321993,-0.0001360988071126583,
369.098746,-0.001149972010154432,0.00014799864322135066,-0.0013821695795905864,-0.00012665268061755938,-0.0022291081041400096,-0.00013680638354471411,
402.653178,-0.0008946952185706625,0.00014746034838505147,-0.0016587565304483354,-0.00012724975525813225,-0.0017978103644787913,-0.00013737035610108706,
469.762042,-0.002392244302453328,0.00014666226545013815,-0.003987261635475803,-0.00012813507116912428,-0.0033783150454850253,-0.00013820655814204082,
536.870906,-0.0020913037135826817,0.0001461046493377827,-0.004148178979563655,-0.00012875370088868667,-0.003029016046395938,-0.0001387908448592403,
603.97977,-0.001885392416067888,0.0001456970167907084,-0.00442943003561469,-0.00012920597201704373,-0.002748059427706284,-0.0001392179950057047,
671.088634,-0.002012421695836708,0.00014538839530926984,-0.0040760710476476225,-0.00012954841117946203,-0.0026129338501864607,-0.00013954140574461618,
738.197498,-0.002557382447739731,0.00014514810741042647,-0.004083772536777386,-0.00012981504254837105,-0.0025981559046087677,-0.00013979321611031796,
805.306362,-0.0031426050422794782,0.0001449566995603338,-0.004308724759647498,-0.0001300274439213783,-0.0029735717783030413,-0.00013999380761458611,
939.52409,-0.006914987483371604, ,-0.007541645571022326, ,-0.007020327466365606, ,
1073.741818,-0.007204574033452205, ,-0.007050340082264905, ,-0.007111069125923075, ,
1207.959546,-0.007330430617578099, ,-0.006977691265553698, ,-0.007105620524770151, ,
1342.177274,-0.007384083431575705, ,-0.007169163406616108, ,-0.007112054611659646, ,
1476.395002,-0.006692784547213559, ,-0.007093185527208057, ,-0.0072369874563559256, ,
1610.61273,-0.00651656785971344, ,-0.006908287538301527, ,-0.006971589016315338, ,
1879.048186,-0.006129474448117733, ,-0.005859095211044774, ,-0.00649935398594359, ,
2147.483642,-0.0071985336274907885, ,-0.005273628141672426, ,-0.006370776586893001, ,
2415.919098,-0.007352717572307821, ,-0.004887614123141315, ,-0.0062966822069095985, ,
2684.354554,-0.008736538072311006, ,-0.004670928938192653, ,-0.007422572293746765, ,
2952.79001,-0.009213818536099483, ,-0.005452381951059793, ,-0.006506319364830371, ,
3221.225466,-0.00931374683703301, ,-0.005330017652039332, ,-0.007472571084317536, ,
3758.096378,-0.008308174982331384, ,-0.006786555573049413, ,-0.008396901793289335, ,
4294.96729,-0.007456255194422279, ,-0.006822792416316781, ,-0.008882032407470986, ,
4831.838202,-0.008543647608948879, ,-0.007947283130333993, ,-0.007781660915067379, ,
5368.709114,-0.008477306719033795, ,-0.007239416197905468, ,-0.008457216473397478, ,
5905.580026,-0.010000487229585908, ,-0.00607543564316293, ,-0.00938573147009314, ,
6442.450938,-0.011898379947559268, ,-0.0053585029120408745, ,-0.010985089215658106, ,
