Time (ms),2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_2Hs-PEX5-eGFP5_T91s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP1_T0s_1_correlation-CH2_2 fitted model: ,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2,2022-02-03_multipletau_CH2_BIN0dot001_us_Hs-PEX5-eGFP2_T26s_1_correlation-CH2_2 fitted model: ,
0.001,0.076873616440518,0.06889366139707487,0.07443656453479247,0.06851828558337818,0.07269420481555178,0.06746794534801721,
0.002,0.07380407034948205,0.0685738783736555,0.07313928143150672,0.06821493091421318,0.07277587291235431,0.06716052209314226,
0.003,0.07226172758398205,0.06825701632475119,0.07217768951287154,0.0679142217543759,0.0704957768765589,0.06685585589927573,
0.004,0.07123047824661906,0.06794303543381153,0.07063114137341008,0.06761612366721863,0.0696239562264528,0.06655390986394692,
0.005,0.0702286464822495,0.067631896604665,0.06952107116892789,0.06732060281118346,0.06985359629201351,0.06625464774031918,
0.006,0.06796860504950794,0.06732356144530059,0.06815479719704026,0.06702762592700309,0.06749086713759199,0.06595803392269381,
0.007,0.0678809850518921,0.06701799225208564,0.06911428558450292,0.06673716032523054,0.06608575816675158,0.06566403343239693,
0.008,0.06811031411831689,0.0667151519944061,0.06733299101549366,0.06644917387408801,0.06543107733322144,0.06537261190403726,
0.009000000000000001,0.0670419684037436,0.06641500429971643,0.06782621565775933,0.0661636349876255,0.06592866273066175,0.06508373557212399,
0.01,0.06550543815459144,0.0661175134389861,0.06690398006326514,0.0658805126141795,0.06495905962502511,0.06479737125803349,
0.011,0.06595738616162884,0.06582264431253068,0.0662206640834766,0.06559977622512385,0.06367361606732153,0.06451348635731417,
0.012,0.0652130749559527,0.06553036243621571,0.0649903660395499,0.06532139580390298,0.06356660585785061,0.06423204882731968,
0.013000000000000001,0.06523802568031722,0.0652406339280217,0.06435273697234602,0.06504534183534058,0.06369769711468172,0.06395302717516024,
0.014,0.06456209281043765,0.06495342549495978,0.06353221385220496,0.06477158529521443,0.06373391684566891,0.06367639044596282,
0.015,0.06435514501290138,0.06466870442032681,0.06447951162601478,0.06450009764009072,0.06289973914854509,0.06340210821143077,
0.016,0.06336918400140308,0.06438643855129007,0.06383678918675295,0.06423085079740971,0.06252432421912386,0.06313015055869423,
0.018000000000000002,0.06301888970855157,0.06382914656576252,0.0626487310879486,0.0636989695557244,0.061756586653204625,0.06259309185933067,
0.02,0.06156414302107462,0.06328130314116466,0.06177005138355066,0.06317572604558151,0.06092342688802872,0.06206498494726413,
0.022,0.061218093334210584,0.06274267015952906,0.06127791632310454,0.06266091168160558,0.060061120477956295,0.06154560800097502,
0.024,0.06020198140411937,0.06221301743728951,0.060616083238763024,0.06215432454057789,0.05926384589395206,0.06103474646759292,
0.026000000000000002,0.05982133652874873,0.061692122397531024,0.06009825018598315,0.061655769097559515,0.059102999064866386,0.060532192767592044,
0.028,0.05931193088759974,0.061179769758352556,0.059937249150736935,0.06116505597445782,0.05823441674779868,0.06003774601376757,
