name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
dirty,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00956,0.002319718001130404,0.213463,0.002486451072697353,4.6846526095857355,1.0,0,7.354992,0.38367440734865926,1.0,0,5.0,0
0cd20,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0022446374411522196,0.00032845648219630743,0.04611341002263873,0.000647412032598591,21.685665829290524,1.0,0,0.07126982667209703,0.004456963478997717,1.0,0,5.0,0
19e3e,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.006111119554403022,0.0004687786033692823,0.044702148880435194,0.0008995014802663691,22.37028923765386,1.0,0,0.07977112827959165,0.007225872788178654,1.0,0,5.0,0
484af,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007791075756895416,0.0005290973583879774,0.04453424773644844,0.0009847347534959459,22.45462875937531,1.0,0,0.09123118699068501,0.009186708924491199,1.0,0,5.0,0
714af,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007365508982743463,0.0005742148160807741,0.04474524503903475,0.001038444321877282,22.34874340564282,1.0,0,0.1041793010684657,0.011127051741567409,1.0,0,5.0,0
34766,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.003823908041691526,0.0003452383527936806,0.04316056307874978,0.0007031876386817835,23.16929920898907,1.0,0,0.062491175662813835,0.004476033076716363,1.0,0,5.0,0
c1204,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.003194840125206433,0.0003077807130615587,0.042013776524131664,0.0006602724986551647,23.80171654946622,1.0,0,0.051433607674663685,0.0034785733023764737,1.0,0,5.0,0
fe81d,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00767543368218071,0.0004964447282327594,0.04479996334427518,0.0009259262165038657,22.32144683501814,1.0,0,0.09035960564886641,0.008498306910988981,1.0,0,5.0,0
ff67b,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.006597183389689176,0.0005173288959997354,0.044605559614662234,0.0009565489296382547,22.418730056046453,1.0,0,0.09398158300155288,0.009200372293739451,1.0,0,5.0,0
34a6d,Not known,average_data,average_data,Mon May 30 15:22:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.005613451473110986,0.00043924810949490733,0.044493977754801364,0.0008451495643443986,22.47495167797376,1.0,0,0.07885995744129524,0.006734916056465429,1.0,0,5.0,0
