name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2)
dirty,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.00163,None,0.23508,None,4.253871022630594,0.829823,None,0.170177,None,11.944634,None,0.078301,None,1.0,None,1.0,None,5.0,None,5.0,None
0cd20,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0010846628627546595,None,0.051621471675133514,None,19.371784018348865,0.19886581824062743,None,0.8011341817593726,None,5.822952072183407,None,0.03884832268594486,None,1.0,None,1.0,None,5.0,None,5.0,None
19e3e,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.001429375518461562,None,0.054577779680719266,None,18.32247493119019,0.258967097196905,None,0.741032902803095,None,27.489830163679454,None,0.04168626358965589,None,1.0,None,1.0,None,5.0,None,5.0,None
484af,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.00028073560547969834,None,0.055412462183887,None,18.04648197514643,0.28807296042856956,None,0.7119270395714304,None,23.74254769031204,None,0.041192005339727354,None,1.0,None,1.0,None,5.0,None,5.0,None
714af,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0009968799293461617,None,0.05628747177791395,None,17.765942729592975,0.3076751649361692,None,0.6923248350638308,None,21.43538910364784,None,0.04180969773660506,None,1.0,None,1.0,None,5.0,None,5.0,None
34766,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0016351807943487673,None,0.05031075395877838,None,19.87646618890546,0.20435946415457523,None,0.7956405358454248,None,24.43432558432912,None,0.03894851899429238,None,1.0,None,1.0,None,5.0,None,5.0,None
c1204,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0025948944076223945,None,0.0491480306102079,None,20.346695230394502,0.19390510025635094,None,0.806094899743649,None,39.0559486108747,None,0.03545838838597502,None,1.0,None,1.0,None,5.0,None,5.0,None
fe81d,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0005301148042342607,None,0.05464759691193798,None,18.29906631780081,0.27244184200429394,None,0.727558157995706,None,19.906118768625596,None,0.04198006189075288,None,1.0,None,1.0,None,5.0,None,5.0,None
ff67b,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0008775858514838975,None,0.05491519644510492,None,18.209895707095097,0.2832283720187986,None,0.7167716279812014,None,20.282429216212147,None,0.04181287966250194,None,1.0,None,1.0,None,5.0,None,5.0,None
34a6d,Not known,average_data,average_data,Mon May 30 15:21:57 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0009863191585177677,None,0.05334795761187814,None,18.74486006147208,0.24484589155959857,None,0.7551541084404014,None,22.52606572917436,None,0.04189142434754976,None,1.0,None,1.0,None,5.0,None,5.0,None
