Time (ms),2022-04-25_multipletau_0cd20_0dot069-0dot1_1612_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1612_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1615_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1615_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1620_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1620_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1640_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1640_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1643_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1643_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1648_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1648_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1657_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1657_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1661_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1661_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1666_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1666_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1670_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1670_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1680_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1680_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1684_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1684_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1685_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1685_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1689_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1689_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1693_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1693_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1694_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1694_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1695_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1695_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-0dot1_1699_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-0dot1_1699_correlation-CH1_1 fitted model: ,
1.0,0.0738060474395752, ,0.087042436003685, ,0.0900963619351387, ,0.09733365476131439, ,0.1111404150724411, ,0.2593039870262146, ,0.09511658549308777, ,0.12122569978237152, ,0.11107508093118668, ,0.0645499899983406, ,0.08926667273044586, ,0.1002025157213211, ,0.2460535764694214, ,0.08673542737960815, ,0.08285567164421082, ,0.08482065796852112, ,0.15179531276226044, ,0.07213062047958374, ,
2.0,0.07299228012561798, ,0.08612155169248581, ,0.08918251842260361, ,0.09451808780431747, ,0.1104360967874527, ,0.2533702254295349, ,0.0937785804271698, ,0.12052073329687119, ,0.10989663004875183, ,0.06404483318328857, ,0.0885801762342453, ,0.09884743392467499, ,0.2405400574207306, ,0.08533675223588943, ,0.08230052143335342, ,0.08417046815156937, ,0.14798419177532196, ,0.07161929458379745, ,
3.0,0.07218334823846817, ,0.08524245768785477, ,0.08830907940864563, ,0.09162884205579758, ,0.1097724512219429, ,0.24797439575195312, ,0.09248091280460358, ,0.11985674500465393, ,0.10900680720806122, ,0.06356637924909592, ,0.08797551691532135, ,0.09772788733243942, ,0.23527556657791138, ,0.08408492058515549, ,0.0817989781498909, ,0.0835619792342186, ,0.144404336810112, ,0.07112658768892288, ,
4.0,0.07140980660915375, ,0.08445350080728531, ,0.08747657388448715, ,0.0902511402964592, ,0.10914256423711777, ,0.24267715215682983, ,0.09148488938808441, ,0.11921393871307373, ,0.10819082707166672, ,0.063093401491642, ,0.08744096755981445, ,0.09660275280475616, ,0.2298065721988678, ,0.08294162154197693, ,0.08130431920289993, ,0.0829605683684349, ,0.14098875224590302, ,0.07063569128513336, ,
5.0,0.07073090970516205, ,0.08375287055969238, ,0.08667979389429092, ,0.08909657597541809, ,0.10854661464691162, ,0.23795245587825775, ,0.09048587083816528, ,0.11857925355434418, ,0.10728716850280762, ,0.06264300644397736, ,0.08695363253355026, ,0.09569387137889862, ,0.22454844415187836, ,0.08156227320432663, ,0.08081140369176865, ,0.08238017559051514, ,0.13757914304733276, ,0.07015707343816757, ,
6.0,0.07007084041833878, ,0.08308438956737518, ,0.08583419770002365, ,0.08787239342927933, ,0.10799813270568848, ,0.23349697887897491, ,0.08946370333433151, ,0.11798782646656036, ,0.10674615204334259, ,0.062205757945775986, ,0.08649645745754242, ,0.09487014263868332, ,0.21932268142700195, ,0.08022422343492508, ,0.08033303171396255, ,0.08182081580162048, ,0.13416805863380432, ,0.06967771798372269, ,
7.0,0.0694587454199791, ,0.08246050029993057, ,0.08499826490879059, ,0.08675021678209305, ,0.10745446383953094, ,0.22940926253795624, ,0.08858606964349747, ,0.11743704974651337, ,0.10623818635940552, ,0.06177235394716263, ,0.08598576486110687, ,0.09407709538936615, ,0.2153896987438202, ,0.07912462949752808, ,0.07987762242555618, ,0.08127237856388092, ,0.13084359467029572, ,0.06919804215431213, ,
8.0,0.06886738538742065, ,0.08172869682312012, ,0.08418726176023483, ,0.0856400579214096, ,0.10692119598388672, ,0.22594834864139557, ,0.08789350837469101, ,0.1168580874800682, ,0.10560346394777298, ,0.06134379655122757, ,0.08549287915229797, ,0.093173086643219, ,0.21193069219589233, ,0.07823535054922104, ,0.0794299766421318, ,0.0807703360915184, ,0.12765559554100037, ,0.06872421503067017, ,
9.0,0.06828437745571136, ,0.08101025968790054, ,0.08340428024530411, ,0.08453542739152908, ,0.10637693107128143, ,0.2229435294866562, ,0.0872146487236023, ,0.11629793047904968, ,0.10505550354719162, ,0.06093594804406166, ,0.08501981198787689, ,0.09221678972244263, ,0.20834806561470032, ,0.0773528441786766, ,0.07900132983922958, ,0.08023452013731003, ,0.12442321330308914, ,0.0682530403137207, ,
10.0,0.06777071207761765, ,0.08031608164310455, ,0.08259919285774231, ,0.08349385112524033, ,0.10586926341056824, ,0.2196185290813446, ,0.08661304414272308, ,0.11576934903860092, ,0.10452793538570404, ,0.06054652854800224, ,0.08456000685691833, ,0.09138840436935425, ,0.20502492785453796, ,0.07656577974557877, ,0.07859733700752258, ,0.07970650494098663, ,0.12154707312583923, ,0.06780393421649933, ,
