Time (ms),2022-04-25_multipletau_0cd20_0dot069-1dot0_0001_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0001_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0005_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0005_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0015_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0015_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0028_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0028_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0037_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0037_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0052_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0052_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0055_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0055_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0065_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0065_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0066_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0066_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0068_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0068_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0084_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0084_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0086_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0086_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0089_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0089_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0093_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0093_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0094_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0094_correlation-CH1_1 fitted model: ,2022-04-25_multipletau_0cd20_0dot069-1dot0_0097_correlation-CH1_1,2022-04-25_multipletau_0cd20_0dot069-1dot0_0097_correlation-CH1_1 fitted model: ,
1.0,0.08043460547924042, ,0.08791498839855194, ,0.10611070692539215, ,0.09825792163610458, ,0.1125018298625946, ,0.11544950306415558, ,0.10754706710577011, ,0.16875988245010376, ,0.1158154234290123, ,0.08868231624364853, ,0.07992444932460785, ,0.11236482113599777, ,0.1210927814245224, ,0.12633085250854492, ,0.13857002556324005, ,0.12690922617912292, ,
2.0,0.0797617956995964, ,0.08678117394447327, ,0.10517080873250961, ,0.0974017083644867, ,0.11164821684360504, ,0.11445466428995132, ,0.10594333708286285, ,0.1610994040966034, ,0.11505752056837082, ,0.08803433924913406, ,0.07915182411670685, ,0.11141149699687958, ,0.12017695605754852, ,0.12375883013010025, ,0.13761834800243378, ,0.12601864337921143, ,
3.0,0.0791676864027977, ,0.08573227375745773, ,0.10425043851137161, ,0.09662839770317078, ,0.11089612543582916, ,0.11360567808151245, ,0.10471608489751816, ,0.15381662547588348, ,0.11433963477611542, ,0.087386354804039, ,0.07847053557634354, ,0.11052452772855759, ,0.11929947137832642, ,0.12172292917966843, ,0.1368434578180313, ,0.12524323165416718, ,
4.0,0.0785711333155632, ,0.08490414172410965, ,0.10342766344547272, ,0.09589258581399918, ,0.11022387444972992, ,0.11276960372924805, ,0.10367242991924286, ,0.14829027652740479, ,0.11367341876029968, ,0.08678029477596283, ,0.0778292641043663, ,0.10977198928594589, ,0.11854582279920578, ,0.11998239159584045, ,0.13610167801380157, ,0.12445169687271118, ,
5.0,0.07799985259771347, ,0.0841224268078804, ,0.10259765386581421, ,0.09524527192115784, ,0.10954922437667847, ,0.11199118942022324, ,0.10271987318992615, ,0.14507122337818146, ,0.11303850263357162, ,0.08626104146242142, ,0.07714606821537018, ,0.10908985137939453, ,0.11781003326177597, ,0.1189008355140686, ,0.1354050636291504, ,0.12383786588907242, ,
6.0,0.07746665179729462, ,0.08330569416284561, ,0.10181732475757599, ,0.09458189457654953, ,0.10886561125516891, ,0.11126583814620972, ,0.10180965065956116, ,0.14315328001976013, ,0.11243453621864319, ,0.08567154407501221, ,0.07653031498193741, ,0.10841794312000275, ,0.11708240956068039, ,0.11777903139591217, ,0.13475702702999115, ,0.123099185526371, ,
7.0,0.07694439589977264, ,0.08262212574481964, ,0.10106512159109116, ,0.09390311688184738, ,0.10818333923816681, ,0.11052536964416504, ,0.1010226458311081, ,0.1398003250360489, ,0.11184566468000412, ,0.0851806253194809, ,0.07594285160303116, ,0.10775311291217804, ,0.11640158295631409, ,0.11618638038635254, ,0.13416288793087006, ,0.122455894947052, ,
8.0,0.07641729712486267, ,0.0818687230348587, ,0.1003628596663475, ,0.09329493343830109, ,0.10757748782634735, ,0.10975457727909088, ,0.10030320286750793, ,0.1372344195842743, ,0.11125621199607849, ,0.08464698493480682, ,0.07537587732076645, ,0.10711255669593811, ,0.11569763720035553, ,0.11511626839637756, ,0.1335999071598053, ,0.12181920558214188, ,
9.0,0.07588625699281693, ,0.08129240572452545, ,0.09972723573446274, ,0.09264934062957764, ,0.10693537443876266, ,0.10902822762727737, ,0.09966002404689789, ,0.13401025533676147, ,0.11062439531087875, ,0.08412960916757584, ,0.07479820400476456, ,0.10649290680885315, ,0.11495683342218399, ,0.11434577405452728, ,0.13302430510520935, ,0.12110880017280579, ,
10.0,0.07535611838102341, ,0.08077394217252731, ,0.09911981970071793, ,0.09206420928239822, ,0.10631188005208969, ,0.10830597579479218, ,0.09904080629348755, ,0.13127732276916504, ,0.11003352701663971, ,0.08363247662782669, ,0.07422236353158951, ,0.10592272877693176, ,0.11426729708909988, ,0.11357564479112625, ,0.1324937790632248, ,0.1203889325261116, ,
