name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2)
clean,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003227,None,0.956792,None,1.0451592404618768,0.220856,None,0.779144,None,0.011932,None,0.326119,None,1.0,None,1.0,None,5.0,None,5.0,None
0cd20,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0010438664487031346,None,0.920474590661763,None,1.086396094085621,0.19581677211051418,None,0.8041832278894858,None,0.007099832200488906,None,0.2775325775002882,None,1.0,None,1.0,None,5.0,None,5.0,None
19e3e,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006309643966720291,None,0.5427925862958368,None,1.842324352335521,0.21329357875469696,None,0.786706421245303,None,0.005758149197706576,None,0.19710686163637212,None,1.0,None,1.0,None,5.0,None,5.0,None
34a6d,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-5.1500231265766416e-05,None,0.2752455827476044,None,3.633119158598753,0.8586432434074533,None,0.14135675659254665,None,0.05219571192612294,None,7.1657518026566205,None,1.0,None,1.0,None,5.0,None,5.0,None
484af,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0073428321752258,None,0.5659399610957971,None,1.7669718852575056,0.21801018708771797,None,0.781989812912282,None,0.00677730032486559,None,0.21177118116458216,None,1.0,None,1.0,None,5.0,None,5.0,None
714af,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.010157030699582958,None,0.384005109058287,None,2.6041320191086648,0.2602745814199413,None,0.7397254185800587,None,0.0062939784927167385,None,0.16650074152427125,None,1.0,None,1.0,None,5.0,None,5.0,None
34766,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.001504121768580724,None,0.28172966449641595,None,3.549501973061561,0.8515749547711982,None,0.14842504522880184,None,0.054908018440895184,None,6.174147040236637,None,1.0,None,1.0,None,5.0,None,5.0,None
c1204,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.00259947808328187,None,0.18517608240142358,None,5.400265450222703,0.8664502345551816,None,0.13354976544481845,None,0.03335649563263923,None,10.150311267366039,None,1.0,None,1.0,None,5.0,None,5.0,None
fe81d,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.005529107656423005,None,0.6517836938106929,None,1.5342513313787267,0.20324480306634424,None,0.7967551969336557,None,0.006530606474196151,None,0.22365572315806956,None,1.0,None,1.0,None,5.0,None,5.0,None
ff67b,Not known,average_data,average_data,Mon Jun 13 14:01:01 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.007503945027873993,None,0.5232407594078918,None,1.911166097097667,0.21473242534512038,None,0.7852675746548796,None,0.004768995637254891,None,0.17891459124325518,None,1.0,None,1.0,None,5.0,None,5.0,None
