name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1)
clean,Not known,average_data,average_data,Mon Feb 20 15:13:25 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001085,0.0013748066227678936,0.924595,0.0026876611448280454,1.081554626620304,1.0,0,0.356236,0.009057514597940667,1.0,0,6.0,0,0.219515,0.007842701801774455,0.04,0
0cd20,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001226524603941126,0.001453071215302744,0.8757664522123964,0.0028748958451296765,1.1418569385408175,1.0,0,0.31645000867131945,0.00935416638193683,1.0,0,6.0,0,0.20716371867535166,0.009566376290495247,0.04,0
19e3e,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0046510002906909875,0.0010296659673800104,0.5105174592436553,0.0020751366606710834,1.9587968675577239,1.0,0,0.24717874638481224,0.0110180587798891,1.0,0,6.0,0,0.25680799164584656,0.014338619426528212,0.04,0
34a6d,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0062787231940105714,0.0011652344501628898,0.2683466975865203,0.002191386927518223,3.726522476311005,1.0,0,0.39399526077042,0.05039812282480344,1.0,0,6.0,0,0.5342375745129302,0.021569636525700715,0.04,0
484af,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005597412575553573,0.0011370978885075055,0.5357515042762349,0.0022801548137894676,1.866536989664517,1.0,0,0.2618851610133214,0.011868223937729608,1.0,0,6.0,0,0.2572354017920109,0.01432832367730488,0.04,0
714af,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0083931426002406,0.0010065146092278219,0.3594240581482006,0.0020041226468005,2.782228894615819,1.0,0,0.24896284752924444,0.018221448137125496,1.0,0,6.0,0,0.35410728927498525,0.020175861760025355,0.04,0
34766,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004586235140794814,0.0011835972063294889,0.275441138576825,0.0022377078616188937,3.6305397413287404,1.0,0,0.38615781944178806,0.046381974386088466,1.0,0,6.0,0,0.5085083462960105,0.021576503056056875,0.04,0
c1204,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0012914835825362792,0.0011388502248213083,0.18024098258904123,0.0018137653250873283,5.5481277655928665,1.0,0,2.690134366859569,0.5279385830063228,1.0,0,6.0,0,0.7634126541589681,0.0104944151344603,0.04,0
fe81d,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0037828613036425818,0.0011269333685802253,0.6176228092756104,0.0022620873047365423,1.6191111872517585,1.0,0,0.2659618623593795,0.009842544091323513,1.0,0,6.0,0,0.2304258353955091,0.0121245843413603,0.04,0
ff67b,Not known,average_data,average_data,Mon Feb 20 15:13:26 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005737809421714868,0.001024513854792041,0.48772753569631466,0.0020706365825701547,2.0503250827787047,1.0,0,0.2346704811652462,0.01152643408182871,1.0,0,6.0,0,0.2709245624057388,0.015711508090354803,0.04,0
