name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1)
1-25,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002087,0.0011330737832679863,0.652118,0.002214859934531526,1.533464802382391,1.0,0,0.357533,0.010539252768406891,1.0,0,6.0,0,0.215248,0.00914259501899816,0.04,0
26-50,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0016444214539798052,0.0018020626101980033,1.2951773435900549,0.0035318538179609726,0.7720950377560932,1.0,0,0.34684941462897056,0.008358053468538556,1.0,0,6.0,0,0.21938850977309965,0.007483326024720651,0.04,0
51-75,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008042352165911204,0.0024535974696789004,1.5132836082555694,0.004791569466468385,0.6608146645774782,1.0,0,0.35798680293559243,0.01004784313617216,1.0,0,6.0,0,0.22959771587821587,0.008515880889255483,0.04,0
76-100,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018966565947804437,0.002015134246558305,1.193363531542768,0.003939168083339033,0.8379676214063709,1.0,0,0.3563168149249479,0.010301143391431889,1.0,0,6.0,0,0.22044776230417673,0.008904579727604573,0.04,0
101-125,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0005131270420450917,0.0014554185799261915,0.9343111983555229,0.0028434833169200435,1.0703071971738065,1.0,0,0.35928446428536587,0.009487040425092508,1.0,0,6.0,0,0.21629803006972814,0.008167536431498944,0.04,0
126-150,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0011017318224640915,0.0012550299373466113,0.821038836490541,0.002453507335758044,1.217969181913992,1.0,0,0.3569570594113374,0.009276596880484407,1.0,0,6.0,0,0.21619550119694741,0.008052480667599128,0.04,0
151-175,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00102101152853451,0.001285511690586753,0.7734891965113484,0.002508394003515596,1.2928428793967368,1.0,0,0.3631488253501359,0.01023920165118893,1.0,0,6.0,0,0.2204219628325066,0.008644408994822227,0.04,0
176-200,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0004031270944152565,0.0010148200777720289,0.7137777662378892,0.0019855306055308304,1.400996286660347,1.0,0,0.35432297765221266,0.008569910904657108,1.0,0,6.0,0,0.21413875404208138,0.0075306810418571775,0.04,0
201-225,Not known,average_data,average_data,Mon Nov  7 16:35:05 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.000419943095490094,0.0010596751996703518,0.6728032845354723,0.0020735545602212826,1.4863185465725484,1.0,0,0.3542116270039716,0.009469898969890677,1.0,0,6.0,0,0.2125061266147199,0.008345526481785543,0.04,0
226-250,Not known,average_data,average_data,Mon Nov  7 16:35:06 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.000957870582885767,0.001118936060498408,0.676566855392527,0.002185331938316563,1.4780505311922578,1.0,0,0.35994815945908504,0.010126335670924665,1.0,0,6.0,0,0.21935182055488056,0.008658232413742825,0.04,0
