name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1)
clean,Not known,average_data,average_data,Mon Feb 20 15:11:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001085,None,0.924596,None,1.081553456861159,0.599564,None,0.400436,None,0.356238,None,0.356244,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21952,None,0.04,None
0cd20,Not known,average_data,average_data,Mon Feb 20 15:11:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0012265520746879144,None,0.875766516687488,None,1.1418568544757963,0.9999999929834595,None,7.016540459758858e-09,None,0.3164505240264966,None,0.33233784908657704,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20716411358195908,None,0.04,None
19e3e,Not known,average_data,average_data,Mon Feb 20 15:11:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003681439279356269,None,0.5183862935819887,None,1.929063349823771,0.9665206088957432,None,0.033479391104256795,None,0.2273696256317824,None,146.64021863413865,None,1.0,None,1.0,None,6.0,None,6.0,None,0.23605705132906385,None,0.04,None
34a6d,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.07092308822293203,None,0.3617076447133991,None,2.764663712851176,0.00010283267908389737,None,0.999897167320916,None,1837.2274806097732,None,591.0785605021796,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6834366596228381,None,0.04,None
484af,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0033059459775526268,None,0.5439181994209761,None,1.8385117487602773,0.9589967392802625,None,0.04100326071973748,None,0.2301177546044288,None,73.44957522213268,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22782347968169914,None,0.04,None
714af,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0027979529203683295,None,0.3639797632351689,None,2.747405490656072,0.08403372656218455,None,0.9159662734378154,None,11.842769627957711,None,0.15347344573226743,None,1.0,None,1.0,None,6.0,None,6.0,None,0.250246362348161,None,0.04,None
34766,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0016119921850339392,None,0.28189780634120654,None,3.5473848235257606,0.1452801067695494,None,0.8547198932304506,None,6.324532723999693,None,0.05464417237266,None,1.0,None,1.0,None,6.0,None,6.0,None,1.1472162109171791e-07,None,0.04,None
c1204,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.01073192526042932,None,0.18954250850595536,None,5.275861377389021,0.2046443697649794,None,0.7953556302350206,None,1999.99911003032,None,2.3528916681195007,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7225696315295571,None,0.04,None
fe81d,Not known,average_data,average_data,Mon Feb 20 15:11:11 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003315613882825086,None,0.6243655149869729,None,1.6016259322407718,0.0222181879747943,None,0.9777818120252058,None,177.3990063837378,None,0.253558661623558,None,1.0,None,1.0,None,6.0,None,6.0,None,0.218551517303045,None,0.04,None
ff67b,Not known,average_data,average_data,Mon Feb 20 15:11:13 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002169192400674591,None,0.49504924758625113,None,2.020001050149607,0.03839283641634594,None,0.9616071635836541,None,86.83159467062939,None,0.2076165611596757,None,1.0,None,1.0,None,6.0,None,6.0,None,0.24136048541789634,None,0.04,None
