Time (ms),2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot1_2402_correlation-CH1_1,2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot1_2402_correlation-CH1_1 fitted model: ,
1.0,0.09933529049158096,0.08862257027722603,
2.0,0.09379279613494873,0.08759304506388971,
3.0,0.09074459969997406,0.0865853943701134,
4.0,0.08767954260110855,0.08559892836620359,
5.0,0.08535192906856537,0.08463298592647464,
6.0,0.08346518874168396,0.0836869331516424,
7.0,0.08173297345638275,0.08276016198156358,
8.0,0.08022015541791916,0.08185208889194118,
9.0,0.07876244932413101,0.08096215366912596,
10.0,0.07764878123998642,0.08008981825760843,
11.0,0.07629957795143127,0.07923456567521903,
12.0,0.07537133991718292,0.07839589899144084,
13.0,0.07446326315402985,0.07757334036459214,
14.0,0.0734345018863678,0.07676643013395903,
15.0,0.07280804961919785,0.07597472596325378,
16.0,0.07193830609321594,0.07519780203204524,
18.0,0.07014835625886917,0.07368666964544669,
20.0,0.06854121387004852,0.07222992873568422,
22.0,0.06750186532735825,0.07082469458066472,
24.0,0.06653187423944473,0.06946828290786808,
26.0,0.0659051164984703,0.06815819278093253,
28.0,0.0652778148651123,0.06689209121007823,
30.0,0.0644458457827568,0.06566779928713065,
32.0,0.06310123205184937,0.06448327967179553,
36.0,0.0617307648062706,0.0622260490281617,
40.0,0.06079333648085594,0.060106527781193006,
44.0,0.058878447860479355,0.058112486879623934,
48.0,0.05696344003081322,0.05623310361660118,
52.0,0.05554455146193504,0.05445876511692472,
56.0,0.054340723901987076,0.052780903879637575,
60.0,0.05250190570950508,0.05119185943704227,
64.0,0.05094106122851372,0.04968476141629413,
72.0,0.047923777252435684,0.04689229242214671,
80.0,0.04545547068119049,0.04436090845822746,
88.0,0.04471983015537262,0.04205562913216028,
96.0,0.04402239993214607,0.03994745583982497,
104.0,0.042634014040231705,0.03801214554989217,
112.0,0.04130949452519417,0.03622927434524869,
120.0,0.039990875869989395,0.034581513866393555,
128.0,0.039461471140384674,0.033054066248437194,
144.0,0.03754304349422455,0.03031098770359264,
160.0,0.03483221307396889,0.027917443197162654,
176.0,0.03059655800461769,0.025810625749822014,
192.0,0.027930939570069313,0.02394192555472226,
208.0,0.024550655856728554,0.022273133054855187,
224.0,0.019872821867465973,0.020773798700112343,
240.0,0.01775781810283661,0.0194193581537324,
256.0,0.016418451443314552,0.018189775979248573,
288.0,0.014569257386028767,0.01604195565924321,
320.0,0.0134518938139081,0.014228483286193194,
352.0,0.010673245415091515,0.012676925496041474,
384.0,0.006843226961791515,0.011334362466085848,
416.0,0.0047600157558918,0.010161231375074267,
448.0,0.0022019892930984497,0.009127362387313227,
480.0,0.0019271898781880736,0.008209347242199527,
512.0,-0.00180045107845217,0.007388745525076259,
576.0,-0.005423994269222021,0.0059837112170404855,
640.0,-0.0022057085298001766,0.0048246582940626274,
704.0,-0.0007759007276035845,0.003852189650297575,
768.0,0.0020638122223317623,0.003024607081764486,
832.0,0.003337735077366233,0.0023117760203890825,
896.0,0.0007613362977281213,0.001691376926257546,
960.0,0.0001672557118581608,0.001146526125377181,
1024.0,-0.002381368540227413,0.0006642159225249168,
1152.0,-0.0035429701674729586,-0.00015141998039124287,
1280.0,-0.005388384684920311,-0.000814770703991218,
1408.0,-0.0052579608745872974,-0.0013648438763448761,
1536.0,-0.008448398672044277,-0.0018283728115426473,
1664.0,-0.008767688646912575,-0.0022242922810389414,
1792.0,-0.005406543612480164,-0.0025663889239035892,
1920.0,-0.0049976808950304985,-0.002864939532056402,
2048.0,-0.003594771958887577,-0.0031277611510486967,
2304.0,0.00034551267162896693,-0.003569130468175439,
2560.0,-0.0044278246350586414,-0.003925260252362202,
2816.0,0.0001000984339043498,-0.004218668918451621,
3072.0,0.004792909137904644,-0.004464584995582773,
3328.0,-0.001865608268417418,-0.0046736761996345865,
3584.0,-0.0008787550032138824,-0.004853637905153365,
3840.0,-0.00217816443182528,-0.005010160957870216,
4096.0,-0.0008975618402473629,-0.005147544456446604,
4608.0,-0.001680493471212685,-0.005377405045410673,
5120.0,-0.004014468751847744,-0.005562097457957162,
5632.0,0.005445804912596941,-0.005713744137211459,
6144.0,-0.0020954133942723274,-0.005840485770798285,
6656.0,-0.007290414534509182,-0.005947992050816747,
7168.0,-0.0013229907490313053,-0.006040333093482891,
7680.0,-0.00021088104404043406,-0.006120506378482778,
8192.0,-0.0072317481972277164, ,
9216.0,-0.003715606639161706, ,
10240.0,0.004723238758742809, ,
11264.0,-0.014241616241633892, ,
12288.0,0.0014433182077482343, ,
13312.0,0.03198450058698654, ,
14336.0,-0.003108375705778599, ,
