name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
cutandshift,Not known,average_data,average_data,Tue May 17 15:03:03 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000129,6.467111564790846e-06,0.024563,7.385447399369926e-05,40.71163945772096,1.0,0,3.618095,0.02154854851126317,1.0,0
delete,Not known,average_data,average_data,Tue May 17 15:03:03 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.036512545497170756,0.004254657625565655,0.34852992459256565,0.004447017691173822,2.869194090490245,1.0,0,362.7999576272499,20.11777339455579,1.0,0
