Time (ms),2022-05-17_multipletau_labthresh-0dot04_cutandshift_3dot0-0dot01_0507_correlation-CH1_1,2022-05-17_multipletau_labthresh-0dot04_cutandshift_3dot0-0dot01_0507_correlation-CH1_1 fitted model: ,
1.0,0.027958618476986885,0.02818170828774661,
2.0,0.023437801748514175,0.023471465199395056,
3.0,0.020114287734031677,0.020108686663792466,
4.0,0.017742959782481194,0.01758752135420063,
5.0,0.015782728791236877,0.015627159088857097,
6.0,0.014233560301363468,0.014059211922731721,
7.0,0.012902483344078064,0.012776572534957802,
8.0,0.011955144815146923,0.011707862042537813,
9.0,0.010937236249446869,0.010803679057356885,
10.0,0.010172858834266663,0.010028745682366346,
11.0,0.009614933282136917,0.009357196939132853,
12.0,0.00903703086078167,0.008769637624600889,
13.0,0.008398186415433884,0.008251238458103743,
14.0,0.007868611253798008,0.007790467154037337,
15.0,0.007497522979974747,0.007378220392665121,
16.0,0.007162175606936216,0.007007216313422065,
18.0,0.006363512948155403,0.0063664312607531635,
20.0,0.00568140996620059,0.005832482586282494,
22.0,0.0050975666381418705,0.005380707458537,
24.0,0.0043804943561553955,0.004993491767447023,
26.0,0.00410406943410635,0.004657919866484831,
28.0,0.0037308770697563887,0.004364305902056817,
30.0,0.0033560888841748238,0.004105243630383467,
32.0,0.0032781169284135103,0.003874973038926319,
36.0,0.0031186379492282867,0.0034835281166911932,
40.0,0.002850528573617339,0.003163269125228583,
44.0,0.0026877194177359343,0.0028963963438807666,
48.0,0.0026159300468862057,0.0026705878089285104,
52.0,0.0025431066751480103,0.0024770426667397173,
56.0,0.0023334575816988945,0.0023093072995745627,
60.0,0.0021908388007432222,0.0021625417142801984,
64.0,0.0018675776664167643,0.0020330448858744323,
72.0,0.0015963910846039653,0.0018149496632168193,
80.0,0.0013088254490867257,0.001638400706430288,
88.0,0.00173840275965631,0.0014925588304527714,
96.0,0.0017628746572881937,0.001370053692331884,
104.0,0.0013864197535440326,0.0012656989310079257,
112.0,0.0008206464699469507,0.0011757390134169688,
120.0,0.0006230048602446914,0.0010973876445690212,
128.0,0.0010770874796435237,0.0010285340396108311,
144.0,0.0007711798534728587,0.0009131590461593792,
160.0,0.0006973299896344543,0.0008202974452155027,
176.0,0.0012371847406029701,0.0007439453741989112,
192.0,0.0018903195159509778,0.0006800595027944727,
208.0,0.0013285287423059344,0.0006258171789832718,
224.0,0.0011550605995580554,0.0005791881044649322,
240.0,0.0002208122896263376,0.0005386745372561289,
256.0,0.0008862027316354215,0.0005031474227051127,
288.0,0.0012039985740557313,0.0004437736901366555,
320.0,0.001296252477914095,0.0003961284183524522,
352.0,0.0010198148665949702,0.0003570487987792748,
384.0,0.00045394658809527755,0.0003244154470920106,
416.0,0.0002770124119706452,0.00029675489999797674,
448.0,0.0007909467676654458,0.00027301096620663333,
480.0,0.0009133659186773002,0.00025240678278324214,
512.0,0.0007460141205228865,0.00023435820023951382,
576.0,0.0008564675226807594,0.00020423582828767465,
640.0,0.0015126664657145739,0.00018010059280769295,
704.0,-1.338343008683296e-05,0.00016032884354551892,
768.0,-0.00010160657984670252,0.0001438353488563787,
832.0,0.00036995127447880805,0.00012986720030461026,
896.0,0.0001316425477853045,0.00011788565215404027,
960.0,9.318863158114254e-05,0.0001074950293715189,
1024.0,0.0009347358718514442,9.839819162123524e-05,
1152.0,-0.0001486762339482084,8.322632587994703e-05,
1280.0,0.00025673891650512815,7.10794009819043e-05,
1408.0,3.8360107282642275e-05,6.113476503831253e-05,
1536.0,0.0005219397717155516,5.284327275469381e-05,
1664.0,-0.0008023944101296365,4.5824342303370585e-05,
1792.0,-0.0007801922620274127,3.980588787177014e-05,
1920.0,-0.0010546296834945679,3.4588229348080785e-05,
2048.0,-6.600507185794413e-05,3.0021509550455598e-05,
2304.0,-0.0007189231691882014,2.2407677439335996e-05,
2560.0,-0.0004988830769434571,1.631424131752054e-05,
2816.0,-0.00010646963346516714,1.1327134612207173e-05,
3072.0,-0.0006420796271413565,7.1701338501249e-06,
3328.0,-0.0005539541598409414,3.6519055873743112e-06,
3584.0,6.093766933190636e-05,6.357222672791508e-07,
3840.0,-0.00014257342263590544,-1.9787208426769515e-06,
4096.0,-0.00021994506823830307,-4.2666767030976875e-06,
4608.0,-0.0005934557411819696,-8.08059647790448e-06,
5120.0,-0.00016054687148425728,-1.1132326458676286e-05,
5632.0,0.0003321551776025444,-1.362958938093757e-05,
6144.0,7.843253843020648e-05,-1.5710912019485043e-05,
6656.0,0.0003779141406994313,-1.747222307002554e-05,
7168.0,0.00021215695596765727,-1.8982058282365844e-05,
7680.0,-0.0006602992070838809,-2.0290686699505826e-05,
8192.0,-0.0006983978091739118, ,
