name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-07-14_multipletau_40-cuts_0dot2_0013_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.004087877167851528,0.0006900871334667604,0.0900011638615875,0.0013852027037532598,11.110967426353472,0.0900011638615875,1.0,0,56.88963677063355,3.3818154823308006,1.0,0,1.0,1.0,0.7553191489361702
2022-07-14_multipletau_40-cuts_0dot2_0014_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0024988179095398744,0.0006652933873527479,0.07361750216389665,0.001615890059865009,13.583726296141817,0.07361750216389665,1.0,0,39.5238914542338,3.080947226932972,1.0,0,1.0,1.0,0.7978723404255319
2022-07-14_multipletau_40-cuts_0dot2_0015_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0029329623147577033,0.0004237952120496538,0.06984109170251529,0.0012769312954278957,14.318218338559927,0.06984109170251529,1.0,0,27.026229584529826,1.5902673074834144,1.0,0,1.0,1.0,0.6808510638297872
2022-07-14_multipletau_40-cuts_0dot2_0016_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0021026019850839406,0.0004265256763235926,0.061312134316641655,0.0010876075034862633,16.30998514642435,0.061312134316641655,1.0,0,36.19068312502902,2.230112091251864,1.0,0,1.0,1.0,0.723404255319149
2022-07-14_multipletau_40-cuts_0dot2_0017_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0037800306032036435,0.0005920978750738909,0.06924918805577054,0.0012623317577866934,14.440602526554388,0.06924918805577054,1.0,0,50.51148702092939,3.465112578231248,1.0,0,1.0,1.0,0.7127659574468085
2022-07-14_multipletau_40-cuts_0dot2_0018_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.003241971355197548,0.0005795669298726647,0.076675283233893,0.0013220699256409974,13.042012468992969,0.076675283233893,1.0,0,44.394364916832245,2.7960834321596155,1.0,0,1.0,1.0,0.7127659574468085
2022-07-14_multipletau_40-cuts_0dot2_0019_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.002581534222039439,0.0005440144292071748,0.07511280689947006,0.0012840546837660444,13.313308892029374,0.07511280689947006,1.0,0,41.65764096668003,2.5619200071273576,1.0,0,1.0,1.0,0.776595744680851
2022-07-14_multipletau_40-cuts_0dot2_0020_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.00367616753868949,0.0005745664107852563,0.07418532205846486,0.0013802913687775958,13.47975545906383,0.07418532205846486,1.0,0,40.3295769080384,2.6779455955547133,1.0,0,1.0,1.0,0.723404255319149
2022-07-14_multipletau_40-cuts_0dot2_0021_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.002552942978912731,0.0003974300063064817,0.06161180858169221,0.0011753093646733703,16.230654853672764,0.06161180858169221,1.0,0,27.903380944772348,1.727944207972369,1.0,0,1.0,1.0,0.7446808510638298
2022-07-14_multipletau_40-cuts_0dot2_0022_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0024303731519069727,0.0004740324359588858,0.0738114581516767,0.0012060318505359429,13.548032040568543,0.0738114581516767,1.0,0,36.33559164013495,2.0645676564128794,1.0,0,1.0,1.0,0.7659574468085106
