name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000826,None,0.066789,None,14.972525415861893,0.137723,None,0.862277,None,37.868095,None,10.811025,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005489603701973822,None,0.07983762559953379,None,12.525422599815386,0.18636378987418212,None,0.8136362101258179,None,808.2952482858908,None,16.039281965500795,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005606402514078179,None,0.08109237396563164,None,12.33161579933296,0.20694588174134987,None,0.7930541182586501,None,759.709634140217,None,14.232006820034588,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000784395733384402,None,0.06765413973636908,None,14.78106149744487,0.6862004289157222,None,0.3137995710842778,None,17.678858595000452,None,7.121290128279188,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0010665562324365663,None,0.06773487256925734,None,14.763444029181914,0.08838978261858266,None,0.9116102173814173,None,156.27633649331213,None,10.843999816092943,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.006491684250956142,None,0.08682767683595172,None,11.51706502397104,0.3035024126216669,None,0.6964975873783331,None,624.9525048698492,None,11.923869386343577,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.009481277972285707,None,0.08689412712049462,None,11.508257613466983,0.30167665660986764,None,0.6983233433901324,None,1158.5327807744293,None,12.341439027873266,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0007707406214635393,None,0.06373293853835467,None,15.690473763393117,0.11392963042583598,None,0.8860703695741641,None,41.99433080629827,None,10.562578956633477,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0013871134352653192,None,0.07152141405269974,None,13.98182646756902,0.1927243874478835,None,0.8072756125521166,None,117.20612048354403,None,9.666024021664658,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 18:34:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.04259554305921187,None,0.6539441074179332,None,1.5291826757923577,0.4540354381893521,None,0.5459645618106479,None,284.9039188639652,None,47.233404134363354,None,1.0,None,1.0,None
