name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000648,3.820155870822731e-05,0.065318,0.00017290599951599932,15.309715545485165,1.0,0,13.338034,0.09446608026717673,1.0,0
19e3e,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0004618539684796419,0.0003847105208127834,0.06853761487711577,0.001082902499130628,14.590528161695529,1.0,0,28.99824646360401,1.5127323263564523,1.0,0
34a6d,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-4.287626011312273e-05,0.00043362484159944337,0.068018583966964,0.0012323214211490206,14.70186442701734,1.0,0,28.528792227787072,1.6990320612036258,1.0,0
484af,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0006905583871179566,3.4377715984475545e-05,0.06617368655025936,0.00015075202350841953,15.111746860899057,1.0,0,14.021030031588207,0.08659642182538367,1.0,0
714af,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00027097176064483364,0.00010450131412961168,0.06432474665403001,0.00045581749683154494,15.546116417348516,1.0,0,14.140050420809676,0.2722548421566224,1.0,0
34766,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.000572588792888018,0.0006632682825059438,0.06682988179630958,0.0015247879805499534,14.963366283482205,1.0,0,41.45313843186257,3.4231618071675665,1.0,0
c1204,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,0.0007930585057289719,0.0007265468465230347,0.06403913748473296,0.0017052123486983226,15.615450789580072,1.0,0,39.91774901994631,3.811583520252666,1.0,0
fe81d,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0005893264365147699,3.458502995741929e-05,0.062298758183506164,0.00016054332138508583,16.05168432177118,1.0,0,12.818821008676897,0.08746686343979505,1.0,0
ff67b,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00013130360363378113,0.0001862101072300695,0.06479807566148757,0.0007109778791835647,15.432557059628012,1.0,0,17.49453276118274,0.5523044123249287,1.0,0
dirty,Not known,average_data,average_data,Thu May 12 18:42:56 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.027363538414533428,0.0021162700185960925,0.6148370594291455,0.0030643787582875105,1.6264471776123333,1.0,0,110.38912387171486,2.3880096697659146,1.0,0
