name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
clean,Not known,average_data,average_data,Fri May 27 17:10:53 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,-0.000128,0.00019189991713005613,0.070261,0.0004385549153213404,14.232646845333825,1.0,0,0.041351,0.0010814454074447137,1.0,0,5.0,0
dirty,Not known,average_data,average_data,Fri May 27 17:10:53 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00956,0.0023196544171695385,0.213462,0.002486409576401353,4.684674555658618,1.0,0,7.354833,0.3836491410674184,1.0,0,5.0,0
