name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2)
clean,Not known,average_data,average_data,Fri May 27 17:05:24 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.000754,None,0.073882,None,13.535096505238082,0.623618,None,0.376382,None,0.018314,None,0.127946,None,1.0,None,1.0,None,5.0,None,5.0,None
dirty,Not known,average_data,average_data,Fri May 27 17:05:24 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.001629,None,0.235079,None,4.253889118126247,0.82982,None,0.17018,None,11.94489,None,0.078313,None,1.0,None,1.0,None,5.0,None,5.0,None
