,TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_CH2_BIN1.0
5370,13.0,8.0,6
5371,8.0,15.0,6
5372,12.0,15.0,7
5373,15.0,19.0,9
5374,31.0,37.0,12
5375,11.0,18.0,7
5376,7.0,9.0,2
5377,13.0,6.0,10
5378,16.0,8.0,9
5379,9.0,13.0,5
5380,6.0,16.0,18
5381,7.0,8.0,12
5382,9.0,13.0,20
5383,8.0,9.0,46
5384,7.0,7.0,17
5385,5.0,25.0,10
5386,8.0,34.0,12
5387,5.0,49.0,5
5388,5.0,16.0,3
5389,15.0,10.0,3
5390,12.0,7.0,6
5391,5.0,8.0,11
5392,9.0,6.0,6
5393,11.0,8.0,3
5394,7.0,6.0,6
5395,2.0,8.0,9
5396,5.0,18.0,6
5397,8.0,10.0,7
5398,3.0,8.0,4
5399,17.0,11.0,6
5400,14.0,58.0,12
5401,13.0,25.0,2
5402,11.0,5.0,3
5403,6.0,11.0,4
5404,12.0,11.0,19
5405,17.0,9.0,15
5406,15.0,14.0,24
5407,14.0,17.0,6
5408,12.0,6.0,11
5409,7.0,9.0,10
5410,13.0,5.0,2
5411,9.0,10.0,9
5412,9.0,14.0,12
5413,6.0,13.0,6
5414,5.0,8.0,5
5415,12.0,13.0,9
5416,9.0,5.0,28
5417,3.0,4.0,67
5418,15.0,4.0,21
5419,18.0,19.0,47
5420,14.0,62.0,30
5421,13.0,12.0,6
5422,6.0,11.0,10
5423,8.0,25.0,7
5424,7.0,11.0,11
5425,7.0,19.0,4
5426,7.0,10.0,14
5427,7.0,25.0,12
5428,9.0,17.0,17
5429,12.0,12.0,9
5430,21.0,12.0,12
5431,8.0,16.0,8
5432,8.0,13.0,20
5433,6.0,14.0,16
5434,10.0,9.0,10
5435,10.0,19.0,12
5436,11.0,48.0,31
5437,12.0,12.0,22
5438,8.0,6.0,14
5439,14.0,8.0,14
5440,31.0,11.0,7
5441,23.0,8.0,14
5442,9.0,11.0,11
5443,20.0,11.0,10
5444,18.0,12.0,28
5445,16.0,7.0,13
5446,39.0,13.0,8
5447,56.0,18.0,10
5448,43.0,7.0,9
5449,16.0,25.0,7
5450,11.0,17.0,20
5451,27.0,12.0,14
5452,13.0,19.0,8
5453,9.0,15.0,15
5454,8.0,12.0,30
5455,12.0,6.0,28
5456,11.0,15.0,23
5457,24.0,12.0,14
5458,25.0,9.0,13
5459,13.0,16.0,14
5460,11.0,12.0,10
5461,13.0,13.0,36
5462,14.0,11.0,7
5463,8.0,9.0,5
5464,8.0,4.0,4
5465,12.0,7.0,5
5466,8.0,6.0,8
5467,8.0,2.0,11
5468,13.0,9.0,12
5469,6.0,2.0,13
5470,9.0,5.0,25
5471,11.0,2.0,10
5472,9.0,9.0,10
5473,29.0,7.0,11
5474,7.0,9.0,7
5475,12.0,5.0,10
5476,6.0,9.0,11
5477,8.0,12.0,18
5478,12.0,6.0,17
5479,5.0,8.0,18
5480,41.0,6.0,10
5481,14.0,9.0,9
5482,7.0,9.0,10
5483,24.0,6.0,13
5484,17.0,10.0,17
5485,10.0,14.0,10
5486,5.0,24.0,10
5487,10.0,15.0,11
5488,13.0,14.0,4
5489,7.0,16.0,13
5490,5.0,19.0,16
5491,6.0,10.0,14
5492,9.0,9.0,17
5493,9.0,5.0,16
5494,7.0,15.0,10
5495,10.0,27.0,13
5496,6.0,13.0,7
5497,10.0,14.0,6
5498,9.0,7.0,13
5499,10.0,10.0,48
5500,17.0,7.0,20
5501,45.0,12.0,14
5502,30.0,10.0,22
5503,8.0,6.0,22
5504,11.0,10.0,21
5505,9.0,15.0,9
5506,9.0,25.0,16
5507,11.0,11.0,12
5508,5.0,18.0,13
5509,28.0,24.0,12
5510,19.0,8.0,12
5511,11.0,5.0,10
5512,9.0,9.0,7
5513,8.0,30.0,12
5514,12.0,8.0,7
5515,12.0,13.0,12
5516,8.0,10.0,12
5517,7.0,8.0,11
5518,12.0,8.0,12
5519,14.0,19.0,4
5520,9.0,21.0,12
5521,11.0,24.0,18
5522,19.0,8.0,13
5523,8.0,21.0,11
5524,14.0,40.0,17
5525,14.0,27.0,12
5526,17.0,18.0,12
5527,14.0,8.0,27
5528,16.0,13.0,36
5529,5.0,6.0,13
5530,9.0,7.0,6
5531,6.0,6.0,5
5532,11.0,9.0,7
5533,5.0,11.0,9
5534,4.0,10.0,20
5535,5.0,12.0,7
5536,10.0,13.0,9
5537,6.0,15.0,12
5538,8.0,11.0,8
5539,26.0,6.0,6
5540,29.0,17.0,12
5541,29.0,10.0,47
5542,19.0,22.0,32
5543,12.0,12.0,10
5544,34.0,20.0,26
5545,14.0,28.0,56
5546,13.0,13.0,28
5547,17.0,17.0,11
5548,26.0,16.0,19
5549,20.0,5.0,15
5550,21.0,15.0,10
5551,9.0,34.0,10
5552,19.0,11.0,10
5553,13.0,7.0,8
5554,6.0,13.0,9
5555,7.0,5.0,8
5556,9.0,6.0,10
5557,14.0,7.0,9
5558,12.0,9.0,4
5559,9.0,6.0,6
5560,9.0,4.0,3
5561,6.0,6.0,8
5562,12.0,6.0,6
5563,14.0,3.0,8
5564,10.0,13.0,19
5565,9.0,12.0,17
5566,19.0,14.0,7
5567,17.0,14.0,6
5568,15.0,6.0,16
5569,20.0,4.0,12
5570,14.0,10.0,5
5571,23.0,8.0,7
5572,60.0,7.0,6
5573,31.0,16.0,8
5574,26.0,11.0,6
5575,26.0,15.0,25
5576,35.0,11.0,8
5577,19.0,28.0,6
5578,11.0,29.0,7
5579,28.0,37.0,8
5580,19.0,10.0,13
5581,49.0,15.0,23
5582,38.0,54.0,12
5583,12.0,20.0,12
5584,25.0,14.0,14
5585,34.0,15.0,7
5586,22.0,6.0,20
5587,18.0,8.0,14
5588,14.0,13.0,11
5589,43.0,5.0,10
5590,45.0,15.0,8
5591,37.0,12.0,9
5592,11.0,9.0,20
5593,14.0,13.0,12
5594,14.0,27.0,6
5595,26.0,19.0,38
5596,13.0,10.0,50
5597,27.0,11.0,21
5598,27.0,11.0,34
5599,23.0,14.0,21
5600,15.0,16.0,53
5601,23.0,6.0,36
5602,13.0,14.0,7
5603,10.0,11.0,21
5604,12.0,12.0,14
5605,8.0,13.0,8
5606,5.0,8.0,18
5607,8.0,8.0,48
5608,12.0,13.0,26
5609,5.0,7.0,15
5610,6.0,11.0,5
5611,5.0,6.0,12
5612,10.0,8.0,19
5613,11.0,22.0,18
5614,7.0,11.0,8
5615,10.0,10.0,4
5616,19.0,9.0,6
5617,13.0,12.0,9
5618,8.0,36.0,11
5619,20.0,20.0,13
5620,5.0,20.0,22
5621,17.0,21.0,28
5622,13.0,36.0,14
5623,21.0,11.0,24
5624,19.0,16.0,28
5625,7.0,13.0,20
5626,16.0,25.0,25
5627,18.0,17.0,14
5628,14.0,14.0,35
5629,4.0,6.0,9
5630,10.0,11.0,6
5631,3.0,16.0,11
5632,12.0,13.0,9
5633,17.0,7.0,4
5634,12.0,8.0,9
5635,12.0,7.0,8
5636,10.0,6.0,13
5637,10.0,16.0,11
5638,20.0,8.0,2
5639,8.0,11.0,9
5640,4.0,15.0,7
5641,2.0,6.0,9
5642,3.0,2.0,21
5643,6.0,7.0,10
5644,7.0,24.0,10
5645,5.0,9.0,6
5646,8.0,8.0,8
5647,9.0,7.0,8
5648,4.0,13.0,9
5649,6.0,9.0,4
5650,34.0,9.0,13
5651,8.0,9.0,14
5652,6.0,15.0,16
5653,5.0,11.0,11
5654,5.0,9.0,61
5655,3.0,11.0,35
5656,9.0,10.0,11
5657,5.0,9.0,10
5658,72.0,12.0,6
5659,10.0,15.0,12
5660,5.0,15.0,13
5661,15.0,8.0,11
5662,16.0,13.0,5
5663,32.0,12.0,15
5664,28.0,25.0,9
5665,25.0,16.0,6
5666,13.0,14.0,7
5667,40.0,35.0,15
5668,13.0,28.0,22
5669,7.0,16.0,17
5670,16.0,7.0,23
5671,38.0,8.0,12
5672,26.0,12.0,10
5673,20.0,9.0,28
5674,40.0,6.0,13
5675,36.0,7.0,11
5676,12.0,20.0,28
5677,34.0,29.0,30
5678,34.0,33.0,33
5679,29.0,38.0,46
5680,16.0,21.0,19
5681,12.0,26.0,23
5682,21.0,15.0,16
5683,16.0,20.0,46
5684,11.0,27.0,34
5685,14.0,17.0,11
5686,10.0,45.0,17
5687,9.0,17.0,9
5688,11.0,8.0,19
5689,7.0,29.0,23
5690,13.0,14.0,30
5691,14.0,8.0,39
5692,14.0,13.0,25
5693,8.0,8.0,17
5694,8.0,8.0,19
5695,13.0,14.0,32
5696,23.0,5.0,51
5697,14.0,4.0,38
5698,4.0,7.0,31
5699,5.0,12.0,27
5700,7.0,10.0,13
5701,8.0,5.0,20
5702,6.0,7.0,43
5703,18.0,9.0,38
5704,13.0,12.0,18
5705,9.0,26.0,36
5706,11.0,4.0,34
5707,9.0,70.0,33
5708,8.0,16.0,39
5709,27.0,11.0,21
5710,16.0,5.0,23
5711,19.0,4.0,13
5712,26.0,14.0,36
5713,8.0,17.0,34
5714,9.0,8.0,17
5715,7.0,24.0,9
5716,10.0,16.0,63
5717,15.0,41.0,45
5718,8.0,16.0,34
5719,7.0,22.0,26
5720,14.0,26.0,34
5721,11.0,24.0,58
5722,16.0,4.0,40
5723,15.0,11.0,21
5724,20.0,19.0,21
5725,17.0,13.0,23
5726,7.0,10.0,23
5727,19.0,13.0,14
5728,17.0,13.0,15
5729,6.0,13.0,9
5730,10.0,10.0,12
5731,10.0,9.0,14
5732,18.0,14.0,28
5733,10.0,12.0,19
5734,9.0,23.0,9
5735,14.0,12.0,8
5736,8.0,9.0,10
5737,7.0,15.0,11
5738,6.0,11.0,10
5739,20.0,4.0,23
5740,16.0,8.0,6
5741,39.0,15.0,11
5742,36.0,26.0,10
5743,14.0,24.0,5
5744,26.0,20.0,9
5745,17.0,38.0,24
5746,9.0,26.0,21
5747,8.0,32.0,11
5748,7.0,13.0,8
5749,13.0,22.0,7
5750,17.0,43.0,9
5751,11.0,70.0,14
5752,5.0,55.0,22
5753,10.0,28.0,16
5754,12.0,35.0,18
5755,7.0,33.0,49
5756,4.0,33.0,42
5757,3.0,62.0,26
5758,9.0,50.0,12
5759,16.0,36.0,37
5760,20.0,45.0,40
5761,14.0,39.0,27
5762,12.0,25.0,18
5763,6.0,30.0,7
5764,7.0,17.0,14
5765,5.0,18.0,11
5766,28.0,57.0,9
5767,16.0,30.0,7
5768,13.0,14.0,11
5769,9.0,22.0,17
5770,11.0,20.0,7
5771,38.0,24.0,11
5772,39.0,6.0,12
5773,15.0,11.0,32
5774,6.0,10.0,32
5775,10.0,4.0,59
5776,21.0,6.0,68
5777,33.0,10.0,33
5778,28.0,9.0,60
5779,6.0,21.0,38
5780,6.0,24.0,38
5781,9.0,21.0,44
5782,6.0,43.0,24
5783,7.0,24.0,24
5784,6.0,9.0,16
5785,5.0,19.0,34
5786,10.0,33.0,42
5787,8.0,18.0,20
5788,13.0,11.0,32
5789,13.0,9.0,17
5790,6.0,6.0,18
5791,7.0,21.0,25
5792,3.0,11.0,10
5793,7.0,6.0,10
5794,11.0,17.0,26
5795,8.0,21.0,12
5796,17.0,17.0,7
5797,14.0,5.0,11
5798,8.0,31.0,12
5799,8.0,20.0,8
5800,10.0,32.0,13
5801,6.0,19.0,8
5802,6.0,18.0,29
5803,6.0,37.0,14
5804,6.0,22.0,50
5805,8.0,19.0,11
5806,11.0,17.0,9
5807,11.0,22.0,2
5808,10.0,6.0,20
5809,8.0,12.0,21
5810,10.0,4.0,17
5811,42.0,8.0,9
5812,49.0,7.0,7
5813,16.0,39.0,8
5814,12.0,15.0,12
5815,10.0,55.0,15
5816,9.0,31.0,14
5817,22.0,20.0,28
5818,19.0,20.0,19
5819,9.0,14.0,6
5820,7.0,10.0,35
5821,7.0,13.0,14
5822,11.0,26.0,16
5823,17.0,61.0,15
5824,11.0,15.0,22
5825,15.0,23.0,15
5826,17.0,17.0,12
5827,14.0,4.0,10
5828,15.0,4.0,40
5829,21.0,16.0,9
5830,14.0,13.0,6
5831,25.0,16.0,7
5832,8.0,14.0,20
5833,9.0,12.0,16
5834,5.0,7.0,16
5835,8.0,10.0,18
5836,3.0,10.0,18
5837,3.0,2.0,33
5838,8.0,9.0,56
5839,8.0,11.0,15
5840,7.0,16.0,11
5841,8.0,7.0,6
5842,11.0,8.0,15
5843,18.0,16.0,13
5844,9.0,9.0,8
5845,12.0,10.0,10
5846,16.0,12.0,26
5847,15.0,7.0,35
5848,21.0,8.0,14
5849,10.0,9.0,12
5850,20.0,9.0,13
5851,12.0,8.0,3
5852,11.0,9.0,10
5853,15.0,30.0,18
5854,9.0,29.0,10
5855,15.0,9.0,5
5856,17.0,15.0,9
5857,18.0,13.0,2
5858,9.0,16.0,12
5859,10.0,20.0,9
5860,14.0,14.0,12
5861,16.0,8.0,13
5862,15.0,12.0,14
5863,13.0,12.0,8
5864,11.0,11.0,4
5865,21.0,11.0,14
5866,27.0,45.0,3
5867,20.0,9.0,7
5868,15.0,22.0,7
5869,30.0,21.0,4
5870,12.0,10.0,10
5871,19.0,53.0,8
5872,13.0,44.0,5
5873,21.0,8.0,8
5874,15.0,9.0,4
5875,12.0,27.0,7
5876,6.0,16.0,8
5877,23.0,5.0,6
5878,17.0,12.0,16
5879,14.0,11.0,9
5880,13.0,16.0,12
5881,11.0,6.0,14
5882,11.0,10.0,5
5883,12.0,17.0,8
5884,11.0,17.0,12
5885,11.0,12.0,8
5886,5.0,5.0,3
5887,14.0,24.0,9
5888,5.0,17.0,5
5889,12.0,11.0,5
5890,20.0,12.0,9
5891,13.0,14.0,20
5892,13.0,7.0,12
5893,21.0,13.0,15
5894,12.0,15.0,26
5895,6.0,27.0,12
5896,18.0,14.0,24
5897,25.0,14.0,15
5898,19.0,22.0,16
5899,22.0,18.0,18
5900,15.0,20.0,8
5901,6.0,59.0,37
5902,14.0,20.0,11
5903,14.0,11.0,4
5904,17.0,7.0,14
5905,11.0,9.0,13
5906,7.0,5.0,52
5907,19.0,10.0,3
5908,11.0,15.0,9
5909,11.0,13.0,10
5910,11.0,30.0,5
5911,10.0,25.0,5
5912,15.0,18.0,6
5913,17.0,15.0,9
5914,21.0,9.0,8
5915,3.0,11.0,5
5916,7.0,17.0,8
5917,10.0,5.0,9
5918,16.0,19.0,11
5919,9.0,23.0,12
5920,11.0,19.0,11
5921,15.0,8.0,3
5922,30.0,11.0,6
5923,17.0,14.0,6
5924,8.0,12.0,9
5925,12.0,11.0,19
5926,7.0,7.0,14
5927,9.0,8.0,9
5928,18.0,17.0,5
5929,18.0,60.0,7
5930,7.0,18.0,12
5931,5.0,18.0,7
5932,8.0,9.0,11
5933,9.0,14.0,9
5934,5.0,9.0,14
5935,9.0,23.0,7
5936,10.0,23.0,13
5937,18.0,12.0,21
5938,9.0,10.0,12
5939,5.0,16.0,12
5940,10.0,9.0,10
5941,8.0,25.0,2
5942,12.0,31.0,12
5943,7.0,16.0,18
5944,9.0,31.0,16
5945,42.0,16.0,5
5946,19.0,8.0,6
5947,13.0,8.0,6
5948,31.0,8.0,14
5949,25.0,29.0,4
5950,21.0,10.0,10
5951,10.0,9.0,9
5952,9.0,10.0,5
5953,5.0,4.0,12
5954,5.0,12.0,13
5955,14.0,8.0,14
5956,16.0,16.0,16
5957,14.0,11.0,11
5958,39.0,11.0,18
5959,36.0,5.0,20
5960,10.0,10.0,8
5961,9.0,20.0,10
5962,12.0,16.0,12
5963,13.0,17.0,7
5964,11.0,18.0,19
5965,11.0,16.0,8
5966,23.0,5.0,16
5967,8.0,8.0,13
5968,10.0,13.0,16
5969,17.0,6.0,12
5970,18.0,2.0,6
5971,10.0,12.0,19
5972,4.0,6.0,13
5973,11.0,4.0,16
5974,12.0,6.0,22
5975,3.0,8.0,20
5976,10.0,11.0,24
5977,8.0,3.0,20
5978,5.0,4.0,35
5979,8.0,4.0,80
5980,7.0,15.0,26
5981,5.0,11.0,22
5982,5.0,6.0,18
5983,8.0,10.0,16
5984,4.0,23.0,16
5985,5.0,28.0,18
5986,5.0,34.0,7
5987,5.0,12.0,13
5988,9.0,13.0,13
5989,7.0,13.0,9
5990,6.0,11.0,19
5991,5.0,38.0,17
5992,4.0,38.0,15
5993,9.0,34.0,32
5994,8.0,24.0,57
5995,5.0,10.0,26
5996,6.0,31.0,12
5997,12.0,51.0,40
5998,9.0,20.0,16
5999,7.0,17.0,14
6000,20.0,13.0,9
6001,7.0,31.0,5
6002,6.0,10.0,13
6003,10.0,18.0,13
6004,9.0,14.0,5
6005,12.0,15.0,6
6006,4.0,18.0,9
6007,10.0,8.0,18
6008,10.0,10.0,12
6009,10.0,16.0,15
6010,12.0,10.0,20
6011,8.0,16.0,21
6012,6.0,15.0,31
6013,5.0,13.0,23
6014,6.0,11.0,14
6015,5.0,14.0,14
6016,5.0,9.0,9
6017,12.0,17.0,4
6018,12.0,25.0,11
6019,8.0,15.0,10
6020,5.0,14.0,11
6021,13.0,12.0,12
6022,5.0,10.0,9
6023,7.0,8.0,12
6024,3.0,9.0,6
6025,2.0,9.0,11
6026,4.0,11.0,3
6027,15.0,9.0,12
6028,3.0,17.0,7
6029,13.0,10.0,12
6030,8.0,16.0,12
6031,6.0,21.0,12
6032,14.0,17.0,8
6033,15.0,13.0,16
6034,9.0,17.0,7
6035,51.0,28.0,17
6036,17.0,19.0,12
6037,18.0,13.0,9
6038,8.0,13.0,5
6039,3.0,18.0,20
6040,4.0,16.0,11
6041,5.0,18.0,12
6042,7.0,4.0,13
6043,6.0,12.0,19
6044,5.0,16.0,14
6045,8.0,7.0,17
6046,6.0,12.0,16
6047,26.0,14.0,13
6048,7.0,18.0,16
6049,6.0,16.0,13
6050,4.0,19.0,39
6051,5.0,14.0,21
6052,16.0,12.0,12
6053,8.0,12.0,45
6054,9.0,15.0,26
6055,11.0,14.0,19
6056,14.0,19.0,10
6057,22.0,24.0,18
6058,22.0,24.0,51
6059,11.0,32.0,19
6060,14.0,12.0,5
6061,30.0,16.0,10
6062,11.0,7.0,28
6063,16.0,14.0,19
6064,13.0,14.0,16
6065,13.0,12.0,20
6066,20.0,14.0,11
6067,8.0,16.0,9
6068,8.0,22.0,17
6069,17.0,17.0,69
6070,13.0,12.0,15
6071,11.0,10.0,13
6072,31.0,15.0,20
6073,15.0,17.0,14
6074,42.0,6.0,11
6075,15.0,6.0,18
6076,8.0,7.0,56
6077,9.0,9.0,23
6078,15.0,3.0,36
6079,9.0,6.0,9
6080,18.0,4.0,17
6081,10.0,11.0,43
6082,9.0,11.0,60
6083,11.0,10.0,45
6084,15.0,11.0,31
6085,5.0,10.0,25
6086,15.0,24.0,12
6087,12.0,10.0,13
6088,8.0,14.0,30
6089,12.0,15.0,32
6090,8.0,10.0,23
6091,12.0,20.0,17
6092,12.0,17.0,13
6093,14.0,13.0,10
6094,15.0,7.0,7
6095,19.0,21.0,11
6096,26.0,9.0,10
6097,32.0,15.0,15
6098,28.0,16.0,24
6099,10.0,13.0,16
6100,18.0,5.0,12
6101,18.0,15.0,17
6102,10.0,17.0,9
6103,5.0,8.0,7
6104,14.0,26.0,16
6105,12.0,13.0,23
6106,14.0,8.0,5
6107,15.0,12.0,6
6108,19.0,6.0,8
6109,11.0,12.0,22
6110,13.0,10.0,14
6111,13.0,11.0,16
6112,17.0,7.0,7
6113,17.0,12.0,9
6114,11.0,62.0,18
6115,11.0,63.0,10
6116,14.0,48.0,24
6117,28.0,41.0,11
6118,11.0,14.0,8
6119,11.0,13.0,23
6120,9.0,38.0,11
6121,22.0,36.0,10
6122,15.0,42.0,28
6123,8.0,24.0,17
6124,5.0,29.0,11
6125,24.0,17.0,17
6126,25.0,9.0,36
6127,56.0,14.0,38
6128,40.0,8.0,39
6129,16.0,9.0,26
6130,12.0,7.0,17
6131,10.0,8.0,8
6132,8.0,6.0,4
6133,15.0,7.0,7
6134,19.0,11.0,6
6135,9.0,16.0,9
6136,6.0,14.0,14
6137,14.0,8.0,20
6138,8.0,9.0,21
6139,11.0,8.0,18
6140,10.0,15.0,13
6141,14.0,15.0,30
6142,15.0,8.0,21
6143,49.0,12.0,17
6144,12.0,22.0,13
6145,17.0,19.0,21
6146,20.0,6.0,16
6147,9.0,14.0,14
6148,27.0,19.0,16
6149,20.0,17.0,21
6150,30.0,11.0,25
6151,14.0,10.0,30
6152,10.0,11.0,53
6153,3.0,9.0,65
6154,10.0,12.0,19
6155,14.0,21.0,51
6156,15.0,9.0,32
6157,11.0,25.0,18
6158,27.0,12.0,20
6159,12.0,8.0,16
6160,23.0,9.0,28
6161,13.0,10.0,14
6162,9.0,5.0,10
6163,5.0,12.0,17
6164,6.0,5.0,20
6165,11.0,3.0,16
6166,11.0,6.0,10
6167,9.0,9.0,5
6168,16.0,19.0,14
6169,22.0,9.0,11
6170,13.0,15.0,23
6171,22.0,59.0,14
6172,16.0,21.0,15
6173,12.0,38.0,8
6174,32.0,41.0,14
6175,10.0,15.0,12
6176,11.0,18.0,9
6177,37.0,10.0,6
6178,14.0,6.0,17
6179,4.0,8.0,15
6180,11.0,3.0,20
6181,16.0,8.0,21
6182,9.0,11.0,27
6183,13.0,9.0,12
6184,8.0,7.0,15
6185,6.0,36.0,12
6186,23.0,23.0,11
6187,11.0,7.0,17
6188,11.0,17.0,11
6189,34.0,10.0,12
6190,14.0,7.0,11
6191,44.0,13.0,9
6192,28.0,5.0,17
6193,11.0,7.0,33
6194,10.0,11.0,19
6195,9.0,22.0,61
6196,7.0,19.0,15
6197,11.0,12.0,14
6198,25.0,11.0,24
6199,71.0,3.0,26
6200,36.0,4.0,64
6201,14.0,8.0,14
6202,22.0,20.0,11
6203,13.0,24.0,8
6204,9.0,20.0,8
6205,17.0,12.0,11
6206,35.0,12.0,11
6207,62.0,12.0,6
6208,23.0,16.0,6
6209,19.0,25.0,21
6210,22.0,4.0,30
6211,15.0,22.0,27
6212,18.0,28.0,28
6213,31.0,28.0,26
6214,21.0,17.0,20
6215,27.0,7.0,24
6216,10.0,52.0,21
6217,6.0,27.0,34
6218,6.0,3.0,31
6219,8.0,7.0,28
6220,11.0,12.0,22
6221,12.0,12.0,27
6222,11.0,12.0,35
6223,13.0,19.0,28
6224,10.0,14.0,26
6225,13.0,6.0,45
6226,19.0,14.0,44
6227,22.0,10.0,17
6228,9.0,16.0,15
6229,17.0,5.0,15
6230,15.0,6.0,20
6231,12.0,7.0,28
6232,17.0,7.0,23
6233,11.0,3.0,15
6234,7.0,6.0,24
6235,8.0,5.0,7
6236,9.0,24.0,8
6237,18.0,18.0,8
6238,6.0,11.0,13
6239,9.0,16.0,14
6240,16.0,7.0,8
6241,17.0,11.0,13
6242,16.0,9.0,37
6243,74.0,12.0,12
6244,38.0,11.0,11
6245,39.0,13.0,13
6246,26.0,15.0,22
6247,16.0,20.0,17
6248,8.0,12.0,11
6249,16.0,9.0,13
6250,15.0,11.0,6
6251,5.0,8.0,11
6252,17.0,9.0,9
6253,39.0,7.0,17
6254,11.0,17.0,12
6255,15.0,2.0,17
6256,18.0,14.0,15
6257,20.0,7.0,25
6258,25.0,9.0,11
6259,64.0,7.0,16
6260,28.0,8.0,6
6261,20.0,10.0,7
6262,16.0,4.0,15
6263,38.0,3.0,7
6264,33.0,6.0,7
6265,62.0,16.0,14
6266,32.0,11.0,19
6267,9.0,18.0,15
6268,5.0,29.0,16
6269,19.0,17.0,28
6270,14.0,13.0,8
6271,11.0,9.0,11
6272,33.0,9.0,22
6273,22.0,17.0,14
6274,33.0,11.0,17
6275,34.0,13.0,6
6276,22.0,20.0,10
6277,21.0,12.0,10
6278,19.0,13.0,16
6279,6.0,23.0,10
6280,11.0,32.0,11
6281,14.0,6.0,5
6282,11.0,14.0,12
6283,6.0,17.0,16
6284,9.0,5.0,17
6285,5.0,18.0,2
6286,4.0,18.0,1
6287,18.0,40.0,7
6288,9.0,24.0,2
6289,10.0,17.0,10
6290,8.0,9.0,8
6291,11.0,11.0,10
6292,10.0,13.0,8
6293,11.0,13.0,11
6294,8.0,6.0,22
6295,26.0,19.0,31
6296,19.0,9.0,46
6297,9.0,10.0,23
6298,4.0,14.0,44
6299,14.0,27.0,14
6300,6.0,18.0,14
6301,9.0,12.0,20
6302,14.0,16.0,11
6303,10.0,6.0,10
6304,12.0,10.0,10
6305,13.0,19.0,9
6306,19.0,63.0,11
6307,24.0,14.0,13
6308,18.0,14.0,13
6309,20.0,12.0,8
6310,21.0,10.0,5
6311,32.0,8.0,11
6312,17.0,15.0,11
6313,23.0,14.0,3
6314,11.0,11.0,8
6315,12.0,9.0,8
6316,10.0,12.0,7
6317,14.0,11.0,25
6318,12.0,5.0,12
6319,7.0,3.0,7
6320,10.0,8.0,6
6321,19.0,27.0,9
6322,9.0,11.0,5
6323,13.0,5.0,12
6324,12.0,11.0,27
6325,18.0,7.0,11
6326,8.0,12.0,13
6327,12.0,17.0,14
6328,6.0,14.0,24
6329,9.0,17.0,15
6330,3.0,11.0,19
6331,9.0,7.0,15
6332,8.0,17.0,12
6333,10.0,11.0,19
6334,15.0,8.0,12
6335,8.0,15.0,10
6336,8.0,11.0,10
6337,3.0,12.0,8
6338,10.0,10.0,10
6339,11.0,10.0,9
6340,7.0,14.0,11
6341,18.0,14.0,11
6342,20.0,8.0,9
6343,13.0,10.0,5
6344,14.0,4.0,10
6345,8.0,14.0,10
6346,13.0,7.0,16
6347,55.0,21.0,13
6348,44.0,36.0,7
6349,57.0,30.0,14
6350,21.0,13.0,8
6351,10.0,12.0,8
6352,9.0,14.0,6
6353,12.0,17.0,7
6354,16.0,12.0,10
6355,13.0,18.0,9
6356,30.0,21.0,6
6357,27.0,9.0,11
6358,22.0,11.0,3
6359,26.0,7.0,7
6360,9.0,6.0,4
6361,5.0,5.0,6
6362,12.0,33.0,2
6363,11.0,20.0,12
6364,9.0,12.0,7
6365,11.0,12.0,11
6366,9.0,5.0,10
6367,6.0,16.0,8
6368,8.0,9.0,13
6369,12.0,15.0,25
6370,10.0,9.0,57
6371,8.0,9.0,29
6372,7.0,8.0,24
6373,3.0,8.0,11
6374,10.0,15.0,19
6375,5.0,17.0,19
6376,11.0,8.0,8
6377,8.0,13.0,10
6378,16.0,12.0,8
6379,10.0,30.0,14
6380,5.0,71.0,8
6381,19.0,11.0,15
6382,9.0,26.0,16
6383,15.0,11.0,8
6384,11.0,7.0,15
6385,54.0,22.0,14
6386,22.0,18.0,10
6387,4.0,37.0,18
6388,6.0,8.0,15
6389,11.0,25.0,16
6390,1.0,18.0,12
6391,3.0,9.0,12
6392,9.0,5.0,20
6393,8.0,13.0,36
6394,4.0,18.0,20
6395,9.0,23.0,11
6396,5.0,12.0,9
6397,8.0,17.0,11
6398,12.0,32.0,9
6399,10.0,15.0,8
6400,6.0,12.0,9
6401,14.0,21.0,12
6402,18.0,20.0,22
6403,17.0,14.0,20
6404,11.0,9.0,62
6405,17.0,11.0,54
6406,13.0,39.0,7
6407,5.0,53.0,8
6408,9.0,10.0,6
6409,18.0,11.0,18
6410,12.0,12.0,8
6411,10.0,17.0,8
6412,22.0,13.0,5
6413,15.0,18.0,9
6414,12.0,19.0,7
6415,9.0,14.0,1
6416,16.0,14.0,8
6417,13.0,13.0,8
6418,10.0,8.0,7
6419,12.0,9.0,9
6420,21.0,18.0,3
6421,13.0,29.0,6
6422,9.0,25.0,5
6423,18.0,15.0,5
6424,3.0,17.0,16
6425,16.0,12.0,14
6426,14.0,11.0,9
6427,25.0,7.0,6
6428,12.0,17.0,11
6429,13.0,13.0,6
6430,13.0,8.0,7
6431,15.0,22.0,12
6432,7.0,28.0,5
6433,12.0,38.0,6
6434,12.0,22.0,12
6435,11.0,32.0,13
6436,12.0,43.0,10
