,TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_CH2_BIN1.0
256,15.0,4.0,32
257,11.0,5.0,27
258,9.0,13.0,13
259,3.0,7.0,29
260,8.0,13.0,22
261,7.0,9.0,9
262,8.0,10.0,8
263,16.0,9.0,5
264,4.0,12.0,10
265,10.0,7.0,11
266,13.0,6.0,28
267,16.0,12.0,30
268,12.0,17.0,25
269,19.0,5.0,6
270,14.0,8.0,10
271,13.0,10.0,11
272,40.0,10.0,20
273,27.0,6.0,25
274,44.0,10.0,7
275,44.0,16.0,14
276,27.0,17.0,14
277,25.0,24.0,35
278,11.0,10.0,20
279,12.0,11.0,15
280,19.0,6.0,10
281,9.0,15.0,37
282,12.0,16.0,51
283,6.0,17.0,50
284,18.0,8.0,33
285,18.0,10.0,19
286,4.0,7.0,18
287,7.0,7.0,69
288,8.0,7.0,14
289,4.0,5.0,17
290,4.0,7.0,17
291,6.0,7.0,14
292,12.0,20.0,28
293,9.0,12.0,18
294,20.0,7.0,22
295,5.0,10.0,20
296,13.0,4.0,17
297,7.0,13.0,24
298,7.0,7.0,21
299,4.0,8.0,2
300,7.0,12.0,3
301,9.0,8.0,14
302,9.0,10.0,15
303,6.0,11.0,16
304,8.0,8.0,26
305,6.0,12.0,7
306,4.0,10.0,27
307,7.0,14.0,43
308,8.0,20.0,12
309,8.0,16.0,7
310,4.0,21.0,9
311,16.0,10.0,5
312,9.0,8.0,7
313,12.0,11.0,5
314,9.0,37.0,6
315,17.0,15.0,9
316,23.0,8.0,12
317,12.0,17.0,5
318,12.0,42.0,9
319,10.0,30.0,5
320,10.0,34.0,3
321,11.0,21.0,3
322,20.0,58.0,5
323,11.0,58.0,7
324,9.0,48.0,7
325,12.0,24.0,12
326,11.0,17.0,12
327,13.0,20.0,15
328,14.0,7.0,13
329,36.0,20.0,9
330,32.0,17.0,21
331,6.0,39.0,6
332,12.0,15.0,17
333,15.0,11.0,29
334,31.0,17.0,20
335,10.0,17.0,19
336,19.0,11.0,17
337,7.0,15.0,4
338,6.0,14.0,14
339,10.0,8.0,11
340,10.0,5.0,7
341,9.0,10.0,7
342,12.0,13.0,8
343,15.0,9.0,22
344,6.0,10.0,25
345,12.0,16.0,14
346,8.0,9.0,17
347,9.0,5.0,6
348,2.0,6.0,9
349,10.0,5.0,11
350,4.0,7.0,4
351,5.0,9.0,12
352,5.0,16.0,15
353,6.0,16.0,14
354,7.0,30.0,4
355,5.0,34.0,8
356,5.0,32.0,15
357,3.0,10.0,31
358,4.0,15.0,21
359,2.0,14.0,19
360,4.0,15.0,26
361,13.0,11.0,34
362,9.0,10.0,18
363,13.0,11.0,21
364,6.0,21.0,18
365,5.0,11.0,13
366,8.0,13.0,16
367,9.0,8.0,39
368,10.0,14.0,12
369,13.0,9.0,16
370,3.0,13.0,21
371,9.0,9.0,30
372,8.0,19.0,13
373,11.0,16.0,14
374,8.0,7.0,21
375,7.0,7.0,16
376,3.0,9.0,16
377,14.0,32.0,25
378,9.0,29.0,12
379,9.0,14.0,4
380,10.0,23.0,1
381,6.0,17.0,6
382,11.0,12.0,9
383,3.0,22.0,18
384,8.0,26.0,15
385,22.0,49.0,10
386,9.0,20.0,7
387,10.0,12.0,17
388,5.0,62.0,2
389,9.0,13.0,7
390,11.0,17.0,3
391,16.0,12.0,2
392,13.0,16.0,9
393,7.0,16.0,13
394,31.0,11.0,17
395,7.0,7.0,23
396,13.0,5.0,21
397,16.0,10.0,17
398,16.0,34.0,11
399,10.0,20.0,8
400,11.0,36.0,11
401,15.0,44.0,9
402,7.0,43.0,13
403,14.0,10.0,18
404,19.0,16.0,25
405,20.0,9.0,50
406,5.0,38.0,34
407,7.0,82.0,16
408,9.0,40.0,6
409,15.0,10.0,17
410,3.0,12.0,35
411,10.0,10.0,37
