,DiO LUV 10uM in 20 nM AF48889_T1067s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF4885_T51s_1_CH2_BIN1.0_PREPRO,DiO LUV 10uM in 20 nM AF48899_T1187s_1_CH2_BIN1.0_PREPRO
67,0.07233642,0.023591088,0.054727715
68,0.04377844,0.027148474,0.044161472
69,0.043307703,0.018535854,0.024654565
70,0.04801506,0.026399551,0.04524519
71,0.045661382,0.026961243,0.04524519
72,0.045504473,0.023591088,0.025196424
73,0.066373765,0.012731698,0.024383636
74,0.11391809,0.015540161,0.020590626
75,0.06339244,0.037820634,0.031427797
76,0.121449865,0.029020783,0.06827418
77,0.15785344,0.04156525,0.05310214
78,0.16020712,0.029395245,0.066919535
79,0.14294681,0.034263246,0.047954485
80,0.07406245,0.023403857,0.06312653
81,0.03420681,0.018161394,0.07884042
82,0.06402008,0.0303314,0.09726361
83,0.03891417,0.024714474,0.0490382
84,0.029185627,0.02845909,0.080465995
85,0.02149694,0.023216626,0.058520727
86,0.032323867,0.0351994,0.037659172
87,0.040012553,0.038007863,0.05689515
88,0.029028716,0.033139862,0.05689515
89,0.022752237,0.01535293,0.050392848
90,0.02949945,0.020408163,0.032240584
91,0.024164444,0.019097548,0.054456785
92,0.01114075,0.011795544,0.0333243
93,0.023536796,0.025650628,0.045516122
94,0.03342225,0.03295263,0.019506909
95,0.04707359,0.025837857,0.047683556
96,0.020084733,0.03070586,0.019506909
97,0.032323867,0.029769706,0.056353293
98,0.030754747,0.02621232,0.056082364
99,0.02777342,0.025088934,0.048767272
100,0.03028401,0.011233851,0.032240584
101,0.031853132,0.021157086,0.029531293
102,0.02385062,0.03070586,0.036304526
103,0.017887965,0.009361543,0.043619614
104,0.01600502,0.010672159,0.06719046
105,0.016318845,0.013293391,0.036575455
106,0.034677546,0.02864632,0.032511514
107,0.01114075,0.012170006,0.06637768
108,0.027145771,0.018535854,0.03820103
109,0.036246665,0.025088934,0.040639393
110,0.030911658,0.020969857,0.04659984
111,0.015534285,0.047931097,0.04605798
112,0.023536796,0.023965549,0.036575455
113,0.026047388,0.02415278,0.03847196
114,0.037031226,0.03463771,0.046870768
115,0.040012553,0.032203708,0.037659172
116,0.035932843,0.029395245,0.04659984
117,0.027145771,0.040067405,0.04930913
118,0.02949945,0.032016475,0.06339745
119,0.023693709,0.011233851,0.066106744
120,0.024478268,0.009548774,0.100785695
121,0.021967676,0.041939713,0.15497155
122,0.030911658,0.027710166,0.26334327
123,0.013180606,0.026399551,0.27147114
124,0.012552958,0.047182176,0.24817123
125,0.016632669,0.03501217,0.13275535
126,0.033108424,0.04100356,0.12164725
127,0.022438413,0.035948325,0.08019507
128,0.039698727,0.020220932,0.14575996
129,0.032166954,0.018910317,0.19534002
130,0.025262827,0.019846471,0.12652397
131,0.031539306,0.033701554,0.078027636
132,0.021810764,0.027148474,0.0869683
133,0.021967676,0.011982774,0.06773232
134,0.03106857,0.02864632,0.050934706
135,0.030911658,0.038944017,0.046870768
136,0.043307703,0.02845909,0.040910322
137,0.037815787,0.040629096,0.02248713
138,0.04440609,0.040441863,0.039284747
139,0.042836968,0.022842165,0.032240584
140,0.03420681,0.029769706,0.04199404
141,0.034677546,0.035573862,0.042806827
142,0.034520634,0.029395245,0.051747493
143,0.045661382,0.032390937,0.036575455
144,0.038600344,0.03257817,0.043619614
145,0.040012553,0.029208014,0.055540502
146,0.056802135,0.031267554,0.027634786
147,0.054448456,0.03744617,0.030885939
148,0.04534756,0.043250326,0.010566242
149,0.04864271,0.022654934,0.039826605
150,0.049741097,0.011982774,0.053643998
151,0.054605365,0.029208014,0.063668385
152,0.072807156,0.041378018,0.059875373
153,0.037815787,0.02190601,0.053643998
154,0.045818295,0.026774012,0.047683556
155,0.052094776,0.04100356,0.040368464
156,0.049270358,0.047369406,0.05310214
157,0.038600344,0.053735256,0.06637768
158,0.032951515,0.05261187,0.0490382
159,0.038286522,0.06496911,0.05283121
160,0.03248078,0.06646696,0.06719046
161,0.042523146,0.043250326,0.05256028
162,0.044563,0.049054485,0.04172311
163,0.040012553,0.05055233,0.039284747
164,0.030754747,0.040816326,0.04659984
165,0.037031226,0.026961243,0.058791656
166,0.04864271,0.037820634,0.04958006
167,0.04534756,0.02845909,0.04605798
168,0.041738585,0.035948325,0.031427797
169,0.026675036,0.040441863,0.025467353
170,0.04628903,0.027148474,0.020590626
171,0.045504473,0.024714474,0.053643998
172,0.051153302,0.028084628,0.066919535
173,0.03891417,0.032390937,0.054185856
174,0.0340499,0.032390937,0.034678947
175,0.03907108,0.011421083,0.04470333
176,0.03954182,0.022467703,0.031156868
177,0.032794602,0.030518629,0.02655107
178,0.0524086,0.019846471,0.03847196
179,0.04393535,0.02190601,0.040368464
180,0.038600344,0.030144168,0.034949876
181,0.04126785,0.029582474,0.043077756
182,0.03907108,0.034263246,0.04578705
183,0.054448456,0.03070586,0.05283121
184,0.038286522,0.055982027,0.04145218
185,0.03891417,0.05017787,0.056353293
186,0.044563,0.0630968,0.04497426
187,0.037815787,0.05467141,0.07315091
188,0.037031226,0.0606628,0.094283395
189,0.03169622,0.0752668,0.1425088
190,0.037658874,0.0679648,0.1490111
191,0.036403578,0.05953941,0.15226226
192,0.038286522,0.038944017,0.1444053
193,0.053036246,0.027710166,0.22162016
194,0.050211832,0.045497097,0.3359523
195,0.035305195,0.033888783,0.13004605
196,0.045818295,0.048680022,0.19967489
197,0.036403578,0.061598953,0.1563262
198,0.04299388,0.0630968,0.11162287
199,0.02777342,0.05467141,0.10945543
200,0.023693709,0.038195096,0.1517204
201,0.04440609,0.047743868,0.164725
202,0.038443435,0.05467141,0.07965321
203,0.044249177,0.05410972,0.08154972
204,0.035932843,0.041378018,0.10186941
205,0.056802135,0.049241714,0.09888919
206,0.040954024,0.05242464,0.10837171
207,0.031225482,0.053548023,0.09211596
208,0.051310215,0.05298633,0.061771877
209,0.037345048,0.0303314,0.076672986
210,0.032323867,0.031454783,0.073963694
211,0.052251685,0.03501217,0.09509618
212,0.049270358,0.032390937,0.10972636
213,0.0524086,0.04175248,0.0712544
214,0.03201004,0.036135554,0.0758602
215,0.03514828,0.053360794,0.059333514
216,0.038600344,0.04175248,0.04605798
217,0.041424762,0.047931097,0.04930913
218,0.037658874,0.03463771,0.036304526
219,0.048171975,0.02171878,0.06393931
220,0.045190647,0.02827186,0.04985099
221,0.04628903,0.032016475,0.085884586
222,0.027302682,0.029769706,0.05256028
223,0.040012553,0.038382325,0.04497426
224,0.024164444,0.03744617,0.09888919
225,0.030127099,0.036322787,0.11216473
226,0.036089752,0.040441863,0.08425901
227,0.040326376,0.056356486,0.024654565
228,0.026988858,0.051301256,0.015984828
229,0.028557979,0.033701554,0.021403413
230,0.02949945,0.0327654,0.040097535
231,0.04158167,0.020033702,0.0222162
232,0.04534756,0.023965549,0.044161472
233,0.06480464,0.03070586,0.035220806
234,0.06041111,0.038195096,0.08154972
235,0.04126785,0.01722524,0.055811435
236,0.03985564,0.018348623,0.04497426
237,0.03483446,0.029020783,0.042535897
238,0.039227992,0.036135554,0.03549174
239,0.04377844,0.038195096,0.031698726
240,0.03750196,0.039692942,0.029802222
241,0.029028716,0.029020783,0.023570849
242,0.042523146,0.039692942,0.03820103
243,0.026831947,0.035386633,0.027092928
244,0.042366233,0.044748176,0.043348685
245,0.04613212,0.03295263,0.062313735
246,0.047858153,0.03707171,0.062855594
247,0.042523146,0.0376334,0.036575455
248,0.04126785,0.026025089,0.055540502
249,0.035932843,0.03501217,0.04958006
250,0.03514828,0.046994943,0.034678947
251,0.031539306,0.046620484,0.023570849
252,0.036403578,0.04605879,0.035220806
253,0.029656364,0.066841416,0.04524519
254,0.033736072,0.046246022,0.06800325
255,0.047858153,0.053173564,0.06827418
256,0.033265337,0.09398989,0.055811435
257,0.05586066,0.05223741,0.032240584
258,0.045661382,0.031829245,0.043619614
259,0.019457085,0.029395245,0.0379301
260,0.024949003,0.023403857,0.03847196
261,0.03106857,0.049241714,0.04145218
262,0.0340499,0.040254634,0.030073151
263,0.033265337,0.018535854,0.0444324
264,0.029813275,0.035386633,0.034408018
265,0.029028716,0.040629096,0.034949876
266,0.028557979,0.023403857,0.054185856
267,0.034677546,0.038756788,0.028176647
268,0.03436372,0.04418648,0.066106744
269,0.036874313,0.031267554,0.055269573
270,0.036089752,0.03257817,0.06637768
271,0.026831947,0.031267554,0.050392848
272,0.016632669,0.03295263,0.048225414
273,0.02949945,0.040067405,0.044161472
274,0.036089752,0.029769706,0.058520727
275,0.042680055,0.041378018,0.058520727
276,0.047858153,0.034824938,0.062313735
277,0.051310215,0.034824938,0.09482525
278,0.036089752,0.025650628,0.14928204
279,0.040169466,0.022280471,0.137903
280,0.024478268,0.03501217,0.11622866
281,0.032951515,0.029020783,0.12923327
282,0.02777342,0.051488485,0.14007044
283,0.038757257,0.063845724,0.10349499
284,0.033108424,0.025837857,0.06393931
285,0.042523146,0.0303314,0.08859388
286,0.041895498,0.036697246,0.04118125
287,0.026675036,0.053173564,0.058791656
288,0.022438413,0.047369406,0.06800325
289,0.028087243,0.06347126,0.051205635
290,0.026518123,0.05223741,0.04958006
291,0.045190647,0.036322787,0.05716608
292,0.028244155,0.03931848,0.04985099
293,0.039384905,0.03463771,0.034949876
294,0.058371253,0.061786182,0.050392848
295,0.033265337,0.039692942,0.037117314
296,0.03201004,0.040629096,0.031969655
297,0.039384905,0.025837857,0.062313735
298,0.037815787,0.03950571,0.05012192
299,0.04393535,0.03988017,0.054456785
300,0.041424762,0.04399925,0.05716608
301,0.027459595,0.048680022,0.03061501
302,0.029656364,0.051114023,0.050663777
303,0.03436372,0.03332709,0.058249798
304,0.041110937,0.036510017,0.040910322
305,0.033736072,0.042688634,0.039555676
306,0.043150794,0.043063097,0.037117314
307,0.031539306,0.019846471,0.04659984
308,0.030597834,0.018723086,0.033053372
309,0.04126785,0.02621232,0.028989434
310,0.042680055,0.022467703,0.04118125
311,0.048956536,0.023029394,0.0333243
312,0.048171975,0.023965549,0.029260363
313,0.055233013,0.027710166,0.048496343
314,0.037658874,0.031642016,0.030885939
315,0.045190647,0.09623666,0.034678947
316,0.031853132,0.22299194,0.029260363
317,0.02949945,0.18348624,0.026821999
318,0.025733564,0.1754353,0.026821999
319,0.032951515,0.109530054,0.03034408
320,0.049898006,0.06422018,0.037659172
321,0.045818295,0.10260251,0.027634786
322,0.02949945,0.106534354,0.029531293
323,0.029970186,0.1437933,0.04497426
324,0.022909148,0.07133496,0.047141697
325,0.032323867,0.083879426,0.02302899
326,0.025890475,0.11383636,0.026009211
327,0.03985564,0.15989515,0.01923598
328,0.03420681,0.09211758,0.020319697
329,0.032951515,0.20857517,0.027092928
330,0.028087243,0.154091,0.025467353
331,0.040797114,0.15502715,0.032240584
332,0.030440923,0.11327467,0.0712544
333,0.022124588,0.104100354,0.091032244
334,0.018986348,0.047369406,0.03874289
335,0.024949003,0.0351994,0.03061501
336,0.030911658,0.033701554,0.01923598
337,0.027302682,0.033701554,0.018423192
338,0.029813275,0.04999064,0.015713898
339,0.036089752,0.12244898,0.02655107
340,0.02793033,0.1535293,0.012462747
341,0.03483446,0.08481558,0.014630182
342,0.026831947,0.15128253,0.027905717
343,0.022124588,0.19584347,0.016797615
344,0.03106857,0.11308744,0.03820103
345,0.036874313,0.14192098,0.036575455
346,0.040169466,0.08968358,0.029802222
347,0.025890475,0.053360794,0.0059604445
