name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
af488_noc,Not known,average_data,average_data,Thu Aug  4 15:41:00 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,-0.000128,0.00019189979018522776,0.070261,0.0004385551574071349,14.232646845333825,1.0,0,0.041351,0.0010814374018852492,1.0,0,5.0,0
af488luv_noc,Not known,average_data,average_data,Thu Aug  4 15:41:00 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00956018962323224,0.0023196544185930977,0.21346212203561066,0.0024864095404648653,4.684671877445197,1.0,0,7.354833442722456,0.3836491414238288,1.0,0,5.0,0
af488luv_0cd20,Not known,average_data,average_data,Thu Aug  4 15:41:00 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0022446260921723526,0.00032845701623777695,0.046113389029223247,0.0006474101206155463,21.685675701828686,1.0,0,0.07127020095779185,0.004457024904097388,1.0,0,5.0,0
af488luv_thr-2,Not known,average_data,average_data,Thu Aug  4 15:41:00 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007505071899614579,0.0006050242352423948,0.045496291986384586,0.001062332495892703,21.979813218608328,1.0,0,0.12026938168985181,0.013056400939505029,1.0,0,5.0,0
