Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF48896_T1142s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF48896_T1142s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF48897_T1160s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_20 nM AF48897_T1160s_1_correlation-CH2_2 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,-0.49626361830385024, ,-0.5022970533930002, ,-0.5067902347439723, ,
8.2e-05,-0.690874816450847, ,-0.6987235416928582, ,-0.689468180267701, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,
0.000106,-0.19605550502352487, ,-0.19896269345877504, ,-0.18720726868584503, ,
0.000122,0.4735071434724416, ,0.45776442627989367, ,0.46183733977955366, ,
0.000138,0.09852077481966348, ,0.09104677034070541, ,0.1072393794259292, ,
0.000154,-0.23865929279214904, ,-0.23477013778353262, ,-0.24172101234360932, ,
0.00017,0.6360481771352848, ,0.5895214374670728, ,0.6143103335799442, ,
0.000186,-0.1484977775480908, ,-0.14911007585611125, ,-0.14562372026488202, ,
0.000218,0.19566994433867868, ,0.18071974252494138, ,0.20375044483406946, ,
0.00025,0.0505980394135328, ,0.05660269236331872, ,0.05787186569712044, ,
0.000282,0.029191853440650117, ,0.02627440412615445, ,0.038580001815673004, ,
0.000314,0.08352863958558521, ,0.07728458762772328, ,0.0808359183000984, ,
0.000346,0.16743256233042603, ,0.1438833591058597, ,0.1569948352567232, ,
0.000378,0.027757831139409328, ,0.015290376115144166, ,0.027692778281154018, ,
0.000442,0.1011542128072227, ,0.10277682998672533, ,0.09725729395225602, ,
0.000506,0.043636491801506194, ,0.03431309662777382, ,0.04279527232210567, ,
0.00057,0.10468716081684581, ,0.11295058429634608, ,0.11126072144383059, ,
0.000634,0.05557808258572661, ,0.03764433455754612, ,0.04481239787394653, ,
0.000698,0.08668355212311396, ,0.08618504405852723, ,0.0883613399946992, ,
0.000762,0.0708179478305957, ,0.06106581590813387, ,0.07055645252365794, ,
0.00089,0.06862780318341799, ,0.0680691186356841, ,0.07078920995387983, ,
0.001018,0.07621515128432321,0.06979048538765943,0.07194698667988586,0.06655804956647185,0.07651730532079881,0.0693213029752203,
0.001146,0.07164581670401682,0.06957513395414847,0.06799840569453286,0.06634101812943317,0.07093146965567132,0.06910901897956491,
0.001274,0.06917538384906785,0.06936108907738774,0.06767687256631727,0.06612538064154862,0.07010395010702308,0.0688980155126595,
0.001402,0.0709744562860295,0.06914833890988895,0.0647379484051882,0.06591112372420739,0.0680674561459742,0.06868828102970048,
0.00153,0.06926014950813175,0.0689368717469688,0.06675084508970053,0.0656982341694532,0.06473794137695221,0.06847980412424434,
0.001786,0.06894077877124594,0.06851774031732394,0.0688537886221221,0.0652765051529306,0.06868168205233283,0.06806657809950398,
0.002042,0.06914613351891541,0.06810360392652795,0.06920751750969134,0.0648600912396303,0.06806429197994768,0.06765824887647776,
0.002298,0.06820426230783316,0.06769437386418398,0.06591490527526878,0.0644488926393452,0.06713334431856088,0.06725472997847959,
0.002554,0.06849761449591818,0.06728996350811535,0.06447440270507676,0.06404281204433908,0.07002650588657455,0.06685593695308224,
0.00281,0.06590660580467755,0.06689028826328011,0.061049955970541525,0.06364175455262847,0.06772495605107864,0.066461787313232,
0.003066,0.06863781332095731,0.066495265502817,0.061998546390027665,0.06324562759409229,0.06868505145544512,0.06607220048040673,
0.003578,0.0674270882252499,0.06571885642897879,0.061554866096167116,0.0624678062308601,0.0659600643946967,0.0653064021370005,
0.00409,0.06411094224125069,0.06496011252126326,0.06078642339249973,0.06170865138986419,0.06311547260424333,0.06455793342633696,
0.004602,0.06252378318168406,0.06421843806049433,0.05905655534361487,0.06096749952049354,0.06509061687094908,0.06382621306540977,
0.005114,0.06282694000962707,0.06349326381489222,0.058000327932385964,0.060243718153298695,0.06218298996010008,0.06311068548023263,
0.005626,0.0590610284040487,0.06278404558412576,0.058866951142924284,0.05953670410122898,0.06000915233099735,0.06241081940005922,
0.006138,0.06063851896725003,0.06209026283835663,0.05698274018847371,0.05884588178436005,0.0614977974584523,0.061726106542847645,
0.007162,0.059527251929181624,0.060747032477513334,0.05691371586902516,0.05751063880760191,0.058828624976347,0.06040021501005756,
0.008186,0.058618867784600015,0.05945983550999561,0.05500785414275211,0.05623387994281663,0.05607217298822165,0.05912935956323916,
0.00921,0.056965763808281666,0.05822523990918918,0.05413415808892341,0.05501184789814146,0.05627269954823322,0.057910185617447194,
0.010234,0.05441231453404871,0.057040088313282486,0.052495983642358635,0.05384110047243373,0.0554291109798164,0.056739605778155844,
0.011258,0.05396021305124621,0.05590147108750576,0.052057179640083495,0.05271847820374423,0.05515041123101727,0.05561477375873514,
0.012282,0.0536181083938152,0.054806702495686845,0.05111274264048138,0.05164107592356683,0.05265256216587977,0.05453306129475875,
0.01433,0.052108921814587594,0.05273896333118615,0.048317908754837546,0.04961143455707838,0.05016653818728023,0.05248945145491416,
0.016378,0.04922966133229867,0.050819116329940225,0.0459897192295311,0.04773313761331413,0.04948832051958596,0.05059138664056148,
0.018426,0.047971021924905655,0.04903185668875088,0.043706143445888745,0.04598988090972948,0.04715786169659153,0.04882386673434348,
0.020474,0.04692545028049544,0.047363920883136776,0.04278271232348341,0.044367620893993764,0.046188712913095564,0.04717388432570862,
0.022522,0.04524800637573123,0.04580375732985681,0.04157471129548207,0.04285419596604122,0.044720537486504064,0.04563010444403343,
0.02457,0.043245051985288496,0.04434125881818658,0.040916958024631356,0.04143902145141679,0.043012343927246066,0.044182604135879995,
