Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_DELSHIFT_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_DELSHIFT_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,-0.5930586471848759, ,-0.5896751757729198, ,-0.600069488942562, ,
8.2e-05,-0.7542651982997728, ,-0.753583607370408, ,-0.7503428764597815, ,
9e-05,-1.0, ,-0.999938472810776, ,-1.0, ,
0.000106,-0.22907221213299978, ,-0.22961806239750426, ,-0.2294361347734838, ,
0.000122,0.42043256774745497, ,0.437213618041415, ,0.42041048519181223, ,
0.000138,0.06121890443008371, ,0.0729111312400108, ,0.06544544927374174, ,
0.000154,-0.24863428084104966, ,-0.2593664546061032, ,-0.24817983832277501, ,
0.00017,0.560067468710298, ,0.5798644149246046, ,0.561684313151755, ,
0.000186,-0.16859619773290513, ,-0.16169203814713462, ,-0.16983825785460172, ,
0.000218,0.16329965173842376, ,0.17741507283225255, ,0.1703810894995399, ,
0.00025,0.027840934433347897, ,0.04136307737575473, ,0.03546847944223819, ,
0.000282,0.0025170023158396226, ,0.011168612231551744, ,0.006414116986158458, ,
0.000314,0.06018273242953587, ,0.058006189647663575, ,0.05570133310432901, ,
0.000346,0.1340193582722533, ,0.14637462125930423, ,0.12967262152396253, ,
0.000378,-0.0003246683283002483, ,0.005185103358621879, ,0.004358471356508131, ,
0.000442,0.08350494716156143, ,0.0906079248743672, ,0.08079817147819468, ,
0.000506,0.01865652371607318, ,0.02715801566626541, ,0.02208245997360936, ,
0.00057,0.08522410188239382, ,0.09045412194270819, ,0.08211736955116566, ,
0.000634,0.028115727647789024, ,0.03311847664570844, ,0.025813412467843966, ,
0.000698,0.07129830731232412, ,0.07544150183528009, ,0.06665949118951175, ,
0.000762,0.04879250976390326, ,0.051030595162248504, ,0.04843375088926405, ,
0.00089,0.04955004520700301, ,0.058571536445106265, ,0.05280001529994882, ,
0.001018,0.05533939848122227,0.050469519833974574,0.05985208580622903,0.05729235249013045,0.05078079318512785,0.05057739088771264,
0.001146,0.051689187176128915,0.050365560349436705,0.059179146722440734,0.057177982788086425,0.05370647900363523,0.05046448652806221,
0.001274,0.049365617316070365,0.050262161139053005,0.05496454833831255,0.0570642533476455,0.04894368264158988,0.05035228083541558,
0.001402,0.051339895080896536,0.050159317685634974,0.06014053842138978,0.056951158805880295,0.04917435311617013,0.050240767336543105,
0.00153,0.050288017086525194,0.050057025520422536,0.058959999923826834,0.056838693859589826,0.048959900926480726,0.05012993963793517,
0.001786,0.05087286904071764,0.04985407741784328,0.05758528076354974,0.0566156318342997,0.05118352307243068,0.049910316458755995,
0.002042,0.049809231382833774,0.04965328202546513,0.05705463783218323,0.05639502600952893,0.04849460939093997,0.04969336169826721,
0.002298,0.04946778914800487,0.0494546052719284,0.05706812608074863,0.056176836026997086,0.05257965390879682,0.049479026956371096,
0.002554,0.052164277989962704,0.0492580138010911,0.055539588740521006,0.05596102240776942,0.05163278859114362,0.049267264996439776,
0.00281,0.04699119072748292,0.04906347495335967,0.05536080442531355,0.05574754652843708,0.04610520557212339,0.049058029710563916,
0.003066,0.05124197007378162,0.04887095674760178,0.05455328893364064,0.05553637059806756,0.05118368344384727,0.048851276086039584,
0.003578,0.05033438071009155,0.04849185762516358,0.05436588141586318,0.05512077144973143,0.04963795757473788,0.04844503905343783,
0.00409,0.04816098639525279,0.04812047350128698,0.05400735130857659,0.054713938454734753,0.04765014363807585,0.04804821450080284,
0.004602,0.045088772209794126,0.04775657123169858,0.05475150429244824,0.05431559706885677,0.04629460621205439,0.04766047859908944,
0.005114,0.04631931339764894,0.04739992697227537,0.053098979767655985,0.05392548409366393,0.047100949427241856,0.04728152220545096,
0.005626,0.04590430814225188,0.047050325719893926,0.05392292590468428,0.05354334709641015,0.04644445706597766,0.046911050040018366,
0.006138,0.04560018344376693,0.046707560880215854,0.051689737924834445,0.05316894386516871,0.046572999585148045,0.046548779917439456,
0.007162,0.045388356681803854,0.04604175368634053,0.050041116367795846,0.052442417914951245,0.045816924092000555,0.04584777827131188,
0.008186,0.0451328644890725,0.04540100591495576,0.05208220629588767,0.051744154249409736,0.04453378228763283,0.0451764955344202,
0.00921,0.04317687527789982,0.044783928880070864,0.04964094039644529,0.05107253462567368,0.04457336386432975,0.04453307810239976,
0.010234,0.042680487180526416,0.04418923463877586,0.04969921875367245,0.05042606202715209,0.04240250443749871,0.043915823378097935,
0.011258,0.04245197881617058,0.043615727018401,0.04883362681076542,0.04980334952056024,0.04181486672691759,0.04332316470093823,
0.012282,0.041774550819109635,0.043062293585908025,0.048993328951032256,0.04920311031985745,0.04138909186989226,0.04275365804583685,
0.01433,0.0411421361374098,0.042011575770304996,0.047971390484989884,0.04806535308261798,0.04125631489054493,0.041678868593104164,
0.016378,0.039179152343426615,0.041029600448726514,0.04650506104957741,0.0470041839010531,0.040110881977024615,0.04068194019140012,
0.018426,0.03971932533554634,0.040109834742164056,0.04541798915618811,0.04601211779565749,0.039793732415808414,0.03975469109474572,
0.020474,0.038245981996357425,0.039246548119033504,0.04350294165519264,0.04508261432771818,0.0394866991469498,0.03889004707508223,
