Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_DELSHIFT_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_DELSHIFT_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2 fitted model: ,
0.022522,0.03781692916046908,0.03843469288759015,0.043080411937750585,0.04420993316492393,0.038300293341539504,0.03808186015854373,
0.02457,0.03686413588152182,0.037669805430849926,0.04311789512342079,0.04338901536388224,0.037264875004948905,0.037324761833537064,
0.028666,0.035649959025932265,0.03626552059025375,0.04101909444572738,0.0418850683889389,0.03507542135616615,0.03594555723545137,
0.032762,0.034509497238055964,0.03500686339860841,0.04015817044681946,0.04054058652842655,0.033583495624955884,0.03472102615501204,
0.036858,0.03336449611460801,0.03387229446926062,0.038959565830120724,0.03933146624765192,0.033706535929054704,0.03362645277568799,
0.040954,0.03227284929236962,0.0328443223450872,0.03816257103815479,0.038238228444154275,0.03281375612018622,0.03264212072505011,
0.04505,0.03233784829338826,0.03190859525727036,0.03743539482007008,0.03724496017456633,0.031785414650168375,0.03175210983600144,
0.049146,0.0308490393974028,0.03105322692215784,0.036314898515792615,0.0363385342776539,0.03104463317016437,0.030943424455562547,
0.057338,0.02995491787071236,0.029545423501411296,0.03476031987964534,0.03474426660797825,0.029849870578239956,0.029528979931074804,
0.06553,0.02819459540949376,0.028258605963128104,0.033315214405500004,0.033387161440867966,0.028797368955758573,0.028332613180257402,
0.073722,0.027221908258256766,0.027147489329734376,0.032514825110238066,0.032217885057253016,0.028085854940166577,0.02730721053576731,
0.081914,0.026883108579850434,0.02617836899222966,0.0319281591498779,0.031199897567909148,0.02706085383214729,0.026418317169718465,
0.090106,0.0262485216108701,0.025325641492065957,0.031451328865556016,0.030305558163119743,0.026041351586295614,0.025640153180577302,
0.098298,0.02565986843794521,0.024569508561560812,0.030292644286299852,0.029513571493038654,0.025774644458889773,0.024953045136253366,
0.114682,0.024170059284339906,0.023287992873987633,0.02867127387172408,0.02817340202785452,0.02444568759282073,0.023794136227732035,
0.131066,0.023303036922848186,0.02224303300823968,0.028025904575194494,0.027082406174822687,0.023405870053886835,0.02285357167193176,
0.14745,0.02237606246408097,0.0213745625742504,0.027081844994410798,0.026176724741603954,0.022679726291734648,0.022074100398930593,
0.163834,0.021783081573218732,0.020641256403437613,0.02632462013740766,0.02541259392875774,0.021495296805077002,0.021416876188133687,
0.180218,0.020944046578943,0.020013750552063246,0.025745818910457352,0.024759017704619954,0.021230686552595746,0.020854612420564966,
0.196602,0.0204002774018881,0.01947060704102699,0.024983481673025443,0.02419342856483928,0.020952449390774897,0.02036758038857367,
0.22937,0.019684358023167148,0.018577148899569757,0.02408069574899674,0.023262953813069635,0.019894973899807322,0.019564297131188527,
0.262138,0.01880597129805328,0.01787238924134797,0.023345140152799537,0.022528468231878224,0.019016477384472763,0.018926979735455332,
0.294906,0.018351121520208125,0.01730184627852272,0.022653157496619336,0.021933087192988074,0.018396916103869065,0.01840691583234917,
0.327674,0.01783504565636118,0.016830144993414592,0.022321618448578606,0.021439971978637944,0.01805021952376351,0.017972764818868753,
0.360442,0.01747186223846975,0.0164333186231838,0.021510218442864604,0.021024217182468576,0.01753472679719903,0.017603450011684618,
0.39321,0.017205409597972787,0.01609455460615652,0.021382941124543864,0.020668382648161544,0.017191675708702947,0.017284276421714515,
0.458746,0.016480156876205188,0.015545804492204766,0.020628608389516412,0.020089452560013182,0.016546507628281137,0.016756900480153557,
0.524282,0.015868333392326406,0.015119191183046537,0.019973320955429585,0.019636268295314955,0.016414999209057424,0.016334669359340297,
0.589818,0.01541099569430715,0.014776720757690025,0.01973453092869648,0.01926961970829527,0.01589860293252987,0.01598494289626915,
0.655354,0.014909775564905248,0.014494627566613016,0.019591031789709668,0.01896502050028307,0.015475063535563605,0.015687408491018892,
0.72089,0.014559395882268067,0.014257291847096912,0.01884900601996642,0.01870639875493826,0.015161092534068388,0.015428767039835471,
0.786426,0.014356318033111659,0.014054030518104839,0.018700901692931593,0.018482774436325112,0.015035054694724215,0.01519994828988524,
0.917498,0.013914985770600685,0.013721596468408075,0.018364080206730415,0.01811163375088165,0.014477534395503255,0.014807943837293083,
1.04857,0.013406133425072575,0.013457994983471472,0.01794068300827245,0.017811253786363994,0.014088128128603605,0.014478104065999423,
1.179642,0.013478217200207698,0.013240830091451779,0.017375049238711915,0.017558691829461383,0.013812120460498178,0.014191467562232468,
1.310714,0.013229419197545056,0.01305643616820934,0.01742629821876429,0.017339963093265957,0.013705470054711011,0.013936428300460664,
1.441786,0.012977194177608453,0.012896016291225457,0.017104219166482526,0.017146072249198265,0.01332703697106763,0.013705470125014227,
1.572858,0.012859646117878487,0.012753660379861854,0.016918983112268693,0.016970979306540866,0.013189301345415183,0.013493497832198328,
1.835002,0.0120294939111949,0.012507859154259577,0.016474187192027756,0.016661575746788938,0.01267046597126864,0.013113137581716984,
2.097146,0.01170307794611225,0.012297972737825211,0.015883822020510863,0.01639023825420929,0.0124089851694702,0.012776580777567832,
2.35929,0.011620073591825708,0.012112289213152664,0.015479577045914406,0.016144995497696,0.012309125542861343,0.012472940958445053,
2.621434,0.011532695286862849,0.011943799261733555,0.015246001144648691,0.01591867148779141,0.011959626130805479,0.01219533930559388,
2.883578,0.011443795315819738,0.011788062180421457,0.01509979737040279,0.015706707399489872,0.011724076298971875,0.011939124869570125,
3.145722,0.01102933581836818,0.01164213300218626,0.014904214273069982,0.015506067664447648,0.011455603247656265,0.011700976591528588,
3.67001,0.010630424955406115,0.011372172317980527,0.014463829832946473,0.015130950539297666,0.011097083627144455,0.011269522141336617,
4.194298,0.010302106583419235,0.011123615407641865,0.01399073487108149,0.01478253817480734,0.010688410919814206,0.0108868989622791,
4.718586,0.00990745252500247,0.010890768183141398,0.013527933821674498,0.014454748717402172,0.01041064988197582,0.010543815989300587,
5.242874,0.009692253630690928,0.010670207102596575,0.013118057587605092,0.014143824925018176,0.010200759558932182,0.010233644214054437,
5.767162,0.00938856118528153,0.010459729344196688,0.012982648804646724,0.013847267347656837,0.01009081829522307,0.009951396017735821,
6.29145,0.009193236954806672,0.010257834988284748,0.01254118280374139,0.013563307772037653,0.009586174037337303,0.009693176343855033,
7.340026,0.008589373340524453,0.009875782178754525,0.012058921774761533,0.013028207782867285,0.009465147993291678,0.009236888825320567,
8.388602,0.008173426374008752,0.009518237492810304,0.01171184347884724,0.012530976803526177,0.008960497756446362,0.008845805251317276,
9.437178,0.007739014033927294,0.009181560081255763,0.01153102038831988,0.012066487605305615,0.008372328970304599,0.00850653852863711,
10.485754,0.0075754991917285075,0.008863212309819343,0.01113395751416979,0.011630919732680102,0.008292138764199208,0.00820925812517342,
11.53433,0.007252872373642472,0.008561283112379582,0.010578548836044588,0.011221248498001586,0.00809780723106135,0.007946533667464397,
12.582906,0.00693758860735505,0.008274251390908342,0.01024603662142276,0.010834981568657068,0.00772669810129889,0.007712622242039528,
14.680058,0.006639813476750467,0.007740030779298851,0.009334667336557967,0.010124512296274478,0.0073662680883594955,0.007314068101958608,
16.77721,0.006336728566807448,0.007252461188859926,0.008639239437282953,0.00948577020630498,0.00699748506830189,0.006987078363626551,
18.874362,0.006093637726349188,0.006805296856310062,0.00830264944256176,0.00890809089664301,0.006804443838426932,0.006713958305002317,
20.971514,0.005910349945598137,0.006393507508819335,0.007632172719854058,0.008382949877281191,0.006944800577794563,0.006482424353900007,
23.068666,0.005644801906893315,0.0060129381095475835,0.007223531493889768,0.007903400108040444,0.006798644098796158,0.006283673217946319,
25.165818,0.005329676517022319,0.005660098829875325,0.006569170530149604,0.007463699718083696,0.0066942698754961505,0.006111226836728793,
29.360122,0.0048219706962286946,0.005026166056935939,0.005909534555283313,0.006685403213606592,0.006260704773298986,0.005826884210381099,
33.554426,0.004511008902674085,0.004472593536173703,0.00604382071773224,0.006017848673655216,0.005738343238108845,0.00560224223911945,
37.74873,0.004435878883857658,0.003984945170385267,0.006114473329384751,0.005438942186760219,0.00548386136181378,0.00542039758842739,
41.943034,0.004094385894970021,0.003552080087266425,0.005725993160255127,0.004932125517457207,0.005151072000611601,0.005270274718083392,
46.137338,0.003888593500750659,0.0031652493122486186,0.0053069039562496645,0.004484733944384769,0.005354888677591152,0.0051443127018932795,
50.331642,0.0036245193083892513,0.002817480470217892,0.005478778497066905,0.00408691077857359,0.005319679024179846,0.005037173360154915,
58.72025,0.0026604956525517753,0.0022176511138529836,0.004655420326531878,0.0034103686771674796,0.005106478143617643,0.004864851139556028,
67.108858,0.0026669925015931906,0.0017186671323598472,0.004313384016569222,0.0028567036451232876,0.005021910738521651,0.004732528481723035,
75.497466,0.0024832540746826393,0.001297120137104986,0.004284951895333178,0.0023953281591327933,0.00482553188275725,0.004627907616507679,
83.886074,0.002212154394641619,0.0009363302141619295,0.004371544116761994,0.0020050294597376388,0.004902194501103629,0.004543247868084778,
92.274682,0.0021969445950507094,0.0006240881819893403,0.004136567420040871,0.0016706320408874991,0.005279583916127928,0.004473435439729179,
100.66329,0.0019738517867831096,0.00035125083580821604,0.0032824011451562107,0.0013809919382346842,0.005482928303218948,0.0044149574735232455,
117.440506,0.0010742641267496023,-0.00010258513328746449,0.0013798400994819993,0.0009044736535052094,0.0050691070532247196,0.004322712636119287,
134.217722,0.0005143168558807698,-0.0004646976162989867,0.0009581587098939082,0.0005289876230486078,0.0045429282022613204,0.004253479089968694,
150.994938,0.00018004019247075398,-0.0007601938699220278,0.0015094167059348518,0.00022570696675379854,0.004275938445512217,0.004199793216000208,
167.772154,-0.0002905187353708927,-0.0010057900979417406,0.000744147259418737,-2.4193247203410564e-05,0.004291908801728139,0.0041570798414532215,
184.54937,-0.0002532259763868838,-0.0012130465003118884,-0.00025552521542338,-0.00023352694664236428,0.003814560881707063,0.00412238228458024,
201.326586,-0.0006156825030989577,-0.0013902126779826336,-0.00042034634474374943,-0.0004113182719942955,0.0030898747344623168,0.004093707445668174,
234.881018,-0.00171105755550216,-0.001676938686491582,-0.0010007121593320623,-0.0006967420920947025,0.0022977229892711115,0.004049254897592749,
268.43545,-0.0010110290600902072,-0.001898679513732512,-0.0022546284471115507,-0.0009154316987027083,0.002530500078906206,0.004016577749441764,
301.989882,-0.00041994288673574687,-0.002075035266405444,-0.002341423387670849,-0.0010880149114383473,0.0029309953414333734,0.003991687283443731,
335.544314,0.0004553764392611903,-0.002218462888281034,-0.0015948632625600867,-0.001227441957682558,0.002697780371589076,0.003972190316579737,
369.098746,0.0011748968154239314,-0.002337256639027274,-0.0010710980039332352,-0.0013422497866238557,0.0029087488708676723,0.003956568913474998,
402.653178,0.0013697730047048662,-0.0024371514185838783,-0.0016496648731196828,-0.0014382919435397693,0.0036584819775320465,0.003943816693606285,
469.762042,-0.00412465634879311,-0.0025955129347245464,-0.001171151238937962,-0.0015895340608197562,0.0037966403740283816,0.003924354288070549,
536.870906,-0.0052357078766265275,-0.002715070477116198,-1.056446111469267e-05,-0.0017028150930147156,0.0048628817802307545,0.003910307760332122,
603.97977,-0.005527356339251277,-0.0028082467040297333,-0.00010986385583888758,-0.0017905003672576004,0.006291917825291593,0.0038997717666221176,
671.088634,-0.006085024835538633,-0.002882705946978597,-0.0023778524970534676,-0.0018601543847038171,0.005154465325979851,0.003891626218800068,
738.197498,-0.005857304246819073,-0.0029434282935545623,-0.0034119890448761625,-0.001916657027744993,0.004946717565718295,0.0038851731472262425,
805.306362,-0.006040116276741503,-0.002993786739188961,-0.005142431551477866,-0.001963292652020457,0.005525202285559194,0.003879956946880877,
939.52409,-0.00648096430786782, ,-0.00679267463709099, ,-0.0007249055958957751, ,
1073.741818,-0.008916287217577867, ,-0.006703834259490393, ,0.0006918408720142377, ,
1207.959546,-0.009057423493757821, ,-0.0065721798257386554, ,-0.0005803513425106654, ,
1342.177274,-0.01022083076549174, ,-0.009960051379191426, ,-0.0008509549472783817, ,
1476.395002,-0.011007037834215527, ,-0.014786166576616577, ,0.00010475053056491213, ,
1610.61273,-0.00947147005669613, ,-0.01758060393440164, ,0.0030374233176770904, ,
1879.048186,-0.02577650198498682, ,-0.04673328485044603, ,0.007182111994151086, ,
2147.483642,-0.028545007678507206, ,-0.048638895497732926, ,0.006482474543756611, ,
2415.919098,-0.029471850319848447, ,-0.04820101080065464, ,0.007850525760112026, ,
2684.354554,-0.03151398843588549, ,-0.060311872069858774, ,0.009894141574609217, ,
2952.79001,-0.030423709372002117, ,-0.06213196341464544, ,0.014808566554532332, ,
3221.225466,-0.033603375761442456, ,-0.0585753851472014, ,0.00808128427723731, ,
3758.096378,-0.04845608940253543, ,-0.047327219660824205, ,-0.0633477878032267, ,
4294.96729,-0.040941930426992346, ,-0.03975075197496125, ,-0.09655436493237102, ,
4831.838202,-0.03329064582373986, ,-0.02359289636527151, ,-0.12482412336937276, ,
5368.709114,-0.056758511718185134, ,-0.011856677025861906, ,-0.16192401309543136, ,
5905.580026,-0.0638542499644017, ,0.014423308778285904, ,-0.19822115703004517, ,
6442.450938,-0.07536314716280657, ,0.03500190198971964, ,-0.22481248913790564, ,
