,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
157,0.5380282,0.6181818,0.7969231
158,0.49014086,0.55151516,0.36615384
159,0.7887324,0.33636364,0.4369231
160,0.6957747,0.4151515,0.21538462
161,0.50140846,0.6151515,0.5292308
162,0.53521127,0.6030303,0.08923077
163,0.31267604,0.6181818,0.31076923
164,0.28169015,0.16666667,0.46153846
165,0.24788733,0.21212122,0.6861538
166,0.22816901,0.21212122,0.48923078
167,0.42535213,0.4121212,0.4369231
168,0.29577464,0.35151514,0.35692307
169,0.4140845,0.54848486,0.44615385
170,0.3746479,0.35757574,0.34461537
171,0.515493,0.29090908,0.46769232
172,0.69014084,0.2060606,0.49846154
173,0.4084507,0.3030303,0.5784615
174,0.30140844,0.3969697,0.32
175,0.43098593,0.43030304,0.61538464
176,0.69295776,0.25454545,0.75384617
177,0.27323943,0.5272727,0.41846153
178,0.32394367,0.55454546,0.48307693
179,0.65915495,0.6575758,0.34461537
180,0.428169,0.630303,0.63076925
181,0.8028169,0.5212121,0.5784615
182,0.52394366,0.24545455,0.43076923
183,0.63661975,0.33030304,0.41230768
184,0.29577464,0.5272727,0.35384616
185,0.26478875,0.7030303,0.41230768
186,0.5887324,0.4090909,0.3353846
187,0.27323943,0.35151514,0.24
188,0.31267604,0.3212121,0.48615384
189,0.5408451,0.25757575,0.3353846
190,0.6,0.44848484,0.32615384
191,0.45633802,0.25151515,0.44
192,0.5633803,0.4181818,0.32307693
193,0.5408451,0.5060606,0.4923077
194,0.5802817,0.54848486,0.43076923
195,0.4112676,0.27272728,0.34153846
196,0.18028168,0.3272727,0.24307692
197,0.26197183,0.4121212,0.12923077
198,0.4084507,0.3090909,0.40307692
199,0.43098593,0.2090909,0.33846155
200,0.30985916,0.27878788,0.5323077
201,0.28169015,0.46666667,0.45846155
202,0.3915493,0.55454546,0.41846153
203,0.36901408,0.43939394,0.25230768
204,0.30704224,0.4060606,0.32
205,0.56619716,0.45757577,0.6
206,0.34366196,0.48181817,0.3876923
207,0.42535213,0.25151515,0.17230769
208,0.34366196,0.45151514,0.15384616
209,0.5267606,0.3909091,0.12307692
