Time (ms),af488_noc,af488_noc fitted model: ,af488luv_noc,af488luv_noc fitted model: ,af488luv_0cd20,af488luv_0cd20 fitted model: ,af488luv_thr-2,af488luv_thr-2 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-0.9999988716842338, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-0.9999988882611951, ,
1e-05,-1.0, ,-1.0, ,-0.9999992157259715, ,-0.9999994620911907, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-0.9999994179279563, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-0.999999401251994, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-0.99999927096328, ,-0.9999994728763649, ,
2.6e-05,-1.0, ,-1.0, ,-0.9999992709632796, ,-0.9999994728763647, ,
3e-05,-1.0, ,-1.0, ,-0.9999985033979837, ,-0.9999959220520825, ,
3.4e-05,-1.0, ,-1.0, ,-0.9999985033979829, ,-0.9999959220520808, ,
3.8e-05,-1.0, ,-1.0, ,-0.9999988619874024, ,-0.9999986569878111, ,
4.2e-05,-1.0, ,-1.0, ,-0.9999988619874018, ,-0.9999986569878105, ,
5e-05,-1.0, ,-1.0, ,-0.9999992765643622, ,-0.9999997491782441, ,
5.8e-05,-1.0, ,-1.0, ,-0.9999989451072888, ,-0.999996847935206, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-0.9999971721992627, ,
7.4e-05,-0.4950768941881399, ,-0.6232888458497788, ,-0.5794411799015827, ,-0.5942961250445675, ,
8.2e-05,-0.6964675693509546, ,-0.7737768332891345, ,-0.7475432586087821, ,-0.756438432290721, ,
9e-05,-1.0, ,-1.0, ,-0.999999280664043, ,-0.9999960802671787, ,
0.000106,-0.19276466671670625, ,-0.08331240029816578, ,-0.22471196717403574, ,-0.2225335727709836, ,
0.000122,0.46797768735236567, ,0.6733222662105635, ,0.4189089203892138, ,0.4244177420168444, ,
0.000138,0.09204316100843013, ,0.26556309076368595, ,0.061967321865410374, ,0.06713640074259727, ,
0.000154,-0.23743371301845057, ,-0.11854466939690256, ,-0.25831902713523713, ,-0.2546850750464115, ,
0.00017,0.6062802171638693, ,0.828111752604108, ,0.5634681876013733, ,0.5710541219167721, ,
0.000186,-0.14964716290343405, ,-0.02828469351773716, ,-0.16999282130011767, ,-0.16607417571976574, ,
0.000218,0.19135926921753046, ,0.3646556763957733, ,0.1644125308304518, ,0.17023016867886695, ,
0.00025,0.05509734104051349, ,0.21481392791177412, ,0.03196150189834046, ,0.03776179569862906, ,
0.000282,0.02708983477526479, ,0.18295729408869582, ,0.004580326281347845, ,0.0100650157526262, ,
0.000314,0.07803675063901683, ,0.24270407639872654, ,0.055332859880713355, ,0.06120845535659721, ,
0.000346,0.1548962371271761, ,0.33252157338023525, ,0.1317650151903623, ,0.13824178219370878, ,
0.000378,0.02310882062060356, ,0.18037060785519202, ,0.002520398811915774, ,0.00815834846180347, ,
0.000442,0.10092954879374404, ,0.2710882242653282, ,0.0788784318420227, ,0.08506111227513412, ,
0.000506,0.04139117099173736, ,0.202796279622999, ,0.02085875878815052, ,0.026841178957639537, ,
0.00057,0.10623433676642834, ,0.2779557441809724, ,0.08441646233473557, ,0.09078422430606559, ,
0.000634,0.04714983882941351, ,0.2099303648441447, ,0.026738727717496316, ,0.03280226723536479, ,
0.000698,0.08617869949480313, ,0.25531787226221514, ,0.06534636600664652, ,0.07153084989459699, ,
0.000762,0.06608148987897686, ,0.23236507309379456, ,0.04568803288685389, ,0.05189938696444123, ,
0.00089,0.07061535901194847, ,0.23781259224717394, ,0.05017605740508488, ,0.05640166907050953, ,
0.001018,0.07343076550114634,0.06841129169637977,0.24095036820344184,0.22299217911569455,0.05288569268563907,0.04769564012969908,0.05918989611957212,0.052611865044993114,
0.001146,0.07130700411873371,0.06820062721282395,0.2392162355858853,0.2229883909385958,0.05111852832523037,0.04761367404277487,0.057473809046025365,0.05256335325754901,
0.001274,0.0694742371849213,0.06799122873274961,0.23729877694047835,0.22298460289340705,0.049474357731844415,0.04753199737965729,0.055753905376947334,0.05251494370889198,
0.001402,0.06896230298572067,0.06778308488489798,0.23725962699831862,0.22298081498012132,0.049327834859800704,0.04745060861099924,0.05562708689824199,0.05246663607634561,
0.00153,0.06876289259683449,0.06757618443378345,0.23695082829145278,0.2229770271987318,0.04907862425473519,0.047369506218209435,0.055330746610003256,0.05241843003858989,
0.001786,0.06783259982945149,0.06716606944660232,0.2366406351202577,0.2229694520316139,0.04854827633125955,0.047208154539083155,0.05495757070119427,0.052322321468909874,
0.002042,0.06858281970615279,0.0667607965269018,0.23779235669577423,0.2229618773919982,0.049787573273129375,0.0470479304051025,0.05600216443242743,0.05222661545615081,
0.002298,0.06733994039038425,0.06636028047711864,0.23684043865895077,0.22295430327982957,0.0484454868301151,0.046888822045245915,0.05500510156919767,0.05213130947786317,
0.002554,0.06605784327382336,0.06596443808676022,0.23591702032458323,0.22294672969505308,0.04749317695853625,0.04673081785176531,0.054039875868616104,0.052036401032627556,
